host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T13:48:39.697936+08:00,1288538.531000000,0.063000,E_sensor_500g,channel_a,500.0,24527,2408167,-485908,-485908,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:39.746802+08:00,1288538.578000000,0.110000,E_sensor_500g,channel_a,500.0,24528,2408277,-485887,-485887,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:39.845367+08:00,1288538.687000000,0.219000,E_sensor_500g,channel_a,500.0,24529,2408376,-485877,-485877,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:39.943228+08:00,1288538.781000000,0.313000,E_sensor_500g,channel_a,500.0,24530,2408474,-485898,-485898,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:40.040723+08:00,1288538.875000000,0.407000,E_sensor_500g,channel_a,500.0,24531,2408572,-485899,-485899,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:40.138742+08:00,1288538.968000000,0.500000,E_sensor_500g,channel_a,500.0,24532,2408669,-485907,-485907,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:40.237025+08:00,1288539.078000000,0.610000,E_sensor_500g,channel_a,500.0,24533,2408768,-485875,-485875,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:40.335113+08:00,1288539.171000000,0.703000,E_sensor_500g,channel_a,500.0,24534,2408866,-485876,-485876,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:40.432133+08:00,1288539.265000000,0.797000,E_sensor_500g,channel_a,500.0,24535,2408964,-485887,-485887,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:40.529981+08:00,1288539.359000000,0.891000,E_sensor_500g,channel_a,500.0,24536,2409062,-485913,-485913,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:40.626950+08:00,1288539.468000000,1.000000,E_sensor_500g,channel_a,500.0,24537,2409159,-485900,-485900,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
