complete_ms,first_byte_ms,request
8.6172,8.5423,1
8.7862,8.738,2
9.7684,9.6986,3
8.6742,8.6268,4
9.0368,8.9829,5
8.9164,8.868,6
8.9694,8.9241,7
9.8888,9.8211,8
8.6942,8.6407,9
8.7944,8.7381,10
8.7886,8.743,11
9.0288,8.9828,12
10.0527,10.0019,13
8.6696,8.6262,14
9.4742,9.4281,15
8.9065,8.8613,16
8.9675,8.9233,17
9.3044,9.2551,18
8.7265,8.6811,19
9.0438,8.9908,20
8.9972,8.9387,21
7.9011,7.8593,22
10.3069,10.2577,23
8.7038,8.6579,24
8.0451,7.9959,25
7.9594,7.915,26
8.2077,8.1608,27
8.0998,8.0533,28
8.1385,8.0952,29
8.4893,8.4373,30
8.5113,8.464,31
8.2283,8.1829,32
8.1689,8.1216,33
8.1178,8.0719,34
8.0871,8.038,35
8.5562,8.5055,36
8.7569,8.6824,37
8.3106,8.2319,38
8.8548,8.8025,39
9.405,9.3559,40
8.8518,8.7988,41
9.1693,9.1221,42
8.0985,8.0353,43
8.8792,8.8151,44
10.0479,10.0007,45
8.4672,8.4172,46
8.7991,8.7462,47
8.7998,8.7534,48
8.9903,8.9459,49
10.1671,10.1181,50
8.9694,8.9215,51
8.8785,8.8172,52
8.858,8.8071,53
8.6672,8.6191,54
10.2703,10.2214,55
8.7972,8.7455,56
9.2454,9.1964,57
8.9569,8.9099,58
8.6413,8.5973,59
10.2582,10.2056,60
