frame_sequence,device_timestamp_ms,message_type,measurement_sequence,display_mass_ug,net_mass_ug,gross_mass_ug,tare_mass_ug,stable,display_locked,overload,unit,dp,division,display_mass_g,host_timestamp
25201,3600409,1,35940,500076601,500055197,500055197,0,1,1,0,1,2,1,500.076601,1789155873.9539094
25202,3600609,1,35942,500076601,500055197,500055197,0,1,1,0,1,2,1,500.076601,1789155874.148721
25203,3600809,1,35944,500076601,500055197,500055197,0,1,1,0,1,2,1,500.076601,1789155874.3584833
25204,3601009,1,35946,500076601,500054071,500054071,0,1,1,0,1,2,1,500.076601,1789155874.750142
25207,3601209,1,35948,500076601,500051818,500051818,0,1,1,0,1,2,1,500.076601,1789155874.750142
25208,3601409,1,35950,500076601,500051818,500051818,0,1,1,0,1,2,1,500.076601,1789155874.9593
25209,3601609,1,35952,500076601,500056324,500056324,0,1,1,0,1,2,1,500.076601,1789155875.1540895
25210,3601809,1,35954,500076601,500054071,500054071,0,1,1,0,1,2,1,500.076601,1789155875.3483977
25211,3602009,1,35956,500076601,500052945,500052945,0,1,1,0,1,2,1,500.076601,1789155875.7554648
25214,3602209,1,35958,500076601,500054071,500054071,0,1,1,0,1,2,1,500.076601,1789155875.7554648
25215,3602409,1,35960,500076601,500055197,500055197,0,1,1,0,1,2,1,500.076601,1789155875.9488385
25216,3602609,1,35962,500076601,500054071,500054071,0,1,1,0,1,2,1,500.076601,1789155876.1584601
25217,3602809,1,35964,500076601,500052945,500052945,0,1,1,0,1,2,1,500.076601,1789155876.3534462
25218,3603009,1,35966,500076601,500052945,500052945,0,1,1,0,1,2,1,500.076601,1789155876.7604253
25221,3603209,1,35968,500076601,500050692,500050692,0,1,1,0,1,2,1,500.076601,1789155876.7604253
25222,3603409,1,35970,500076601,500048439,500048439,0,1,1,0,1,2,1,500.076601,1789155876.9540875
25223,3603609,1,35972,500076601,500050692,500050692,0,1,1,0,1,2,1,500.076601,1789155877.148352
25224,3603809,1,35974,500076601,500054071,500054071,0,1,1,0,1,2,1,500.076601,1789155877.35865
25225,3604009,1,35976,500076601,500054071,500054071,0,1,1,0,1,2,1,500.076601,1789155877.78079
25228,3604209,1,35978,500076601,500057450,500057450,0,1,1,0,1,2,1,500.076601,1789155877.78079
25229,3604409,1,35980,500076601,500060830,500060830,0,1,1,0,1,2,1,500.076601,1789155877.9590304
25230,3604609,1,35982,500076601,500060830,500060830,0,1,1,0,1,2,1,500.076601,1789155878.1688955
25231,3604809,1,35984,500076601,500061956,500061956,0,1,1,0,1,2,1,500.076601,1789155878.363641
25232,3605009,1,35986,500076601,500061956,500061956,0,1,1,0,1,2,1,500.076601,1789155878.7552402
25235,3605209,1,35988,500076601,500061956,500061956,0,1,1,0,1,2,1,500.076601,1789155878.7552402
25236,3605409,1,35990,500076601,500063083,500063083,0,1,1,0,1,2,1,500.076601,1789155878.9489403
