frame_sequence,device_timestamp_ms,message_type,raw_count,filtered_raw,uncompensated_gross_ug,compensated_gross_ug,runtime_drift_offset_ug,runtime_drift_enabled,runtime_drift_state,persistent_dirty,capacity_ug,overload_threshold_ug,filter_mode,filter_strength,active_profile,app_state,fault_mask,host_timestamp
25205,3601009,2,-487893,-487898,500054071,500054071,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155874.750142
25212,3602009,2,-487909,-487897,500052945,500052945,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155875.7554648
25219,3603009,2,-487899,-487897,500052945,500052945,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155876.7604253
25226,3604009,2,-487899,-487898,500054071,500054071,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155877.78079
25233,3605009,2,-487907,-487905,500061956,500061956,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155878.7552402
25240,3606009,2,-487892,-487908,500065336,500065336,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155879.7602785
25247,3607009,2,-487905,-487902,500058577,500058577,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155880.7503514
25254,3608009,2,-487910,-487908,500065336,500065336,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155881.755349
25261,3609009,2,-487910,-487911,500068715,500068715,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155882.760101
25268,3610009,2,-487886,-487905,500061956,500061956,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155883.7502875
25275,3611009,2,-487891,-487904,500060830,500060830,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155884.7693484
25282,3612009,2,-487916,-487909,500066462,500066462,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155885.7898805
25289,3613009,2,-487905,-487902,500058577,500058577,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155886.7648056
25296,3614009,2,-487921,-487908,500065336,500065336,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155887.7549627
25303,3615009,2,-487897,-487910,500067589,500067589,0,0,0,0,3000000000,3000000000,3,3,0,5,0,1789155888.7602122
