complete_ms,first_byte_ms,request
8.5505,8.4356,1
8.3974,8.3297,2
8.0203,7.9672,3
8.0671,7.9975,4
8.0717,8.0047,5
8.0465,7.9926,6
8.075,8.0136,7
8.0708,8.003,8
8.1931,8.1338,9
8.4985,8.44,10
8.0685,7.9999,11
8.8767,8.816,12
9.0511,8.9925,13
9.5003,9.4181,14
8.4811,8.4271,15
8.0304,7.9787,16
9.0652,8.9979,17
9.086,9.0268,18
8.9394,8.8879,19
9.0711,8.9849,20
8.9229,8.8665,21
8.5984,8.5428,22
8.4855,8.4245,23
9.0535,8.9955,24
9.4797,9.4242,25
8.4869,8.4261,26
9.0321,8.9542,27
8.5868,8.5148,28
8.6273,8.5705,29
9.0326,8.9775,30
8.4909,8.4347,31
8.4995,8.4387,32
9.0542,8.9953,33
8.9837,8.9336,34
9.0296,8.9771,35
9.0742,9.0024,36
9.0525,8.9972,37
9.0631,8.9839,38
8.6071,8.5453,39
9.4876,9.4316,40
8.4765,8.4244,41
8.4713,8.4144,42
8.3981,8.3392,43
9.0324,8.9634,44
9.7065,9.6443,45
8.5203,8.44,46
8.0651,8.0014,47
8.587,8.533,48
9.0329,8.968,49
10.0305,9.9787,50
9.0197,8.9673,51
8.57,8.4929,52
8.5212,8.4443,53
8.544,8.49,54
9.6028,9.5464,55
8.4895,8.4361,56
8.8946,8.8422,57
8.5135,8.4369,58
8.1237,8.0707,59
10.0533,9.99,60
8.5967,8.5469,61
8.6985,8.6057,62
8.0316,7.9806,63
8.5803,8.5017,64
9.5373,9.4686,65
7.8989,7.849,66
8.0996,8.0236,67
8.0604,7.9983,68
8.4522,8.3837,69
8.6281,8.5524,70
8.043,7.9785,71
8.6311,8.5683,72
9.0315,8.9777,73
8.4921,8.4304,74
10.4767,10.4149,75
8.0587,7.998,76
8.0782,8.0041,77
8.5081,8.4403,78
8.4818,8.4147,79
10.0638,9.9932,80
8.0232,7.9713,81
7.9741,7.8959,82
8.6222,8.5505,83
9.0356,8.9817,84
10.0964,10.0025,85
8.0349,7.9835,86
8.1068,8.0511,87
8.0725,8.0195,88
7.9266,7.876,89
9.5796,9.5254,90
8.0503,7.9971,91
8.0596,7.9966,92
8.5091,8.4365,93
8.4897,8.429,94
10.0768,10.0045,95
8.0731,7.9904,96
8.1519,8.0343,97
8.6176,8.5535,98
8.6055,8.5488,99
10.0601,9.9858,100
