alarm_active,checkweigh_stable,checkweigh_state,communication_state,crc_valid,display_locked,display_mass_ug,display_release_reason,exception,external_buzzer_active,filtered_raw,function,green_active,internal_buzzer_active,overload,raw_count,red_active,request_number,response_time_complete_ms,response_time_first_byte_ms,runtime_compensated_gross_ug,runtime_enabled,runtime_limited,runtime_offset_ug,runtime_sample_count,runtime_state,runtime_uncompensated_gross_ug,rx_hex,sample_sequence,stable,status_flags,storage_state,timestamp,tx_hex,yellow_active
False,True,0,not mapped,True,True,500076601,NOT_ALLOWED,,False,-487916,3,False,False,False,-487924,False,1,53.818,49.7178,500075474,False,False,0,0,DISABLED,500075474,0103400000c35800020001001f00000000c3570000c357000000000001000001040510000000001dce876c000000001dce876c0000000000000000fff88e0cfff88e146bd3,48042,True,31,0,1789157085.7130234,0103000000204412,False
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487917,3,,,False,-487903,,2,53.4603,49.0913,500074348,False,False,0,0,DISABLED,500074348,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce8bd2000000001dce8bd20000000000000000fff88e21fff88e13ad55,48044,True,31,0,1789157085.9975977,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487915,3,,,False,-487906,,3,55.4828,50.659,500070968,False,False,0,0,DISABLED,500070968,0103400000c35800020001001f00000000c3570000c357000000000001000001040510000000001dce8305000000001dce83050000000000000000fff88e1efff88e154b5e,48047,True,31,0,1789157086.2599745,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487914,3,,,False,-487918,,4,53.8494,49.7533,500073221,False,False,0,0,DISABLED,500073221,0103400000c35800020001001f00000000c3570000c357000000000001000001040510000000001dce7e9f000000001dce7e9f0000000000000000fff88e12fff88e169d77,48050,True,31,0,1789157086.5227296,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487915,3,,,False,-487910,,5,53.9014,49.5109,500073221,False,False,0,0,DISABLED,500073221,0103400000c35800020001001f00000000c3570000c357000000000001000001040510000000001dce8305000000001dce83050000000000000000fff88e1afff88e15ba9e,48052,True,31,0,1789157086.78695,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487915,3,,,False,-487918,,6,55.4337,50.952,500073221,False,False,0,0,DISABLED,500073221,0103400000c35800020001001f00000000c3570000c357000000000001000001040510000000001dce8305000000001dce83050000000000000000fff88e12fff88e155b5f,48055,True,31,0,1789157087.0521052,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487917,3,,,False,-487934,,7,54.6654,49.844,500077727,False,False,0,0,DISABLED,500077727,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce8bd2000000001dce8bd20000000000000000fff88e02fff88e136892,48058,True,31,0,1789157087.3167179,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487919,3,,,False,-487916,,8,53.906,49.535,500077727,False,False,0,0,DISABLED,500077727,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce949f000000001dce949f0000000000000000fff88e14fff88e117fb9,48060,True,31,0,1789157087.578885,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487919,3,,,False,-487919,,9,55.7322,51.313,500077727,False,False,0,0,DISABLED,500077727,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce949f000000001dce949f0000000000000000fff88e11fff88e11b3b9,48063,True,31,0,1789157087.8426287,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487919,3,,,False,-487921,,10,53.8984,49.4865,500077727,False,False,0,0,DISABLED,500077727,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce949f000000001dce949f0000000000000000fff88e0ffff88e111bbb,48065,True,31,0,1789157088.1074378,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487919,3,,,False,-487916,,11,55.362,50.9413,500077727,False,False,0,0,DISABLED,500077727,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce949f000000001dce949f0000000000000000fff88e14fff88e117fb9,48068,True,31,0,1789157088.3699138,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487919,3,,,False,-487903,,12,55.315,50.8967,500076601,False,False,0,0,DISABLED,500076601,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce949f000000001dce949f0000000000000000fff88e21fff88e11f3bd,48071,True,31,0,1789157088.636111,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487918,3,,,False,-487931,,13,53.7975,49.2794,500077727,False,False,0,0,DISABLED,500077727,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce9039000000001dce90390000000000000000fff88e05fff88e120621,48073,True,31,0,1789157088.9001734,0103000000204412,
,,,not mapped,True,True,500076601,NOT_ALLOWED,,,-487920,3,,,False,-487927,,14,55.1529,50.647,500081106,False,False,0,0,DISABLED,500081106,0103400000c35800020001001f00000000c3580000c358000000000001000001040510000000001dce9906000000001dce99060000000000000000fff88e09fff88e10a8d8,48076,True,31,0,1789157089.1607409,0103000000204412,
