utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-12T19:23:28.146Z,85307218000000,3789058,14091,-44048,-44047,,1126,1126,1126,18024,2,2,1126,1126,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:23:28.249Z,85307328000000,3789252,14093,-44047,-44047,,1126,1126,1126,18024,2,2,1126,1126,0,1,1,0,,0,3,3,0,3,4,0,0,0,,0,2,1,
2026-09-12T19:23:28.352Z,85307421000000,3789353,14094,-44042,-44047,,1126,1126,1126,18024,2,2,1126,1126,0,1,1,0,,0,3,3,0,3,4,0,0,0,,0,2,1,
2026-09-12T19:23:28.455Z,85307531000000,3789453,14095,-44042,-44046,,1126,0,0,18024,2,2,0,0,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-12T19:23:28.559Z,85307625000000,3789553,14096,-44039,-44045,,1126,-1126,-1126,18024,2,2,-1126,-1126,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-12T19:23:28.664Z,85307734000000,3789655,14097,-44052,-44045,,1126,-1126,-1126,18024,2,2,-1126,-1126,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-12T19:23:28.768Z,85307843000000,3789759,14098,-44058,-44046,,1126,0,0,18024,2,2,0,0,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-12T19:23:28.873Z,85307953000000,3789864,14099,-44056,-44047,,1126,1126,1126,18024,2,2,1126,1126,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-12T19:23:28.978Z,85308046000000,3789968,14100,-44058,-44048,,1126,2253,2253,18024,2,2,2253,2253,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:23:29.173Z,85308250000000,3790074,14101,-44051,-44049,,3379,3379,3379,18024,2,2,3379,3379,0,1,1,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
2026-09-12T19:23:29.276Z,85308343000000,3790273,14103,-44062,-44049,,3379,3379,3379,18024,2,2,3379,3379,0,1,1,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
