utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-12T19:35:18.767Z,86017843000000,4499737,21186,-44006,-44020,,-31541,-29288,-29288,18024,2,2,-29288,-29288,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:35:18.871Z,86017937000000,4499837,21187,-43994,-44018,,-31541,-31541,-31541,18024,2,2,-31541,-31541,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:35:18.976Z,86018046000000,4500037,21189,-43998,-44012,,-31541,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-12T19:35:19.079Z,86018156000000,4500137,21190,-44013,-44010,,-31541,-40553,-40553,18024,2,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,11265,,0,2,1,
2026-09-12T19:35:19.181Z,86018250000000,4500237,21191,-44029,-44010,,-31541,-40553,-40553,18024,2,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,11265,,0,2,1,
2026-09-12T19:35:19.285Z,86018359000000,4500338,21192,-44017,-44011,,-31541,-39427,-39427,18024,2,2,-39427,-39427,0,1,1,0,,0,3,3,0,3,4,0,0,11265,,0,2,1,
2026-09-12T19:35:19.389Z,86018468000000,4500438,21193,-44011,-44012,,-31541,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,11265,,0,2,1,
2026-09-12T19:35:19.494Z,86018562000000,4500540,21194,-44013,-44012,,-31541,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-12T19:35:19.598Z,86018671000000,4500644,21195,-44019,-44012,,-31541,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:35:19.788Z,86018859000000,4500748,21196,-44004,-44012,,-39427,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:35:19.893Z,86018968000000,4500945,21198,-44030,-44011,,-39427,-39427,-39427,18024,2,2,-39427,-39427,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:35:19.996Z,86019062000000,4501043,21199,-44026,-44013,,-39427,-37174,-37174,18024,2,2,-37174,-37174,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:35:20.101Z,86019171000000,4501147,21200,-44013,-44015,,-39427,-34921,-34921,18024,2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:35:20.205Z,86019281000000,4501251,21201,-44007,-44015,,-39427,-34921,-34921,18024,2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:35:20.309Z,86019375000000,4501355,21202,-44015,-44015,,-39427,-34921,-34921,18024,2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:35:20.414Z,86019484000000,4501459,21203,-44024,-44015,,-39427,-34921,-34921,18024,2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:35:20.519Z,86019593000000,4501564,21204,-44022,-44016,,-39427,-33794,-33794,18024,2,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:35:20.623Z,86019703000000,4501669,21205,-44015,-44017,,-39427,-32668,-32668,18024,2,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:35:20.816Z,86019890000000,4501774,21206,-44014,-44017,,-32668,-32668,-32668,18024,2,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:35:20.920Z,86020000000000,4501972,21208,-44020,-44017,,-32668,-32668,-32668,18024,2,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:35:21.023Z,86020093000000,4502071,21209,-44025,-44017,,-32668,-32668,-32668,18024,2,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:35:21.129Z,86020203000000,4502174,21210,-44012,-44017,,-32668,-32668,-32668,18024,2,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:35:21.233Z,86020312000000,4502279,21211,-44018,-44017,,-32668,-32668,-32668,18024,2,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-12T19:35:21.338Z,86020406000000,4502383,21212,-44010,-44016,,-32668,-33794,-33794,18024,2,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-12T19:35:21.443Z,86020515000000,4502487,21213,-44002,-44015,,-32668,-34921,-34921,18024,2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:35:21.548Z,86020625000000,4502593,21214,-43996,-44013,,-32668,-37174,-37174,18024,2,2,-37174,-37174,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:35:21.652Z,86020718000000,4502698,21215,-44011,-44012,,-32668,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:35:21.843Z,86020921000000,4502802,21216,-44026,-44012,,-38300,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:35:21.947Z,86021015000000,4502948,21218,-44005,-44012,,-38300,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:35:22.051Z,86021125000000,4503097,21219,-44019,-44012,,-38300,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:35:22.156Z,86021234000000,4503201,21220,-44009,-44012,,-38300,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:35:22.259Z,86021328000000,4503306,21221,-44004,-44012,,-38300,-38300,-38300,18024,2,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-12T19:35:22.364Z,86021437000000,4503410,21222,-44001,-44011,,-38300,-39427,-39427,18024,2,2,-39427,-39427,0,1,1,0,,0,3,3,0,3,4,0,0,1127,,0,2,1,
2026-09-12T19:35:22.469Z,86021546000000,4503515,21223,-44007,-44010,,-38300,-40553,-40553,18024,2,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:35:22.573Z,86021640000000,4503619,21224,-44016,-44010,,-38300,-40553,-40553,18024,2,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
