utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T06:46:35.858Z,126294937000000,44779970,423312,-487936,-487919,,500013518,500013518,500013518,499977470,49998,2,500013518,500013518,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T06:46:35.964Z,126295031000000,44780175,423314,-487922,-487919,,500013518,500013518,500013518,499977470,49998,2,500013518,500013518,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T06:46:36.070Z,126295140000000,44780274,423315,-487926,-487919,,500013518,500013518,500013518,499977470,49998,2,500013518,500013518,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T06:46:36.176Z,126295250000000,44780381,423316,-487905,-487919,,500013518,500013518,500013518,499977470,49998,2,500013518,500013518,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T06:46:36.283Z,126295359000000,44780486,423317,-487901,-487917,,500013518,500011265,500011265,499977470,49998,2,500011265,500011265,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T06:46:36.389Z,126295468000000,44780592,423318,-487919,-487915,,500013518,500009012,500009012,499977470,49998,2,500009012,500009012,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T06:46:36.494Z,126295562000000,44780698,423319,-487926,-487916,,500013518,500010138,500010138,499977470,49998,2,500010138,500010138,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T06:46:36.600Z,126295671000000,44780804,423320,-487922,-487917,,500013518,500011265,500011265,499977470,49998,2,500011265,500011265,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T06:46:36.707Z,126295781000000,44780910,423321,-487918,-487918,,500013518,500012391,500012391,499977470,49998,2,500012391,500012391,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T06:46:36.900Z,126295968000000,44781017,423322,-487920,-487918,,500013518,500012391,500012391,499977470,49998,2,500012391,500012391,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T06:46:37.005Z,126296078000000,44781173,423324,-487925,-487919,,500013518,500013518,500013518,499977470,49998,2,500013518,500013518,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T06:46:37.111Z,126296187000000,44781315,423325,-487924,-487920,,500013518,500014644,500014644,499977470,49998,2,500014644,500014644,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T06:46:37.218Z,126296296000000,44781421,423326,-487933,-487921,,500013518,500015771,500015771,499977470,49998,2,500015771,500015771,0,1,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T06:46:37.324Z,126296390000000,44781528,423327,-487932,-487922,,500013518,500016897,500016897,499977470,49998,2,500016897,500016897,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T06:46:37.430Z,126296500000000,44781634,423328,-487922,-487923,,500013518,500018024,500018024,499977470,49998,2,500018024,500018024,0,1,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T06:46:37.534Z,126296609000000,44781740,423329,-487934,-487924,,500013518,500019150,500019150,499977470,49998,2,500019150,500019150,0,1,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T06:46:37.640Z,126296718000000,44781845,423330,-487936,-487925,,500013518,500020277,500020277,499977470,49998,2,500020277,500020277,0,1,0,0,,0,3,3,0,3,4,0,0,7886,,0,2,1,
2026-09-13T06:46:37.747Z,126296812000000,44781950,423331,-487929,-487926,,500013518,500021403,500021403,499977470,49998,2,500021403,500021403,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T06:46:37.940Z,126297015000000,44782074,423333,-487917,-487925,,500019150,500020277,500020277,499977470,49998,2,500020277,500020277,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T06:46:38.046Z,126297125000000,44782175,423334,-487936,-487924,,500019150,500019150,500019150,499977470,49998,2,500019150,500019150,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T06:46:38.153Z,126297218000000,44782375,423336,-487919,-487924,,500019150,500019150,500019150,499977470,49998,2,500019150,500019150,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T06:46:38.258Z,126297328000000,44782475,423337,-487906,-487923,,500019150,500018024,500018024,499977470,49998,2,500018024,500018024,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T06:46:38.362Z,126297437000000,44782575,423338,-487902,-487921,,500019150,500015771,500015771,499977470,49998,2,500015771,500015771,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T06:46:38.467Z,126297546000000,44782676,423339,-487913,-487919,,500019150,500013518,500013518,499977470,49998,2,500013518,500013518,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
