utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T07:18:33.709Z,128212781000000,46697960,442455,-44075,-44070,,27035,27035,27035,23656,2,2,27035,27035,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T07:18:33.814Z,128212890000000,46698172,442457,-44071,-44070,,27035,27035,27035,23656,2,2,27035,27035,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:33.919Z,128212984000000,46698271,442458,-44064,-44070,,27035,27035,27035,23656,2,2,27035,27035,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:34.022Z,128213093000000,46698376,442459,-44058,-44069,,27035,25909,25909,23656,2,2,25909,25909,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:34.127Z,128213203000000,46698480,442460,-44078,-44068,,27035,24783,24783,23656,2,2,24783,24783,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:34.233Z,128213312000000,46698584,442461,-44069,-44068,,27035,24783,24783,23656,2,2,24783,24783,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:34.337Z,128213406000000,46698689,442462,-44068,-44068,,27035,24783,24783,23656,2,2,24783,24783,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:34.443Z,128213515000000,46698794,442463,-44067,-44068,,27035,24783,24783,23656,2,2,24783,24783,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:34.548Z,128213625000000,46698899,442464,-44074,-44068,,27035,24783,24783,23656,2,2,24783,24783,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:34.741Z,128213812000000,46699004,442465,-44064,-44068,,22530,24783,24783,23656,2,2,24783,24783,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T07:18:34.844Z,128213921000000,46699160,442467,-44054,-44066,,22530,22530,22530,23656,2,2,22530,22530,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:18:34.948Z,128214015000000,46699301,442468,-44074,-44065,,22530,21403,21403,23656,2,2,21403,21403,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:18:35.053Z,128214125000000,46699405,442469,-44063,-44065,,22530,21403,21403,23656,2,2,21403,21403,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:18:35.157Z,128214234000000,46699509,442470,-44071,-44066,,22530,22530,22530,23656,2,2,22530,22530,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:18:35.261Z,128214328000000,46699614,442471,-44066,-44066,,22530,22530,22530,23656,2,2,22530,22530,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:18:35.366Z,128214437000000,46699718,442472,-44071,-44067,,22530,23656,23656,23656,2,2,23656,23656,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:18:35.470Z,128214546000000,46699822,442473,-44057,-44067,,22530,23656,23656,23656,2,2,23656,23656,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:18:35.574Z,128214640000000,46699927,442474,-44061,-44066,,22530,22530,22530,23656,2,2,22530,22530,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:18:35.766Z,128214843000000,46700031,442475,-44076,-44065,,22530,21403,21403,23656,2,2,21403,21403,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:18:35.872Z,128214953000000,46700178,442477,-44073,-44066,,22530,22530,22530,23656,2,2,22530,22530,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:18:35.978Z,128215046000000,46700328,442478,-44084,-44067,,22530,23656,23656,23656,2,2,23656,23656,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:18:36.084Z,128215156000000,46700434,442479,-44094,-44069,,22530,25909,25909,23656,2,2,25909,25909,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T07:18:36.188Z,128215265000000,46700540,442480,-44076,-44071,,22530,28162,28162,23656,2,2,28162,28162,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T07:18:36.292Z,128215359000000,46700663,442482,-44056,-44071,,22530,28162,28162,23656,2,2,28162,28162,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T07:18:36.396Z,128215468000000,46700763,442483,-44063,-44070,,22530,27035,27035,23656,2,2,27035,27035,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T07:18:36.500Z,128215578000000,46700863,442484,-44061,-44069,,22530,25909,25909,23656,2,2,25909,25909,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-13T07:18:36.602Z,128215671000000,46700964,442485,-44054,-44068,,22530,24783,24783,23656,2,2,24783,24783,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T07:18:36.791Z,128215859000000,46701064,442486,-44064,-44067,,23656,23656,23656,23656,2,2,23656,23656,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T07:18:36.894Z,128215968000000,46701264,442488,-44063,-44067,,23656,23656,23656,23656,2,2,23656,23656,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
