utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T12:55:25.304Z,148424375000000,44803,439,-42027,-42032,,-2205645,-2204519,-2204519,-2191001,-219,2,-2204519,-2204519,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T12:55:25.408Z,148424484000000,44992,441,-42036,-42030,,-2205645,-2206772,-2206772,-2191001,-219,2,-2206772,-2206772,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:55:25.514Z,148424593000000,45092,442,-42031,-42030,,-2205645,-2206772,-2206772,-2191001,-219,2,-2206772,-2206772,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:55:25.619Z,148424687000000,45195,443,-42026,-42030,,-2205645,-2206772,-2206772,-2191001,-219,2,-2206772,-2206772,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:55:25.724Z,148424796000000,45300,444,-42040,-42030,,-2205645,-2206772,-2206772,-2191001,-219,2,-2206772,-2206772,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:55:25.830Z,148424906000000,45405,445,-42039,-42031,,-2205645,-2205645,-2205645,-2191001,-219,2,-2205645,-2205645,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:55:25.935Z,148425015000000,45511,446,-42060,-42032,,-2205645,-2204519,-2204519,-2191001,-219,2,-2204519,-2204519,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:55:26.041Z,148425109000000,45617,447,-42048,-42034,,-2205645,-2202266,-2202266,-2191001,-219,2,-2202266,-2202266,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:55:26.146Z,148425218000000,45722,448,-42049,-42036,,-2205645,-2200013,-2200013,-2191001,-219,2,-2200013,-2200013,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T12:55:26.340Z,148425406000000,45827,449,-42047,-42038,,-2196634,-2197760,-2197760,-2191001,-219,2,-2197760,-2197760,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
