utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-12T19:13:13.001Z,84692078000000,3173863,7948,-487946,-487958,,500056324,500057450,500057450,500060830,50006,2,500057450,500057450,0,0,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:13:13.106Z,84692171000000,3174054,7950,-487953,-487956,,500056324,500055197,500055197,500060830,50006,2,500055197,500055197,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:13.211Z,84692281000000,3174154,7951,-487962,-487956,,500056324,500055197,500055197,500060830,50006,2,500055197,500055197,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:13.316Z,84692390000000,3174260,7952,-487974,-487957,,500056324,500056324,500056324,500060830,50006,2,500056324,500056324,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:13.422Z,84692500000000,3174364,7953,-487964,-487958,,500056324,500057450,500057450,500060830,50006,2,500057450,500057450,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:13.528Z,84692593000000,3174470,7954,-487959,-487959,,500056324,500058577,500058577,500060830,50006,2,500058577,500058577,0,0,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-12T19:13:13.634Z,84692703000000,3174576,7955,-487972,-487960,,500056324,500059703,500059703,500060830,50006,2,500059703,500059703,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:13.740Z,84692812000000,3174682,7956,-487969,-487961,,500056324,500060830,500060830,500060830,50006,2,500060830,500060830,0,0,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:13:13.846Z,84692921000000,3174788,7957,-487958,-487962,,500056324,500061956,500061956,500060830,50006,2,500061956,500061956,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:14.038Z,84693109000000,3174894,7958,-487961,-487962,,500061956,500061956,500061956,500060830,50006,2,500061956,500061956,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:14.144Z,84693218000000,3175092,7960,-487987,-487964,,500061956,500064209,500064209,500060830,50006,2,500064209,500064209,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:14.250Z,84693328000000,3175191,7961,-487966,-487966,,500061956,500066462,500066462,500060830,50006,2,500066462,500066462,0,0,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-12T19:13:14.356Z,84693421000000,3175297,7962,-487980,-487968,,500061956,500068715,500068715,500060830,50006,2,500068715,500068715,0,0,0,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-12T19:13:14.462Z,84693531000000,3175403,7963,-487958,-487968,,500061956,500068715,500068715,500060830,50006,2,500068715,500068715,0,0,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-12T19:13:14.568Z,84693640000000,3175509,7964,-487959,-487967,,500061956,500067589,500067589,500060830,50006,2,500067589,500067589,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:14.674Z,84693750000000,3175616,7965,-487965,-487966,,500061956,500066462,500066462,500060830,50006,2,500066462,500066462,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:14.780Z,84693859000000,3175722,7966,-487962,-487965,,500061956,500065336,500065336,500060830,50006,2,500065336,500065336,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:14.888Z,84693968000000,3175827,7967,-487958,-487965,,500061956,500065336,500065336,500060830,50006,2,500065336,500065336,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:15.080Z,84694156000000,3175955,7969,-487947,-487962,,500059703,500061956,500061956,500060830,50006,2,500061956,500061956,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:15.186Z,84694265000000,3176056,7970,-487952,-487960,,500059703,500059703,500059703,500060830,50006,2,500059703,500059703,0,0,0,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-12T19:13:15.291Z,84694359000000,3176234,7971,-487961,-487959,,500059703,500058577,500058577,500060830,50006,2,500058577,500058577,0,0,0,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-12T19:13:15.396Z,84694468000000,3176356,7973,-487940,-487956,,500059703,500055197,500055197,500060830,50006,2,500055197,500055197,0,0,0,0,,0,3,3,0,3,4,0,0,10139,,0,2,1,
2026-09-12T19:13:15.500Z,84694578000000,3176456,7974,-487945,-487954,,500059703,500052945,500052945,500060830,50006,2,500052945,500052945,0,0,0,0,,0,3,3,0,3,4,0,0,12391,,0,2,1,
2026-09-12T19:13:15.605Z,84694671000000,3176556,7975,-487947,-487953,,500059703,500051818,500051818,500060830,50006,2,500051818,500051818,0,0,0,0,,0,3,3,0,3,4,0,0,12391,,0,2,1,
2026-09-12T19:13:15.711Z,84694781000000,3176657,7976,-487946,-487952,,500059703,500050692,500050692,500060830,50006,2,500050692,500050692,0,0,0,0,,0,3,3,0,3,4,0,0,11264,,0,2,1,
2026-09-12T19:13:15.817Z,84694890000000,3176759,7977,-487949,-487951,,500059703,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-12T19:13:15.922Z,84695000000000,3176865,7978,-487944,-487950,,500059703,500048439,500048439,500060830,50006,2,500048439,500048439,0,0,0,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-12T19:13:16.116Z,84695187000000,3176970,7979,-487947,-487950,,500048439,500048439,500048439,500060830,50006,2,500048439,500048439,0,0,0,0,,0,3,3,0,3,4,0,0,9011,,0,2,1,
2026-09-12T19:13:16.222Z,84695296000000,3177171,7981,-487958,-487951,,500048439,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:16.329Z,84695406000000,3177271,7982,-487950,-487952,,500048439,500050692,500050692,500060830,50006,2,500050692,500050692,0,0,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:13:16.435Z,84695515000000,3177377,7983,-487966,-487953,,500048439,500051818,500051818,500060830,50006,2,500051818,500051818,0,0,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:13:16.541Z,84695609000000,3177483,7984,-487958,-487954,,500048439,500052945,500052945,500060830,50006,2,500052945,500052945,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:16.647Z,84695718000000,3177589,7985,-487951,-487955,,500048439,500054071,500054071,500060830,50006,2,500054071,500054071,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:16.754Z,84695828000000,3177696,7986,-487944,-487954,,500048439,500052945,500052945,500060830,50006,2,500052945,500052945,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:16.859Z,84695937000000,3177801,7987,-487933,-487953,,500048439,500051818,500051818,500060830,50006,2,500051818,500051818,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:16.965Z,84696031000000,3177907,7988,-487937,-487951,,500048439,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:17.159Z,84696234000000,3178013,7989,-487963,-487949,,500051818,500047312,500047312,500060830,50006,2,500047312,500047312,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:17.264Z,84696343000000,3178163,7991,-487959,-487953,,500051818,500051818,500051818,500060830,50006,2,500051818,500051818,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:17.371Z,84696437000000,3178312,7992,-487968,-487955,,500051818,500054071,500054071,500060830,50006,2,500054071,500054071,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:17.476Z,84696546000000,3178418,7993,-487948,-487956,,500051818,500055197,500055197,500060830,50006,2,500055197,500055197,0,0,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-12T19:13:17.582Z,84696656000000,3178525,7994,-487936,-487955,,500051818,500054071,500054071,500060830,50006,2,500054071,500054071,0,0,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-12T19:13:17.688Z,84696765000000,3178630,7995,-487951,-487954,,500051818,500052945,500052945,500060830,50006,2,500052945,500052945,0,0,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-12T19:13:17.794Z,84696859000000,3178737,7996,-487959,-487954,,500051818,500052945,500052945,500060830,50006,2,500052945,500052945,0,0,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-12T19:13:17.899Z,84696968000000,3178860,7998,-487957,-487956,,500051818,500055197,500055197,500060830,50006,2,500055197,500055197,0,0,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:13:18.004Z,84697078000000,3178961,7999,-487950,-487956,,500051818,500055197,500055197,500060830,50006,2,500055197,500055197,0,0,0,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-12T19:13:18.195Z,84697265000000,3179061,8000,-487941,-487955,,500051818,500054071,500054071,500060830,50006,2,500054071,500054071,0,0,0,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-12T19:13:18.301Z,84697375000000,3179261,8002,-487950,-487951,,500051818,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:18.405Z,84697484000000,3179361,8003,-487963,-487951,,500051818,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:18.510Z,84697578000000,3179461,8004,-487950,-487951,,500051818,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:18.615Z,84697687000000,3179561,8005,-487948,-487951,,500051818,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:18.720Z,84697796000000,3179663,8006,-487928,-487951,,500051818,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:18.826Z,84697906000000,3179768,8007,-487944,-487950,,500051818,500048439,500048439,500060830,50006,2,500048439,500048439,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:18.931Z,84698000000000,3179874,8008,-487932,-487948,,500051818,500046186,500046186,500060830,50006,2,500046186,500046186,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:19.037Z,84698109000000,3179979,8009,-487935,-487946,,500051818,500043933,500043933,500060830,50006,2,500043933,500043933,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:19.232Z,84698312000000,3180086,8010,-487926,-487944,,500040553,500041680,500041680,500060830,50006,2,500041680,500041680,0,0,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-12T19:13:19.337Z,84698406000000,3180286,8012,-487956,-487942,,500040553,500039427,500039427,500060830,50006,2,500039427,500039427,0,0,0,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-12T19:13:19.443Z,84698515000000,3180385,8013,-487956,-487944,,500040553,500041680,500041680,500060830,50006,2,500041680,500041680,0,0,0,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-12T19:13:19.550Z,84698625000000,3180491,8014,-487954,-487946,,500040553,500043933,500043933,500060830,50006,2,500043933,500043933,0,0,0,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-12T19:13:19.655Z,84698734000000,3180598,8015,-487944,-487947,,500040553,500045059,500045059,500060830,50006,2,500045059,500045059,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:19.761Z,84698828000000,3180703,8016,-487949,-487947,,500040553,500045059,500045059,500060830,50006,2,500045059,500045059,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:19.868Z,84698937000000,3180808,8017,-487945,-487947,,500040553,500045059,500045059,500060830,50006,2,500045059,500045059,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:19.974Z,84699046000000,3180915,8018,-487957,-487947,,500040553,500045059,500045059,500060830,50006,2,500045059,500045059,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:20.080Z,84699156000000,3181022,8019,-487966,-487948,,500040553,500046186,500046186,500060830,50006,2,500046186,500046186,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:20.275Z,84699343000000,3181128,8020,-487961,-487950,,500050692,500048439,500048439,500060830,50006,2,500048439,500048439,0,0,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-12T19:13:20.381Z,84699453000000,3181277,8022,-487959,-487952,,500050692,500050692,500050692,500060830,50006,2,500050692,500050692,0,0,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:13:20.487Z,84699562000000,3181430,8023,-487949,-487952,,500050692,500050692,500050692,500060830,50006,2,500050692,500050692,0,0,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:13:20.592Z,84699671000000,3181535,8024,-487950,-487952,,500050692,500050692,500050692,500060830,50006,2,500050692,500050692,0,0,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:13:20.698Z,84699765000000,3181640,8025,-487961,-487952,,500050692,500050692,500050692,500060830,50006,2,500050692,500050692,0,0,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:13:20.804Z,84699875000000,3181765,8027,-487923,-487951,,500050692,500049565,500049565,500060830,50006,2,500049565,500049565,0,0,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:13:20.908Z,84699984000000,3181866,8028,-487938,-487949,,500050692,500047312,500047312,500060830,50006,2,500047312,500047312,0,0,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-12T19:13:21.013Z,84700093000000,3181966,8029,-487942,-487948,,500050692,500046186,500046186,500060830,50006,2,500046186,500046186,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:21.119Z,84700187000000,3182066,8030,-487951,-487947,,500050692,500045059,500045059,500060830,50006,2,500045059,500045059,0,0,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:13:21.314Z,84700390000000,3182167,8031,-487958,-487948,,500046186,500046186,500046186,500060830,50006,2,500046186,500046186,0,0,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:13:21.421Z,84700500000000,3182367,8033,-487956,-487949,,500046186,500047312,500047312,500060830,50006,2,500047312,500047312,0,0,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-12T19:13:21.526Z,84700593000000,3182468,8034,-487934,-487947,,500046186,500045059,500045059,500060830,50006,2,500045059,500045059,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:21.631Z,84700703000000,3182575,8035,-487933,-487945,,500046186,500042806,500042806,500060830,50006,2,500042806,500042806,0,0,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:13:21.736Z,84700812000000,3182680,8036,-487951,-487944,,500046186,500041680,500041680,500060830,50006,2,500041680,500041680,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:21.841Z,84700921000000,3182785,8037,-487959,-487945,,500046186,500042806,500042806,500060830,50006,2,500042806,500042806,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:21.947Z,84701015000000,3182889,8038,-487959,-487947,,500046186,500045059,500045059,500060830,50006,2,500045059,500045059,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:13:22.053Z,84701125000000,3182995,8039,-487947,-487949,,500046186,500047312,500047312,500060830,50006,2,500047312,500047312,0,0,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
