utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-12T19:15:50.205Z,84849281000000,3331089,9518,-487961,-487955,,500054071,500054071,500054071,500060830,50006,2,500054071,500054071,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:15:50.311Z,84849390000000,3331189,9519,-487951,-487955,,500054071,500054071,500054071,500060830,50006,2,500054071,500054071,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:15:50.418Z,84849484000000,3331389,9521,-487963,-487957,,500054071,500056324,500056324,500060830,50006,2,500056324,500056324,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:50.523Z,84849593000000,3331489,9522,-487955,-487958,,500054071,500057450,500057450,500060830,50006,2,500057450,500057450,0,1,0,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
2026-09-12T19:15:50.627Z,84849703000000,3331590,9523,-487953,-487958,,500054071,500057450,500057450,500060830,50006,2,500057450,500057450,0,1,0,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
2026-09-12T19:15:50.733Z,84849812000000,3331690,9524,-487952,-487957,,500054071,500056324,500056324,500060830,50006,2,500056324,500056324,0,1,0,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
2026-09-12T19:15:50.838Z,84849906000000,3331792,9525,-487955,-487956,,500054071,500055197,500055197,500060830,50006,2,500055197,500055197,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:50.944Z,84850015000000,3331898,9526,-487956,-487956,,500054071,500055197,500055197,500060830,50006,2,500055197,500055197,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:51.050Z,84850125000000,3332004,9527,-487957,-487956,,500054071,500055197,500055197,500060830,50006,2,500055197,500055197,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:15:51.244Z,84850312000000,3332109,9528,-487943,-487956,,500052945,500055197,500055197,500060830,50006,2,500055197,500055197,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-12T19:15:51.349Z,84850421000000,3332309,9530,-487961,-487953,,500052945,500051818,500051818,500060830,50006,2,500051818,500051818,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-12T19:15:51.456Z,84850531000000,3332409,9531,-487967,-487954,,500052945,500052945,500052945,500060830,50006,2,500052945,500052945,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-12T19:15:51.561Z,84850640000000,3332516,9532,-487961,-487955,,500052945,500054071,500054071,500060830,50006,2,500054071,500054071,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:51.667Z,84850734000000,3332621,9533,-487945,-487956,,500052945,500055197,500055197,500060830,50006,2,500055197,500055197,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:51.772Z,84850843000000,3332727,9534,-487943,-487955,,500052945,500054071,500054071,500060830,50006,2,500054071,500054071,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:51.878Z,84850953000000,3332832,9535,-487944,-487954,,500052945,500052945,500052945,500060830,50006,2,500052945,500052945,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:51.984Z,84851062000000,3332937,9536,-487965,-487953,,500052945,500051818,500051818,500060830,50006,2,500051818,500051818,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:52.089Z,84851156000000,3333044,9537,-487966,-487955,,500052945,500054071,500054071,500060830,50006,2,500054071,500054071,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:52.284Z,84851359000000,3333149,9538,-487944,-487956,,500052945,500055197,500055197,500060830,50006,2,500055197,500055197,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:52.390Z,84851468000000,3333299,9540,-487956,-487954,,500052945,500052945,500052945,500060830,50006,2,500052945,500052945,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:52.496Z,84851562000000,3333449,9541,-487952,-487954,,500052945,500052945,500052945,500060830,50006,2,500052945,500052945,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:52.601Z,84851671000000,3333556,9542,-487960,-487954,,500052945,500052945,500052945,500060830,50006,2,500052945,500052945,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:52.708Z,84851781000000,3333661,9543,-487951,-487954,,500052945,500052945,500052945,500060830,50006,2,500052945,500052945,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-12T19:15:52.813Z,84851890000000,3333767,9544,-487935,-487954,,500052945,500052945,500052945,500060830,50006,2,500052945,500052945,0,1,0,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
