utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T09:22:34.309Z,135653375000000,1524822,15215,-43945,-43955,,-51818,-38300,-38300,-30415,-3,2,-38300,-38300,0,1,1,0,,0,1,2,0,3,4,0,0,22530,,0,2,1,
2026-09-13T09:22:34.428Z,135653500000000,1525009,15217,-43940,-43943,,-51818,-51818,-51818,-30415,-3,2,-51818,-51818,0,1,1,0,,0,1,2,0,3,4,0,0,24783,,0,2,1,
2026-09-13T09:22:34.547Z,135653625000000,1525169,15218,-43948,-43944,,-51818,-50692,-50692,-30415,-3,2,-50692,-50692,0,1,1,0,,0,1,2,0,3,4,0,0,24783,,0,2,1,
2026-09-13T09:22:34.668Z,135653734000000,1525311,15220,-43944,-43952,,-51818,-41680,-41680,-30415,-3,2,-41680,-41680,0,1,1,0,,0,1,2,0,3,4,0,0,24783,,0,2,1,
2026-09-13T09:22:34.785Z,135653859000000,1525411,15221,-43946,-43945,,-51818,-49565,-49565,-30415,-3,2,-49565,-49565,0,1,1,0,,0,1,2,0,3,4,0,0,24783,,0,2,1,
2026-09-13T09:22:34.902Z,135653968000000,1525528,15222,-43937,-43942,,-51818,-52945,-52945,-30415,-3,2,-52945,-52945,0,1,1,0,,0,1,2,0,3,4,0,0,14645,,0,2,1,
2026-09-13T09:22:35.017Z,135654093000000,1525644,15223,-43921,-43929,,-51818,-67589,-67589,-30415,-3,2,-67589,-67589,0,1,1,0,,0,1,2,0,3,4,0,0,28162,,0,2,1,
2026-09-13T09:22:35.134Z,135654203000000,1525761,15224,-43922,-43922,,-51818,-75474,-75474,-30415,-3,2,-75474,-75474,0,1,1,0,,0,1,2,0,3,4,0,0,36047,,0,2,1,
2026-09-13T09:22:35.348Z,135654421000000,1525877,15225,-43941,-43932,,-41680,-64209,-64209,-30415,-3,2,-64209,-64209,0,1,1,0,,0,1,2,0,3,4,0,0,36047,,0,2,1,
2026-09-13T09:22:35.466Z,135654546000000,1526111,15228,-43938,-43946,,-41680,-48439,-48439,-30415,-3,2,-48439,-48439,0,1,1,0,,0,1,2,0,3,4,0,0,33794,,0,2,1,
2026-09-13T09:22:35.585Z,135654656000000,1526212,15229,-43935,-43937,,-41680,-58577,-58577,-30415,-3,2,-58577,-58577,0,1,1,0,,0,1,2,0,3,4,0,0,33794,,0,2,1,
2026-09-13T09:22:35.702Z,135654781000000,1526327,15230,-43936,-43936,,-41680,-59703,-59703,-30415,-3,2,-59703,-59703,0,1,1,0,,0,1,2,0,3,4,0,0,33794,,0,2,1,
2026-09-13T09:22:35.819Z,135654890000000,1526445,15231,-43939,-43938,,-41680,-57450,-57450,-30415,-3,2,-57450,-57450,0,1,1,0,,0,1,2,0,3,4,0,0,33794,,0,2,1,
2026-09-13T09:22:35.936Z,135655015000000,1526562,15232,-43937,-43938,,-41680,-57450,-57450,-30415,-3,2,-57450,-57450,0,1,1,0,,0,1,2,0,3,4,0,0,22529,,0,2,1,
2026-09-13T09:22:36.052Z,135655125000000,1526678,15233,-43945,-43941,,-41680,-54071,-54071,-30415,-3,2,-54071,-54071,0,1,1,0,,0,1,2,0,3,4,0,0,18023,,0,2,1,
2026-09-13T09:22:36.171Z,135655250000000,1526813,15235,-43943,-43945,,-41680,-49565,-49565,-30415,-3,2,-49565,-49565,0,1,1,0,,0,1,2,0,3,4,0,0,11264,,0,2,1,
2026-09-13T09:22:36.385Z,135655453000000,1526913,15236,-43944,-43944,,-52945,-50692,-50692,-30415,-3,2,-50692,-50692,0,1,1,0,,0,1,2,0,3,4,0,0,11264,,0,2,1,
2026-09-13T09:22:36.501Z,135655578000000,1527134,15238,-43958,-43949,,-52945,-45059,-45059,-30415,-3,2,-45059,-45059,0,1,1,0,,0,1,2,0,3,4,0,0,12391,,0,2,1,
2026-09-13T09:22:36.620Z,135655687000000,1527245,15239,-43949,-43954,,-52945,-39427,-39427,-30415,-3,2,-39427,-39427,0,1,1,0,,0,1,2,0,3,4,0,0,18023,,0,2,1,
2026-09-13T09:22:36.738Z,135655812000000,1527363,15240,-43937,-43943,,-52945,-51818,-51818,-30415,-3,2,-51818,-51818,0,1,1,0,,0,1,2,0,3,4,0,0,14644,,0,2,1,
2026-09-13T09:22:36.855Z,135655921000000,1527480,15241,-43947,-43942,,-52945,-52945,-52945,-30415,-3,2,-52945,-52945,0,1,1,0,,0,1,2,0,3,4,0,0,13518,,0,2,1,
2026-09-13T09:22:36.971Z,135656046000000,1527614,15243,-43944,-43942,,-52945,-52945,-52945,-30415,-3,2,-52945,-52945,0,1,1,0,,0,1,2,0,3,4,0,0,13518,,0,2,1,
2026-09-13T09:22:37.089Z,135656156000000,1527715,15244,-43962,-43953,,-52945,-40553,-40553,-30415,-3,2,-40553,-40553,0,1,1,0,,0,1,2,0,3,4,0,0,13518,,0,2,1,
2026-09-13T09:22:37.206Z,135656281000000,1527832,15245,-43960,-43961,,-52945,-31541,-31541,-30415,-3,2,-31541,-31541,0,1,1,0,,0,1,2,0,3,4,0,0,21404,,0,2,1,
2026-09-13T09:22:37.423Z,135656500000000,1527948,15246,-43942,-43951,,-50692,-42806,-42806,-30415,-3,2,-42806,-42806,0,1,1,0,,0,1,2,0,3,4,0,0,21404,,0,2,1,
2026-09-13T09:22:37.540Z,135656609000000,1528116,15248,-43956,-43944,,-50692,-50692,-50692,-30415,-3,2,-50692,-50692,0,1,1,0,,0,1,2,0,3,4,0,0,27036,,0,2,1,
2026-09-13T09:22:37.657Z,135656734000000,1528283,15249,-43958,-43957,,-50692,-36047,-36047,-30415,-3,2,-36047,-36047,0,1,1,0,,0,1,2,0,3,4,0,0,27036,,0,2,1,
2026-09-13T09:22:37.775Z,135656843000000,1528416,15251,-43952,-43950,,-50692,-43933,-43933,-30415,-3,2,-43933,-43933,0,1,1,0,,0,1,2,0,3,4,0,0,27036,,0,2,1,
2026-09-13T09:22:37.892Z,135656968000000,1528518,15252,-43941,-43947,,-50692,-47312,-47312,-30415,-3,2,-47312,-47312,0,1,1,0,,0,1,2,0,3,4,0,0,27036,,0,2,1,
2026-09-13T09:22:38.009Z,135657078000000,1528635,15253,-43955,-43948,,-50692,-46186,-46186,-30415,-3,2,-46186,-46186,0,1,1,0,,0,1,2,0,3,4,0,0,22530,,0,2,1,
2026-09-13T09:22:38.126Z,135657203000000,1528752,15254,-43948,-43952,,-50692,-41680,-41680,-30415,-3,2,-41680,-41680,0,1,1,0,,0,1,2,0,3,4,0,0,22530,,0,2,1,
2026-09-13T09:22:38.242Z,135657312000000,1528868,15255,-43924,-43936,,-50692,-59703,-59703,-30415,-3,2,-59703,-59703,0,1,1,0,,0,1,2,0,3,4,0,0,23656,,0,2,1,
2026-09-13T09:22:38.456Z,135657531000000,1528985,15256,-43936,-43930,,-59703,-66462,-66462,-30415,-3,2,-66462,-66462,0,1,1,0,,0,1,2,0,3,4,0,0,30415,,0,2,1,
2026-09-13T09:22:38.574Z,135657640000000,1529217,15259,-43937,-43936,,-59703,-59703,-59703,-30415,-3,2,-59703,-59703,0,1,1,0,,0,1,2,0,3,4,0,0,24782,,0,2,1,
2026-09-13T09:22:38.690Z,135657765000000,1529317,15260,-43935,-43936,,-59703,-59703,-59703,-30415,-3,2,-59703,-59703,0,1,1,0,,0,1,2,0,3,4,0,0,24782,,0,2,1,
2026-09-13T09:22:38.808Z,135657875000000,1529434,15261,-43934,-43935,,-59703,-60830,-60830,-30415,-3,2,-60830,-60830,0,1,1,0,,0,1,2,0,3,4,0,0,24782,,0,2,1,
