utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T09:25:29.493Z,135828562000000,1700043,16964,-487873,-487865,,500021403,500016897,500016897,499976344,49998,2,500016897,500016897,0,1,0,0,,0,1,2,0,3,4,0,0,29289,,0,2,1,
2026-09-13T09:25:29.613Z,135828687000000,1700255,16966,-487860,-487862,,500021403,500013518,500013518,499976344,49998,2,500013518,500013518,0,1,0,0,,0,1,2,0,3,4,0,0,29289,,0,2,1,
2026-09-13T09:25:29.734Z,135828812000000,1700368,16967,-487860,-487860,,500021403,500011265,500011265,499976344,49998,2,500011265,500011265,0,1,0,0,,0,1,2,0,3,4,0,0,14645,,0,2,1,
2026-09-13T09:25:29.854Z,135828921000000,1700489,16968,-487873,-487867,,500021403,500019150,500019150,499976344,49998,2,500019150,500019150,0,1,0,0,,0,1,2,0,3,4,0,0,14645,,0,2,1,
2026-09-13T09:25:29.970Z,135829046000000,1700609,16969,-487861,-487867,,500021403,500019150,500019150,499976344,49998,2,500019150,500019150,0,1,0,0,,0,1,2,0,3,4,0,0,11265,,0,2,1,
2026-09-13T09:25:30.088Z,135829156000000,1700737,16971,-487866,-487864,,500021403,500015771,500015771,499976344,49998,2,500015771,500015771,0,1,0,0,,0,1,2,0,3,4,0,0,10138,,0,2,1,
2026-09-13T09:25:30.204Z,135829281000000,1700844,16972,-487872,-487869,,500021403,500021403,500021403,499976344,49998,2,500021403,500021403,0,1,0,0,,0,1,2,0,3,4,0,0,10138,,0,2,1,
2026-09-13T09:25:30.322Z,135829390000000,1700961,16973,-487853,-487863,,500021403,500014644,500014644,499976344,49998,2,500014644,500014644,0,1,0,0,,0,1,2,0,3,4,0,0,10138,,0,2,1,
2026-09-13T09:25:30.537Z,135829609000000,1701078,16974,-487867,-487860,,500016897,500011265,500011265,499976344,49998,2,500011265,500011265,0,1,0,0,,0,1,2,0,3,4,0,0,10138,,0,2,1,
2026-09-13T09:25:30.655Z,135829734000000,1701243,16976,-487857,-487865,,500016897,500016897,500016897,499976344,49998,2,500016897,500016897,0,1,0,0,,0,1,2,0,3,4,0,0,11265,,0,2,1,
