utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T09:28:25.118Z,136004187000000,1875678,18717,-43975,-43973,,-24783,-18024,-18024,-42806,-4,2,-18024,-18024,0,1,1,0,,0,2,1,0,3,4,0,0,29288,,0,2,1,
2026-09-13T09:28:25.235Z,136004312000000,1875893,18719,-43958,-43962,,-24783,-30415,-30415,-42806,-4,2,-30415,-30415,0,1,1,0,,0,2,1,0,3,4,0,0,29288,,0,2,1,
2026-09-13T09:28:25.354Z,136004421000000,1876004,18720,-43958,-43960,,-24783,-32668,-32668,-42806,-4,2,-32668,-32668,0,1,1,0,,0,2,1,0,3,4,0,0,29288,,0,2,1,
2026-09-13T09:28:25.471Z,136004546000000,1876123,18721,-43959,-43959,,-24783,-33794,-33794,-42806,-4,2,-33794,-33794,0,1,1,0,,0,2,1,0,3,4,0,0,20276,,0,2,1,
2026-09-13T09:28:25.588Z,136004656000000,1876241,18722,-43955,-43957,,-24783,-36047,-36047,-42806,-4,2,-36047,-36047,0,1,1,0,,0,2,1,0,3,4,0,0,18023,,0,2,1,
2026-09-13T09:28:25.704Z,136004781000000,1876371,18724,-43945,-43952,,-24783,-41680,-41680,-42806,-4,2,-41680,-41680,0,1,1,0,,0,2,1,0,3,4,0,0,23656,,0,2,1,
2026-09-13T09:28:25.822Z,136004890000000,1876473,18725,-43959,-43956,,-24783,-37174,-37174,-42806,-4,2,-37174,-37174,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:28:25.941Z,136005015000000,1876592,18726,-43953,-43954,,-24783,-39427,-39427,-42806,-4,2,-39427,-39427,0,1,1,0,,0,2,1,0,3,4,0,0,11265,,0,2,1,
2026-09-13T09:28:26.154Z,136005234000000,1876709,18727,-43952,-43953,,-33794,-40553,-40553,-42806,-4,2,-40553,-40553,0,1,1,0,,0,2,1,0,3,4,0,0,9012,,0,2,1,
2026-09-13T09:28:26.272Z,136005343000000,1876873,18729,-43964,-43959,,-33794,-33794,-33794,-42806,-4,2,-33794,-33794,0,1,1,0,,0,2,1,0,3,4,0,0,7886,,0,2,1,
2026-09-13T09:28:26.388Z,136005468000000,1877041,18730,-43964,-43962,,-33794,-30415,-30415,-42806,-4,2,-30415,-30415,0,1,1,0,,0,2,1,0,3,4,0,0,11265,,0,2,1,
2026-09-13T09:28:26.505Z,136005578000000,1877172,18732,-43972,-43971,,-33794,-20277,-20277,-42806,-4,2,-20277,-20277,0,1,1,0,,0,2,1,0,3,4,0,0,20276,,0,2,1,
2026-09-13T09:28:26.622Z,136005687000000,1877274,18733,-43957,-43964,,-33794,-28162,-28162,-42806,-4,2,-28162,-28162,0,1,1,0,,0,2,1,0,3,4,0,0,20276,,0,2,1,
2026-09-13T09:28:26.742Z,136005812000000,1877391,18734,-43968,-43966,,-33794,-25909,-25909,-42806,-4,2,-25909,-25909,0,1,1,0,,0,2,1,0,3,4,0,0,20276,,0,2,1,
2026-09-13T09:28:26.860Z,136005937000000,1877509,18735,-43964,-43965,,-33794,-27035,-27035,-42806,-4,2,-27035,-27035,0,1,1,0,,0,2,1,0,3,4,0,0,19150,,0,2,1,
2026-09-13T09:28:26.976Z,136006046000000,1877629,18736,-43969,-43967,,-33794,-24783,-24783,-42806,-4,2,-24783,-24783,0,1,1,0,,0,2,1,0,3,4,0,0,13517,,0,2,1,
2026-09-13T09:28:27.188Z,136006265000000,1877746,18737,-43942,-43954,,-42806,-39427,-39427,-42806,-4,2,-39427,-39427,0,1,1,0,,0,2,1,0,3,4,0,0,19150,,0,2,1,
2026-09-13T09:28:27.306Z,136006375000000,1877974,18740,-43957,-43954,,-42806,-39427,-39427,-42806,-4,2,-39427,-39427,0,1,1,0,,0,2,1,0,3,4,0,0,18023,,0,2,1,
2026-09-13T09:28:27.422Z,136006500000000,1878075,18741,-43943,-43948,,-42806,-46186,-46186,-42806,-4,2,-46186,-46186,0,1,1,0,,0,2,1,0,3,4,0,0,21403,,0,2,1,
2026-09-13T09:28:27.540Z,136006609000000,1878192,18742,-43927,-43937,,-42806,-58577,-58577,-42806,-4,2,-58577,-58577,0,1,1,0,,0,2,1,0,3,4,0,0,33794,,0,2,1,
