utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T09:35:09.917Z,136408984000000,2280493,22758,-43963,-43959,,-22530,-33794,-33794,-12391,-1,2,-33794,-33794,0,1,1,0,,0,2,1,0,3,4,0,0,14644,,0,2,1,
2026-09-13T09:35:10.034Z,136409109000000,2280722,22760,-43951,-43960,,-22530,-32668,-32668,-12391,-1,2,-32668,-32668,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:35:10.152Z,136409218000000,2280834,22761,-43949,-43954,,-22530,-39427,-39427,-12391,-1,2,-39427,-39427,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:35:10.270Z,136409343000000,2280952,22762,-43958,-43956,,-22530,-37174,-37174,-12391,-1,2,-37174,-37174,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:35:10.387Z,136409453000000,2281070,22763,-43967,-43962,,-22530,-30415,-30415,-12391,-1,2,-30415,-30415,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:35:10.503Z,136409578000000,2281194,22765,-43954,-43960,,-22530,-32668,-32668,-12391,-1,2,-32668,-32668,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:35:10.620Z,136409687000000,2281304,22766,-43962,-43961,,-22530,-31541,-31541,-12391,-1,2,-31541,-31541,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:35:10.737Z,136409812000000,2281420,22767,-43965,-43963,,-22530,-29288,-29288,-12391,-1,2,-29288,-29288,0,1,1,0,,0,2,1,0,3,4,0,0,13518,,0,2,1,
2026-09-13T09:35:10.949Z,136410015000000,2281537,22768,-43969,-43966,,-33794,-25909,-25909,-12391,-1,2,-25909,-25909,0,1,1,0,,0,2,1,0,3,4,0,0,13518,,0,2,1,
2026-09-13T09:35:11.067Z,136410140000000,2281700,22770,-43958,-43959,,-33794,-33794,-33794,-12391,-1,2,-33794,-33794,0,1,1,0,,0,2,1,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:35:11.183Z,136410250000000,2281867,22771,-43951,-43955,,-33794,-38300,-38300,-12391,-1,2,-38300,-38300,0,1,1,0,,0,2,1,0,3,4,0,0,12391,,0,2,1,
2026-09-13T09:35:11.301Z,136410375000000,2281996,22773,-43966,-43963,,-33794,-29288,-29288,-12391,-1,2,-29288,-29288,0,1,1,0,,0,2,1,0,3,4,0,0,12391,,0,2,1,
2026-09-13T09:35:11.419Z,136410500000000,2282101,22774,-43969,-43966,,-33794,-25909,-25909,-12391,-1,2,-25909,-25909,0,1,1,0,,0,2,1,0,3,4,0,0,12391,,0,2,1,
2026-09-13T09:35:11.536Z,136410609000000,2282219,22775,-43965,-43965,,-33794,-27035,-27035,-12391,-1,2,-27035,-27035,0,1,1,0,,0,2,1,0,3,4,0,0,12391,,0,2,1,
2026-09-13T09:35:11.653Z,136410718000000,2282336,22776,-43968,-43967,,-33794,-24783,-24783,-12391,-1,2,-24783,-24783,0,1,1,0,,0,2,1,0,3,4,0,0,13517,,0,2,1,
2026-09-13T09:35:11.771Z,136410843000000,2282453,22777,-43975,-43971,,-33794,-20277,-20277,-12391,-1,2,-20277,-20277,0,1,1,0,,0,2,1,0,3,4,0,0,18023,,0,2,1,
2026-09-13T09:35:11.982Z,136411062000000,2282570,22778,-43980,-43976,,-27035,-14644,-14644,-12391,-1,2,-14644,-14644,0,1,1,0,,0,2,1,0,3,4,0,0,23656,,0,2,1,
2026-09-13T09:35:12.099Z,136411171000000,2282797,22781,-43971,-43968,,-27035,-23656,-23656,-12391,-1,2,-23656,-23656,0,1,1,0,,0,2,1,0,3,4,0,0,12391,,0,2,1,
2026-09-13T09:35:12.216Z,136411296000000,2282899,22782,-43969,-43969,,-27035,-22530,-22530,-12391,-1,2,-22530,-22530,0,1,1,0,,0,2,1,0,3,4,0,0,12391,,0,2,1,
2026-09-13T09:35:12.333Z,136411406000000,2283017,22783,-43958,-43963,,-27035,-29288,-29288,-12391,-1,2,-29288,-29288,0,1,1,0,,0,2,1,0,3,4,0,0,14644,,0,2,1,
2026-09-13T09:35:12.451Z,136411531000000,2283133,22784,-43957,-43960,,-27035,-32668,-32668,-12391,-1,2,-32668,-32668,0,1,1,0,,0,2,1,0,3,4,0,0,18024,,0,2,1,
2026-09-13T09:35:12.566Z,136411640000000,2283250,22785,-43967,-43964,,-27035,-28162,-28162,-12391,-1,2,-28162,-28162,0,1,1,0,,0,2,1,0,3,4,0,0,18024,,0,2,1,
2026-09-13T09:35:12.683Z,136411750000000,2283367,22786,-43963,-43963,,-27035,-29288,-29288,-12391,-1,2,-29288,-29288,0,1,1,0,,0,2,1,0,3,4,0,0,11265,,0,2,1,
2026-09-13T09:35:12.801Z,136411875000000,2283499,22788,-43986,-43979,,-27035,-11265,-11265,-12391,-1,2,-11265,-11265,0,1,1,0,,0,2,1,0,3,4,0,0,21403,,0,2,1,
2026-09-13T09:35:13.015Z,136412093000000,2283600,22789,-43974,-43976,,-18024,-14644,-14644,-12391,-1,2,-14644,-14644,0,1,1,0,,0,2,1,0,3,4,0,0,21403,,0,2,1,
2026-09-13T09:35:13.131Z,136412203000000,2283821,22791,-43955,-43964,,-18024,-28162,-28162,-12391,-1,2,-28162,-28162,0,1,1,0,,0,2,1,0,3,4,0,0,21403,,0,2,1,
2026-09-13T09:35:13.251Z,136412328000000,2283932,22792,-43961,-43962,,-18024,-30415,-30415,-12391,-1,2,-30415,-30415,0,1,1,0,,0,2,1,0,3,4,0,0,19150,,0,2,1,
2026-09-13T09:35:13.367Z,136412437000000,2284050,22793,-43947,-43954,,-18024,-39427,-39427,-12391,-1,2,-39427,-39427,0,1,1,0,,0,2,1,0,3,4,0,0,28162,,0,2,1,
2026-09-13T09:35:13.482Z,136412562000000,2284167,22794,-43948,-43951,,-18024,-42806,-42806,-12391,-1,2,-42806,-42806,0,1,1,0,,0,2,1,0,3,4,0,0,31541,,0,2,1,
2026-09-13T09:35:13.601Z,136412671000000,2284300,22796,-43964,-43959,,-18024,-33794,-33794,-12391,-1,2,-33794,-33794,0,1,1,0,,0,2,1,0,3,4,0,0,28162,,0,2,1,
2026-09-13T09:35:13.717Z,136412796000000,2284400,22797,-43969,-43964,,-18024,-28162,-28162,-12391,-1,2,-28162,-28162,0,1,1,0,,0,2,1,0,3,4,0,0,24782,,0,2,1,
2026-09-13T09:35:13.833Z,136412906000000,2284518,22798,-43968,-43966,,-18024,-25909,-25909,-12391,-1,2,-25909,-25909,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:35:14.045Z,136413125000000,2284634,22799,-43977,-43972,,-21403,-19150,-19150,-12391,-1,2,-19150,-19150,0,1,1,0,,0,2,1,0,3,4,0,0,23656,,0,2,1,
2026-09-13T09:35:14.162Z,136413234000000,2284801,22801,-43967,-43970,,-21403,-21403,-21403,-12391,-1,2,-21403,-21403,0,1,1,0,,0,2,1,0,3,4,0,0,25909,,0,2,1,
2026-09-13T09:35:14.280Z,136413359000000,2284963,22802,-43960,-43965,,-21403,-27035,-27035,-12391,-1,2,-27035,-27035,0,1,1,0,,0,2,1,0,3,4,0,0,23656,,0,2,1,
2026-09-13T09:35:14.396Z,136413468000000,2285080,22803,-43965,-43965,,-21403,-27035,-27035,-12391,-1,2,-27035,-27035,0,1,1,0,,0,2,1,0,3,4,0,0,16897,,0,2,1,
2026-09-13T09:35:14.513Z,136413593000000,2285202,22805,-43978,-43971,,-21403,-20277,-20277,-12391,-1,2,-20277,-20277,0,1,1,0,,0,2,1,0,3,4,0,0,11265,,0,2,1,
2026-09-13T09:35:14.631Z,136413703000000,2285314,22806,-43980,-43976,,-21403,-14644,-14644,-12391,-1,2,-14644,-14644,0,1,1,0,,0,2,1,0,3,4,0,0,13518,,0,2,1,
