utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T09:46:45.915Z,137104984000000,60316,594,-43939,-43935,,-59703,-60830,-60830,-27035,-3,2,-60830,-60830,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T09:46:46.019Z,137105093000000,60527,596,-43940,-43937,,-59703,-58577,-58577,-27035,-3,2,-58577,-58577,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T09:46:46.126Z,137105203000000,60625,597,-43942,-43938,,-59703,-57450,-57450,-27035,-3,2,-57450,-57450,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T09:46:46.230Z,137105296000000,60732,598,-43953,-43939,,-59703,-56324,-56324,-27035,-3,2,-56324,-56324,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T09:46:46.335Z,137105406000000,60836,599,-43949,-43940,,-59703,-55197,-55197,-27035,-3,2,-55197,-55197,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T09:46:46.440Z,137105515000000,60941,600,-43939,-43941,,-59703,-54071,-54071,-27035,-3,2,-54071,-54071,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:46.546Z,137105625000000,61046,601,-43953,-43942,,-59703,-52945,-52945,-27035,-3,2,-52945,-52945,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:46.650Z,137105718000000,61151,602,-43952,-43943,,-59703,-51818,-51818,-27035,-3,2,-51818,-51818,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:46.755Z,137105828000000,61256,603,-43954,-43944,,-59703,-50692,-50692,-27035,-3,2,-50692,-50692,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:46.947Z,137106015000000,61361,604,-43956,-43945,,-47312,-49565,-49565,-27035,-3,2,-49565,-49565,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:47.052Z,137106125000000,61512,606,-43950,-43947,,-47312,-47312,-47312,-27035,-3,2,-47312,-47312,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:47.156Z,137106234000000,61657,607,-43951,-43947,,-47312,-47312,-47312,-27035,-3,2,-47312,-47312,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T09:46:47.262Z,137106328000000,61762,608,-43932,-43947,,-47312,-47312,-47312,-27035,-3,2,-47312,-47312,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T09:46:47.367Z,137106437000000,61867,609,-43914,-43945,,-47312,-49565,-49565,-27035,-3,2,-49565,-49565,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T09:46:47.472Z,137106546000000,61972,610,-43925,-43942,,-47312,-52945,-52945,-27035,-3,2,-52945,-52945,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T09:46:47.577Z,137106656000000,62077,611,-43944,-43940,,-47312,-55197,-55197,-27035,-3,2,-55197,-55197,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:47.682Z,137106750000000,62182,612,-43943,-43940,,-47312,-55197,-55197,-27035,-3,2,-55197,-55197,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:47.786Z,137106859000000,62287,613,-43947,-43941,,-47312,-54071,-54071,-27035,-3,2,-54071,-54071,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:47.978Z,137107046000000,62392,614,-43944,-43941,,-54071,-54071,-54071,-27035,-3,2,-54071,-54071,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:48.083Z,137107156000000,62514,616,-43933,-43941,,-54071,-54071,-54071,-27035,-3,2,-54071,-54071,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T09:46:48.187Z,137107265000000,62688,617,-43927,-43940,,-54071,-55197,-55197,-27035,-3,2,-55197,-55197,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-13T09:46:48.292Z,137107359000000,62793,618,-43933,-43939,,-54071,-56324,-56324,-27035,-3,2,-56324,-56324,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T09:46:48.397Z,137107468000000,62915,620,-43936,-43938,,-54071,-57450,-57450,-27035,-3,2,-57450,-57450,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T09:46:48.500Z,137107578000000,63015,621,-43941,-43938,,-54071,-57450,-57450,-27035,-3,2,-57450,-57450,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T09:46:48.604Z,137107671000000,63115,622,-43934,-43938,,-54071,-57450,-57450,-27035,-3,2,-57450,-57450,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T09:46:48.708Z,137107781000000,63216,623,-43925,-43937,,-54071,-58577,-58577,-27035,-3,2,-58577,-58577,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T09:46:48.813Z,137107890000000,63316,624,-43915,-43935,,-54071,-60830,-60830,-27035,-3,2,-60830,-60830,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T09:46:49.006Z,137108078000000,63418,625,-43930,-43934,,-63083,-61956,-61956,-27035,-3,2,-61956,-61956,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T09:46:49.111Z,137108187000000,63618,627,-43920,-43933,,-63083,-63083,-63083,-27035,-3,2,-63083,-63083,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T09:46:49.215Z,137108281000000,63717,628,-43928,-43932,,-63083,-64209,-64209,-27035,-3,2,-64209,-64209,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T09:46:49.319Z,137108390000000,63821,629,-43933,-43931,,-63083,-65336,-65336,-27035,-3,2,-65336,-65336,0,1,1,0,,0,3,3,0,3,4,0,0,7886,,0,2,1,
2026-09-13T09:46:49.425Z,137108500000000,63925,630,-43920,-43931,,-63083,-65336,-65336,-27035,-3,2,-65336,-65336,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T09:46:49.530Z,137108609000000,64031,631,-43904,-43930,,-63083,-66462,-66462,-27035,-3,2,-66462,-66462,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T09:46:49.635Z,137108703000000,64136,632,-43909,-43927,,-63083,-69842,-69842,-27035,-3,2,-69842,-69842,0,1,1,0,,0,3,3,0,3,4,0,0,7886,,0,2,1,
2026-09-13T09:46:49.740Z,137108812000000,64241,633,-43921,-43925,,-63083,-72095,-72095,-27035,-3,2,-72095,-72095,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-13T09:46:49.845Z,137108921000000,64345,634,-43923,-43924,,-63083,-73221,-73221,-27035,-3,2,-73221,-73221,0,1,1,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-13T09:46:50.038Z,137109109000000,64451,635,-43929,-43924,,-73221,-73221,-73221,-27035,-3,2,-73221,-73221,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-13T09:46:50.144Z,137109218000000,64649,637,-43921,-43924,,-73221,-73221,-73221,-27035,-3,2,-73221,-73221,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:50.248Z,137109328000000,64749,638,-43924,-43924,,-73221,-73221,-73221,-27035,-3,2,-73221,-73221,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T09:46:50.353Z,137109421000000,64854,639,-43929,-43924,,-73221,-73221,-73221,-27035,-3,2,-73221,-73221,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T09:46:50.459Z,137109531000000,64959,640,-43944,-43925,,-73221,-72095,-72095,-27035,-3,2,-72095,-72095,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-13T09:46:50.564Z,137109640000000,65065,641,-43946,-43927,,-73221,-69842,-69842,-27035,-3,2,-69842,-69842,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T09:46:50.669Z,137109734000000,65169,642,-43945,-43929,,-73221,-67589,-67589,-27035,-3,2,-67589,-67589,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T09:46:50.774Z,137109843000000,65275,643,-43941,-43931,,-73221,-65336,-65336,-27035,-3,2,-65336,-65336,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T09:46:50.877Z,137109953000000,65379,644,-43943,-43933,,-73221,-63083,-63083,-27035,-3,2,-63083,-63083,0,1,1,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-13T09:46:51.072Z,137110140000000,65484,645,-43944,-43934,,-60830,-61956,-61956,-27035,-3,2,-61956,-61956,0,1,1,0,,0,3,3,0,3,4,0,0,11265,,0,2,1,
2026-09-13T09:46:51.176Z,137110250000000,65633,647,-43935,-43935,,-60830,-60830,-60830,-27035,-3,2,-60830,-60830,0,1,1,0,,0,3,3,0,3,4,0,0,11265,,0,2,1,
2026-09-13T09:46:51.282Z,137110359000000,65782,648,-43946,-43935,,-60830,-60830,-60830,-27035,-3,2,-60830,-60830,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-13T09:46:51.386Z,137110453000000,65887,649,-43941,-43936,,-60830,-59703,-59703,-27035,-3,2,-59703,-59703,0,1,1,0,,0,3,3,0,3,4,0,0,7886,,0,2,1,
2026-09-13T09:46:51.491Z,137110562000000,65992,650,-43936,-43937,,-60830,-58577,-58577,-27035,-3,2,-58577,-58577,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T09:46:51.596Z,137110671000000,66097,651,-43939,-43937,,-60830,-58577,-58577,-27035,-3,2,-58577,-58577,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T09:46:51.699Z,137110765000000,66201,652,-43947,-43937,,-60830,-58577,-58577,-27035,-3,2,-58577,-58577,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T09:46:51.804Z,137110875000000,66322,654,-43956,-43938,,-60830,-57450,-57450,-27035,-3,2,-57450,-57450,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T09:46:51.908Z,137110984000000,66422,655,-43945,-43939,,-60830,-56324,-56324,-27035,-3,2,-56324,-56324,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T09:46:52.097Z,137111171000000,66522,656,-43919,-43940,,-58577,-55197,-55197,-27035,-3,2,-55197,-55197,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T09:46:52.202Z,137111281000000,66722,658,-43928,-43935,,-58577,-60830,-60830,-27035,-3,2,-60830,-60830,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
