utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T08:00:23.950Z,130723015000000,49208390,467516,-44012,-44016,,-34921,-33794,-33794,-21403,-2,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T08:00:24.054Z,130723125000000,49208603,467518,-44018,-44015,,-34921,-34921,-34921,-21403,-2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T08:00:24.158Z,130723234000000,49208702,467519,-44013,-44015,,-34921,-34921,-34921,-21403,-2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T08:00:24.263Z,130723328000000,49208806,467520,-44012,-44015,,-34921,-34921,-34921,-21403,-2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T08:00:24.368Z,130723437000000,49208911,467521,-44011,-44015,,-34921,-34921,-34921,-21403,-2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T08:00:24.474Z,130723546000000,49209017,467522,-44019,-44015,,-34921,-34921,-34921,-21403,-2,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T08:00:24.578Z,130723656000000,49209122,467523,-44026,-44016,,-34921,-33794,-33794,-21403,-2,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,1127,,0,2,1,
2026-09-13T08:00:24.682Z,130723750000000,49209226,467524,-44021,-44017,,-34921,-32668,-32668,-21403,-2,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T08:00:24.788Z,130723859000000,49209331,467525,-44020,-44018,,-34921,-31541,-31541,-21403,-2,2,-31541,-31541,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T08:00:24.979Z,130724046000000,49209436,467526,-44029,-44018,,-29288,-31541,-31541,-21403,-2,2,-31541,-31541,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T08:00:25.085Z,130724156000000,49209591,467528,-44009,-44020,,-29288,-29288,-29288,-21403,-2,2,-29288,-29288,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T08:00:25.190Z,130724265000000,49209733,467529,-44007,-44019,,-29288,-30415,-30415,-21403,-2,2,-30415,-30415,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
