utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T07:56:42.025Z,130501093000000,48986417,465300,-487896,-487882,,499974091,499971838,499971838,499956067,49996,2,499971838,499971838,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T07:56:42.131Z,130501203000000,48986617,465302,-487887,-487884,,499974091,499974091,499974091,499956067,49996,2,499974091,499974091,0,1,0,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-13T07:56:42.237Z,130501312000000,48986762,465303,-487884,-487884,,499974091,499974091,499974091,499956067,49996,2,499974091,499974091,0,1,0,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-13T07:56:42.344Z,130501421000000,48986867,465304,-487881,-487884,,499974091,499974091,499974091,499956067,49996,2,499974091,499974091,0,1,0,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-13T07:56:42.451Z,130501531000000,48986975,465305,-487885,-487884,,499974091,499974091,499974091,499956067,49996,2,499974091,499974091,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T07:56:42.557Z,130501625000000,48987081,465306,-487891,-487884,,499974091,499974091,499974091,499956067,49996,2,499974091,499974091,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T07:56:42.663Z,130501734000000,48987187,465307,-487898,-487885,,499974091,499975217,499975217,499956067,49996,2,499975217,499975217,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T07:56:42.769Z,130501843000000,48987294,465308,-487877,-487886,,499974091,499976344,499976344,499956067,49996,2,499976344,499976344,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:42.875Z,130501953000000,48987419,465310,-487886,-487886,,499974091,499976344,499976344,499956067,49996,2,499976344,499976344,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:43.067Z,130502140000000,48987519,465311,-487877,-487886,,499976344,499976344,499976344,499956067,49996,2,499976344,499976344,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:43.174Z,130502250000000,48987619,465312,-487895,-487886,,499976344,499976344,499976344,499956067,49996,2,499976344,499976344,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:43.278Z,130502343000000,48987820,465314,-487898,-487888,,499976344,499978597,499978597,499956067,49996,2,499978597,499978597,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:43.385Z,130502453000000,48987920,465315,-487912,-487889,,499976344,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T07:56:43.491Z,130502562000000,48988020,465316,-487896,-487890,,499976344,499980850,499980850,499956067,49996,2,499980850,499980850,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T07:56:43.597Z,130502671000000,48988121,465317,-487874,-487891,,499976344,499981976,499981976,499956067,49996,2,499981976,499981976,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T07:56:43.703Z,130502781000000,48988227,465318,-487887,-487890,,499976344,499980850,499980850,499956067,49996,2,499980850,499980850,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T07:56:43.810Z,130502890000000,48988334,465319,-487884,-487889,,499976344,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T07:56:43.917Z,130502984000000,48988441,465320,-487889,-487889,,499976344,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T07:56:44.112Z,130503187000000,48988547,465321,-487890,-487889,,499979723,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T07:56:44.218Z,130503296000000,48988748,465323,-487896,-487889,,499979723,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:44.324Z,130503390000000,48988849,465324,-487906,-487890,,499979723,499980850,499980850,499956067,49996,2,499980850,499980850,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:44.430Z,130503500000000,48988955,465325,-487897,-487891,,499979723,499981976,499981976,499956067,49996,2,499981976,499981976,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:44.535Z,130503609000000,48989062,465326,-487878,-487892,,499979723,499983103,499983103,499956067,49996,2,499983103,499983103,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:44.641Z,130503718000000,48989167,465327,-487889,-487892,,499979723,499983103,499983103,499956067,49996,2,499983103,499983103,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:44.747Z,130503828000000,48989273,465328,-487885,-487891,,499979723,499981976,499981976,499956067,49996,2,499981976,499981976,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:44.854Z,130503921000000,48989378,465329,-487883,-487890,,499979723,499980850,499980850,499956067,49996,2,499980850,499980850,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:44.959Z,130504031000000,48989485,465330,-487905,-487889,,499979723,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:45.155Z,130504234000000,48989591,465331,-487899,-487890,,499981976,499980850,499980850,499956067,49996,2,499980850,499980850,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:45.261Z,130504328000000,48989741,465333,-487892,-487891,,499981976,499981976,499981976,499956067,49996,2,499981976,499981976,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:45.367Z,130504437000000,48989892,465334,-487881,-487891,,499981976,499981976,499981976,499956067,49996,2,499981976,499981976,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T07:56:45.474Z,130504546000000,48989998,465335,-487876,-487890,,499981976,499980850,499980850,499956067,49996,2,499980850,499980850,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:45.579Z,130504656000000,48990124,465337,-487890,-487889,,499981976,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:45.684Z,130504750000000,48990225,465338,-487895,-487889,,499981976,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:45.788Z,130504859000000,48990325,465339,-487878,-487889,,499981976,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:45.894Z,130504968000000,48990425,465340,-487881,-487888,,499981976,499978597,499978597,499956067,49996,2,499978597,499978597,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T07:56:45.999Z,130505078000000,48990525,465341,-487867,-487887,,499981976,499977470,499977470,499956067,49996,2,499977470,499977470,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T07:56:46.193Z,130505265000000,48990631,465342,-487862,-487884,,499971838,499974091,499974091,499956067,49996,2,499974091,499974091,0,1,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T07:56:46.299Z,130505375000000,48990831,465344,-487879,-487881,,499971838,499970712,499970712,499956067,49996,2,499970712,499970712,0,1,0,0,,0,3,3,0,3,4,0,0,9011,,0,2,1,
2026-09-13T07:56:46.405Z,130505484000000,48990930,465345,-487889,-487881,,499971838,499970712,499970712,499956067,49996,2,499970712,499970712,0,1,0,0,,0,3,3,0,3,4,0,0,9011,,0,2,1,
2026-09-13T07:56:46.512Z,130505578000000,48991037,465346,-487881,-487881,,499971838,499970712,499970712,499956067,49996,2,499970712,499970712,0,1,0,0,,0,3,3,0,3,4,0,0,9011,,0,2,1,
2026-09-13T07:56:46.618Z,130505687000000,48991144,465347,-487872,-487881,,499971838,499970712,499970712,499956067,49996,2,499970712,499970712,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T07:56:46.724Z,130505796000000,48991249,465348,-487887,-487881,,499971838,499970712,499970712,499956067,49996,2,499970712,499970712,0,1,0,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-13T07:56:46.831Z,130505906000000,48991356,465349,-487900,-487882,,499971838,499971838,499971838,499956067,49996,2,499971838,499971838,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T07:56:46.937Z,130506015000000,48991462,465350,-487906,-487884,,499971838,499974091,499974091,499956067,49996,2,499974091,499974091,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T07:56:47.042Z,130506109000000,48991568,465351,-487896,-487886,,499971838,499976344,499976344,499956067,49996,2,499976344,499976344,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T07:56:47.234Z,130506312000000,48991675,465352,-487886,-487887,,499977470,499977470,499977470,499956067,49996,2,499977470,499977470,0,1,0,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-13T07:56:47.340Z,130506406000000,48991828,465354,-487898,-487887,,499977470,499977470,499977470,499956067,49996,2,499977470,499977470,0,1,0,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-13T07:56:47.447Z,130506515000000,48991972,465355,-487893,-487888,,499977470,499978597,499978597,499956067,49996,2,499978597,499978597,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T07:56:47.553Z,130506625000000,48992078,465356,-487891,-487889,,499977470,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T07:56:47.659Z,130506734000000,48992185,465357,-487879,-487889,,499977470,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T07:56:47.765Z,130506843000000,48992291,465358,-487893,-487889,,499977470,499979723,499979723,499956067,49996,2,499979723,499979723,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T07:56:47.871Z,130506937000000,48992396,465359,-487877,-487888,,499977470,499978597,499978597,499956067,49996,2,499978597,499978597,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:47.977Z,130507046000000,48992502,465360,-487885,-487888,,499977470,499978597,499978597,499956067,49996,2,499978597,499978597,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T07:56:48.084Z,130507156000000,48992629,465362,-487878,-487886,,499977470,499976344,499976344,499956067,49996,2,499976344,499976344,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
