utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T12:44:07.352Z,147746421000000,62193,1232,-40948,-40901,,-3475187,-3478566,-3478566,-3529258,-353,2,-3478566,-3478566,0,1,1,0,,0,3,3,1,3,4,0,0,10139,,0,2,1,
2026-09-13T12:44:07.474Z,147746546000000,62419,1237,-40900,-40901,,-3475187,-3478566,-3478566,-3529258,-353,2,-3478566,-3478566,0,1,1,0,,0,3,3,1,3,4,0,0,15770,,0,2,1,
2026-09-13T12:44:07.591Z,147746671000000,62520,1239,-40907,-40903,,-3475187,-3476314,-3476314,-3529258,-353,2,-3476314,-3476314,0,1,1,0,,0,3,3,1,3,4,0,0,6758,,0,2,1,
2026-09-13T12:44:07.709Z,147746781000000,62644,1241,-40901,-40904,,-3475187,-3475187,-3475187,-3529258,-353,2,-3475187,-3475187,0,1,1,0,,0,3,3,1,3,4,0,0,6758,,0,2,1,
2026-09-13T12:44:07.826Z,147746906000000,62769,1243,-40884,-40899,,-3475187,-3480819,-3480819,-3529258,-353,2,-3480819,-3480819,0,1,1,0,,0,3,3,1,3,4,0,0,5632,,0,2,1,
2026-09-13T12:44:07.945Z,147747015000000,62872,1244,-40882,-40897,,-3475187,-3483072,-3483072,-3529258,-353,2,-3483072,-3483072,0,1,1,0,,0,3,3,1,3,4,0,0,7885,,0,2,1,
2026-09-13T12:44:08.065Z,147747140000000,62995,1246,-40928,-40899,,-3475187,-3480819,-3480819,-3529258,-353,2,-3480819,-3480819,0,1,1,0,,0,3,3,1,3,4,0,0,10138,,0,2,1,
2026-09-13T12:44:08.185Z,147747250000000,63120,1248,-40905,-40903,,-3475187,-3476314,-3476314,-3529258,-353,2,-3476314,-3476314,0,1,1,0,,0,3,3,1,3,4,0,0,10138,,0,2,1,
2026-09-13T12:44:08.403Z,147747468000000,63246,1250,-40885,-40903,,-3480819,-3476314,-3476314,-3529258,-353,2,-3476314,-3476314,0,1,1,0,,0,3,3,1,3,4,0,0,9011,,0,2,1,
2026-09-13T12:44:08.523Z,147747593000000,63455,1253,-40881,-40897,,-3480819,-3483072,-3483072,-3529258,-353,2,-3483072,-3483072,0,1,1,0,,0,3,3,1,3,4,0,0,6758,,0,2,1,
2026-09-13T12:44:08.640Z,147747718000000,63571,1255,-40921,-40904,,-3480819,-3475187,-3475187,-3529258,-353,2,-3475187,-3475187,0,1,1,0,,0,3,3,1,3,4,0,0,7885,,0,2,1,
2026-09-13T12:44:08.757Z,147747828000000,63697,1257,-40872,-40902,,-3480819,-3477440,-3477440,-3529258,-353,2,-3477440,-3477440,0,1,1,0,,0,3,3,1,3,4,0,0,10138,,0,2,1,
2026-09-13T12:44:08.876Z,147747953000000,63822,1259,-40858,-40895,,-3480819,-3485325,-3485325,-3529258,-353,2,-3485325,-3485325,0,1,1,0,,0,3,3,1,3,4,0,0,12391,,0,2,1,
2026-09-13T12:44:08.994Z,147748062000000,63923,1261,-40888,-40893,,-3480819,-3487578,-3487578,-3529258,-353,2,-3487578,-3487578,0,1,1,0,,0,3,3,1,3,4,0,0,14644,,0,2,1,
