utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T12:48:01.802Z,147980875000000,41383,405,-41370,-41375,,-2945742,-2944616,-2944616,-3003192,-300,2,-2944616,-2944616,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T12:48:01.906Z,147980984000000,41583,407,-41379,-41374,,-2945742,-2945742,-2945742,-3003192,-300,2,-2945742,-2945742,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:48:02.009Z,147981078000000,41683,408,-41380,-41375,,-2945742,-2944616,-2944616,-3003192,-300,2,-2944616,-2944616,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:48:02.113Z,147981187000000,41783,409,-41364,-41376,,-2945742,-2943489,-2943489,-3003192,-300,2,-2943489,-2943489,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:48:02.218Z,147981296000000,41883,410,-41380,-41377,,-2945742,-2942363,-2942363,-3003192,-300,2,-2942363,-2942363,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:48:02.324Z,147981390000000,41984,411,-41391,-41377,,-2945742,-2942363,-2942363,-3003192,-300,2,-2942363,-2942363,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:48:02.429Z,147981500000000,42090,412,-41379,-41377,,-2945742,-2942363,-2942363,-3003192,-300,2,-2942363,-2942363,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:48:02.533Z,147981609000000,42195,413,-41389,-41379,,-2945742,-2940110,-2940110,-3003192,-300,2,-2940110,-2940110,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T12:48:02.638Z,147981718000000,42299,414,-41380,-41379,,-2945742,-2940110,-2940110,-3003192,-300,2,-2940110,-2940110,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T12:48:02.832Z,147981906000000,42404,415,-41374,-41379,,-2940110,-2940110,-2940110,-3003192,-300,2,-2940110,-2940110,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:48:02.937Z,147982015000000,42604,417,-41377,-41379,,-2940110,-2940110,-2940110,-3003192,-300,2,-2940110,-2940110,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:48:03.042Z,147982109000000,42703,418,-41374,-41379,,-2940110,-2940110,-2940110,-3003192,-300,2,-2940110,-2940110,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:48:03.148Z,147982218000000,42808,419,-41376,-41379,,-2940110,-2940110,-2940110,-3003192,-300,2,-2940110,-2940110,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
