utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T12:22:34.853Z,146453921000000,9409968,93938,-423527,-423528,,427542632,427542632,427542632,427550517,42755,2,427542632,427542632,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:22:34.959Z,146454031000000,9410185,93940,-423517,-423527,,427542632,427541505,427541505,427550517,42755,2,427541505,427541505,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T12:22:35.066Z,146454140000000,9410285,93941,-423535,-423526,,427542632,427540379,427540379,427550517,42755,2,427540379,427540379,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T12:22:35.172Z,146454250000000,9410391,93942,-423539,-423527,,427542632,427541505,427541505,427550517,42755,2,427541505,427541505,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T12:22:35.277Z,146454343000000,9410497,93943,-423552,-423529,,427542632,427543758,427543758,427550517,42755,2,427543758,427543758,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:22:35.383Z,146454453000000,9410603,93944,-423548,-423531,,427542632,427546011,427546011,427550517,42755,2,427546011,427546011,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T12:22:35.490Z,146454562000000,9410708,93945,-423530,-423533,,427542632,427548264,427548264,427550517,42755,2,427548264,427548264,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:22:35.596Z,146454671000000,9410816,93946,-423522,-423533,,427542632,427548264,427548264,427550517,42755,2,427548264,427548264,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:22:35.702Z,146454781000000,9410922,93947,-423514,-423532,,427542632,427547138,427547138,427550517,42755,2,427547138,427547138,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:22:35.895Z,146454968000000,9411027,93948,-423539,-423531,,427548264,427546011,427546011,427550517,42755,2,427546011,427546011,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:22:36.000Z,146455078000000,9411176,93950,-423536,-423533,,427548264,427548264,427548264,427550517,42755,2,427548264,427548264,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:22:36.105Z,146455171000000,9411326,93951,-423528,-423533,,427548264,427548264,427548264,427550517,42755,2,427548264,427548264,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:22:36.211Z,146455281000000,9411431,93952,-423519,-423532,,427548264,427547138,427547138,427550517,42755,2,427547138,427547138,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:22:36.316Z,146455390000000,9411537,93953,-423520,-423530,,427548264,427544885,427544885,427550517,42755,2,427544885,427544885,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:22:36.420Z,146455500000000,9411642,93954,-423524,-423529,,427548264,427543758,427543758,427550517,42755,2,427543758,427543758,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:22:36.525Z,146455593000000,9411765,93956,-423518,-423527,,427548264,427541505,427541505,427550517,42755,2,427541505,427541505,0,1,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T12:22:36.629Z,146455703000000,9411865,93957,-423518,-423526,,427548264,427540379,427540379,427550517,42755,2,427540379,427540379,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:22:36.734Z,146455812000000,9411965,93958,-423533,-423525,,427548264,427539252,427539252,427550517,42755,2,427539252,427539252,0,1,0,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-13T12:22:36.927Z,146456000000000,9412065,93959,-423536,-423526,,427541505,427540379,427540379,427550517,42755,2,427540379,427540379,0,1,0,0,,0,3,3,0,3,4,0,0,7886,,0,2,1,
2026-09-13T12:22:37.030Z,146456109000000,9412266,93961,-423519,-423526,,427541505,427540379,427540379,427550517,42755,2,427540379,427540379,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:22:37.135Z,146456203000000,9412366,93962,-423529,-423525,,427541505,427539252,427539252,427550517,42755,2,427539252,427539252,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T12:22:37.241Z,146456312000000,9412466,93963,-423509,-423524,,427541505,427538126,427538126,427550517,42755,2,427538126,427538126,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:22:37.346Z,146456421000000,9412566,93964,-423520,-423523,,427541505,427536999,427536999,427550517,42755,2,427536999,427536999,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:22:37.451Z,146456531000000,9412672,93965,-423518,-423522,,427541505,427535873,427535873,427550517,42755,2,427535873,427535873,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T12:22:37.557Z,146456625000000,9412777,93966,-423519,-423522,,427541505,427535873,427535873,427550517,42755,2,427535873,427535873,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T12:22:37.663Z,146456734000000,9412883,93967,-423515,-423521,,427541505,427534746,427534746,427550517,42755,2,427534746,427534746,0,1,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T12:22:37.770Z,146456843000000,9412988,93968,-423525,-423521,,427541505,427534746,427534746,427550517,42755,2,427534746,427534746,0,1,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
