utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T12:15:50.223Z,146049296000000,9005311,89899,-423355,-423372,,427364648,427366901,427366901,427313956,42731,2,427366901,427366901,0,1,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T12:15:50.329Z,146049406000000,9005524,89901,-423355,-423368,,427364648,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:15:50.435Z,146049515000000,9005623,89902,-423367,-423368,,427364648,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:15:50.542Z,146049609000000,9005729,89903,-423384,-423368,,427364648,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:15:50.647Z,146049718000000,9005837,89904,-423372,-423369,,427364648,427363521,427363521,427313956,42731,2,427363521,427363521,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:15:50.754Z,146049828000000,9005942,89905,-423352,-423369,,427364648,427363521,427363521,427313956,42731,2,427363521,427363521,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:15:50.861Z,146049937000000,9006049,89906,-423365,-423368,,427364648,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:50.967Z,146050046000000,9006156,89907,-423369,-423368,,427364648,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:15:51.074Z,146050140000000,9006262,89908,-423363,-423368,,427364648,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-13T12:15:51.269Z,146050343000000,9006368,89909,-423368,-423368,,427362395,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-13T12:15:51.375Z,146050453000000,9006519,89911,-423371,-423368,,427362395,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-13T12:15:51.480Z,146050546000000,9006670,89912,-423346,-423368,,427362395,427362395,427362395,427313956,42731,2,427362395,427362395,0,1,0,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-13T12:15:51.586Z,146050656000000,9006776,89913,-423348,-423365,,427362395,427359016,427359016,427313956,42731,2,427359016,427359016,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:15:51.691Z,146050765000000,9006881,89914,-423357,-423363,,427362395,427356763,427356763,427313956,42731,2,427356763,427356763,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T12:15:51.798Z,146050875000000,9006987,89915,-423361,-423362,,427362395,427355636,427355636,427313956,42731,2,427355636,427355636,0,1,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T12:15:51.905Z,146050984000000,9007093,89916,-423353,-423361,,427362395,427354510,427354510,427313956,42731,2,427354510,427354510,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:15:52.009Z,146051078000000,9007215,89918,-423385,-423362,,427362395,427355636,427355636,427313956,42731,2,427355636,427355636,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:15:52.114Z,146051187000000,9007316,89919,-423364,-423363,,427362395,427356763,427356763,427313956,42731,2,427356763,427356763,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T12:15:52.306Z,146051375000000,9007416,89920,-423352,-423363,,427355636,427356763,427356763,427313956,42731,2,427356763,427356763,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:52.410Z,146051484000000,9007616,89922,-423358,-423361,,427355636,427354510,427354510,427313956,42731,2,427354510,427354510,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:15:52.514Z,146051593000000,9007716,89923,-423362,-423361,,427355636,427354510,427354510,427313956,42731,2,427354510,427354510,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:15:52.619Z,146051687000000,9007816,89924,-423375,-423361,,427355636,427354510,427354510,427313956,42731,2,427354510,427354510,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:15:52.726Z,146051796000000,9007917,89925,-423375,-423363,,427355636,427356763,427356763,427313956,42731,2,427356763,427356763,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:15:52.831Z,146051906000000,9008021,89926,-423365,-423365,,427355636,427359016,427359016,427313956,42731,2,427359016,427359016,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:52.937Z,146052015000000,9008127,89927,-423357,-423365,,427355636,427359016,427359016,427313956,42731,2,427359016,427359016,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:53.043Z,146052109000000,9008232,89928,-423363,-423365,,427355636,427359016,427359016,427313956,42731,2,427359016,427359016,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:53.150Z,146052218000000,9008338,89929,-423357,-423364,,427355636,427357889,427357889,427313956,42731,2,427357889,427357889,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:53.347Z,146052421000000,9008445,89930,-423371,-423364,,427356763,427357889,427357889,427313956,42731,2,427357889,427357889,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:53.453Z,146052531000000,9008647,89932,-423356,-423362,,427356763,427355636,427355636,427313956,42731,2,427355636,427355636,0,1,0,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-13T12:15:53.559Z,146052625000000,9008748,89933,-423383,-423361,,427356763,427354510,427354510,427313956,42731,2,427354510,427354510,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:53.665Z,146052734000000,9008854,89934,-423371,-423362,,427356763,427355636,427355636,427313956,42731,2,427355636,427355636,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:53.771Z,146052843000000,9008960,89935,-423366,-423363,,427356763,427356763,427356763,427313956,42731,2,427356763,427356763,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:53.877Z,146052953000000,9009067,89936,-423362,-423363,,427356763,427356763,427356763,427313956,42731,2,427356763,427356763,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:15:53.983Z,146053062000000,9009172,89937,-423342,-423363,,427356763,427356763,427356763,427313956,42731,2,427356763,427356763,0,1,0,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-13T12:15:54.089Z,146053156000000,9009278,89938,-423346,-423361,,427356763,427354510,427354510,427313956,42731,2,427354510,427354510,0,1,0,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-13T12:15:54.195Z,146053265000000,9009384,89939,-423354,-423359,,427356763,427352257,427352257,427313956,42731,2,427352257,427352257,0,1,0,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T12:15:54.391Z,146053468000000,9009491,89940,-423354,-423358,,427350004,427351130,427351130,427313956,42731,2,427351130,427351130,0,1,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
