index,ready_timestamp_cycles,read_start_cycles,read_done_cycles,raw,processed_sequence,fifo_depth,flags,rate,driver_state,config_register,config_status,read_clocks
6,3580575246,3580575588,3580588231,-43865,1370,0,15,1,4,28,0,27
7,3582376795,3582377137,3582389782,-43864,1371,0,15,1,4,28,0,27
8,3584184784,3584185126,3584197773,-43887,1372,0,15,1,4,28,0,27
9,3585984801,3585985143,3585997786,-43859,1373,0,15,1,4,28,0,27
10,3587788323,3587788665,3587801345,-43852,1374,0,15,1,4,28,0,27
11,3589589881,3589590223,3589602915,-43867,1375,0,15,1,4,28,0,27
12,3591389719,3591390061,3591402758,-43870,1376,0,15,1,4,28,0,27
13,3593197623,3593197965,3593210653,-43858,1377,0,15,1,4,28,0,27
14,3595002238,3595002580,3595015225,-43868,1378,0,15,1,4,28,0,27
15,3596804293,3596804635,3596817284,-43904,1379,0,15,1,4,28,0,27
0,3598606558,3598606900,3598619541,-43846,1380,0,15,1,4,28,0,27
1,3600407079,3600407421,3600420064,-43815,1381,0,15,1,4,28,0,27
2,3602210858,3602211200,3602223839,-43809,1382,0,15,1,4,28,0,27
3,3604012986,3604013328,3604025969,-43874,1383,0,15,1,4,28,0,27
4,3605815327,3605815669,3605828314,-43879,1384,0,15,1,4,28,0,27
5,3607617531,3607617873,3607630518,-43856,1385,0,15,1,4,28,0,27
