index,ready_timestamp_cycles,read_start_cycles,read_done_cycles,raw,processed_sequence,fifo_depth,flags,rate,driver_state,config_register,config_status,read_clocks
6,2760206165,2760206507,2760219150,-43852,4533,0,15,1,4,28,0,27
7,2762026839,2762027181,2762039877,-43869,4534,0,15,1,4,28,0,27
8,2763815484,2763815826,2763828471,-43897,4535,0,15,1,4,28,0,27
9,2765618482,2765618824,2765631467,-43862,4536,0,15,1,4,28,0,27
10,2767418406,2767418748,2767431391,-43854,4537,0,15,1,4,28,0,27
11,2769224724,2769225066,2769237708,-43871,4538,0,15,1,4,28,0,27
12,2771028315,2771028657,2771041352,-43878,4539,0,15,1,4,28,0,27
13,2772830810,2772831152,2772843842,-43853,4540,0,15,1,4,28,0,27
14,2774630715,2774631057,2774643747,-43847,4541,0,15,1,4,28,0,27
15,2776439216,2776439558,2776452199,-43845,4542,0,15,1,4,28,0,27
0,2778241484,2778241826,2778254469,-43877,4543,0,15,1,4,28,0,27
1,2780040603,2780040945,2780053590,-43891,4544,0,15,1,4,28,0,27
2,2781847561,2781847903,2781860544,-43857,4545,0,15,1,4,28,0,27
3,2783648216,2783648558,2783661207,-43903,4546,0,15,1,4,28,0,27
4,2785450283,2785450625,2785463266,-43910,4547,0,15,1,4,28,0,27
5,2787254901,2787255243,2787267886,-43853,4548,0,15,1,4,28,0,27
