utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-13T16:48:12.203Z,162386765000000,43094,422,-43795,-43795,,-218537,-218537,-218537,-224169,-22,2,-218537,-218537,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T16:48:12.307Z,162386875000000,43308,424,-43815,-43796,,-218537,-217410,-217410,-224169,-22,2,-217410,-217410,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T16:48:12.414Z,162386968000000,43408,425,-43811,-43798,,-218537,-215157,-215157,-224169,-22,2,-215157,-215157,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T16:48:12.520Z,162387078000000,43515,426,-43805,-43800,,-218537,-212904,-212904,-224169,-22,2,-212904,-212904,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T16:48:12.625Z,162387187000000,43620,427,-43794,-43801,,-218537,-211778,-211778,-224169,-22,2,-211778,-211778,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T16:48:12.731Z,162387296000000,43726,428,-43797,-43800,,-218537,-212904,-212904,-224169,-22,2,-212904,-212904,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T16:48:12.836Z,162387390000000,43831,429,-43805,-43800,,-218537,-212904,-212904,-224169,-22,2,-212904,-212904,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T16:48:12.941Z,162387500000000,43937,430,-43803,-43800,,-218537,-212904,-212904,-224169,-22,2,-212904,-212904,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T16:48:13.046Z,162387609000000,44042,431,-43811,-43801,,-218537,-211778,-211778,-224169,-22,2,-211778,-211778,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T16:48:13.241Z,162387796000000,44147,432,-43815,-43802,,-207272,-210652,-210652,-224169,-22,2,-210652,-210652,0,1,1,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
2026-09-13T16:48:13.346Z,162387906000000,44295,434,-43824,-43805,,-207272,-207272,-207272,-224169,-22,2,-207272,-207272,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T16:48:13.451Z,162388015000000,44447,435,-43808,-43806,,-207272,-206146,-206146,-224169,-22,2,-206146,-206146,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-13T16:48:13.556Z,162388109000000,44552,436,-43794,-43806,,-207272,-206146,-206146,-224169,-22,2,-206146,-206146,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-13T16:48:13.660Z,162388218000000,44657,437,-43794,-43804,,-207272,-208399,-208399,-224169,-22,2,-208399,-208399,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-13T16:48:13.766Z,162388328000000,44761,438,-43785,-43803,,-207272,-209525,-209525,-224169,-22,2,-209525,-209525,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T16:48:13.870Z,162388437000000,44882,440,-43779,-43800,,-207272,-212904,-212904,-224169,-22,2,-212904,-212904,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-13T16:48:13.976Z,162388531000000,44982,441,-43795,-43799,,-207272,-214031,-214031,-224169,-22,2,-214031,-214031,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T16:48:14.079Z,162388640000000,45082,442,-43803,-43798,,-207272,-215157,-215157,-224169,-22,2,-215157,-215157,0,1,1,0,,0,3,3,0,3,4,0,0,9011,,0,2,1,
2026-09-13T16:48:14.275Z,162388828000000,45182,443,-43794,-43798,,-216284,-215157,-215157,-224169,-22,2,-215157,-215157,0,1,1,0,,0,3,3,0,3,4,0,0,9011,,0,2,1,
2026-09-13T16:48:14.378Z,162388937000000,45382,445,-43785,-43796,,-216284,-217410,-217410,-224169,-22,2,-217410,-217410,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T16:48:14.484Z,162389046000000,45483,446,-43785,-43795,,-216284,-218537,-218537,-224169,-22,2,-218537,-218537,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-13T16:48:14.588Z,162389156000000,45584,447,-43794,-43794,,-216284,-219663,-219663,-224169,-22,2,-219663,-219663,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-13T16:48:14.694Z,162389250000000,45689,448,-43795,-43794,,-216284,-219663,-219663,-224169,-22,2,-219663,-219663,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T16:48:14.798Z,162389359000000,45794,449,-43770,-43794,,-216284,-219663,-219663,-224169,-22,2,-219663,-219663,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T16:48:14.903Z,162389468000000,45899,450,-43788,-43793,,-216284,-220790,-220790,-224169,-22,2,-220790,-220790,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T16:48:15.007Z,162389562000000,46004,451,-43787,-43792,,-216284,-221916,-221916,-224169,-22,2,-221916,-221916,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T16:48:15.112Z,162389671000000,46108,452,-43791,-43791,,-216284,-223043,-223043,-224169,-22,2,-223043,-223043,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-13T16:48:15.305Z,162389859000000,46213,453,-43774,-43790,,-224169,-224169,-224169,-224169,-22,2,-224169,-224169,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-13T16:48:15.410Z,162389968000000,46411,455,-43792,-43790,,-224169,-224169,-224169,-224169,-22,2,-224169,-224169,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-13T16:48:15.516Z,162390078000000,46511,456,-43787,-43790,,-224169,-224169,-224169,-224169,-22,2,-224169,-224169,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
