utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-15T14:47:00.847Z,327905578000000,25356,245,-43951,-43943,,-49565,-51818,-51818,-30415,-3,2,-51818,-51818,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-15T14:47:00.952Z,327905687000000,25556,247,-43944,-43945,,-49565,-49565,-49565,-30415,-3,2,-49565,-49565,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-15T14:47:01.056Z,327905781000000,25702,248,-43948,-43945,,-49565,-49565,-49565,-30415,-3,2,-49565,-49565,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-15T14:47:01.160Z,327905890000000,25806,249,-43935,-43945,,-49565,-49565,-49565,-30415,-3,2,-49565,-49565,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-15T14:47:01.265Z,327906000000000,25911,250,-43933,-43944,,-49565,-50692,-50692,-30415,-3,2,-50692,-50692,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-15T14:47:01.369Z,327906093000000,26016,251,-43932,-43943,,-49565,-51818,-51818,-30415,-3,2,-51818,-51818,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-15T14:47:01.475Z,327906203000000,26120,252,-43941,-43942,,-49565,-52945,-52945,-30415,-3,2,-52945,-52945,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-15T14:47:01.579Z,327906312000000,26225,253,-43920,-43941,,-49565,-54071,-54071,-30415,-3,2,-54071,-54071,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-15T14:47:01.685Z,327906406000000,26329,254,-43920,-43938,,-49565,-57450,-57450,-30415,-3,2,-57450,-57450,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-15T14:47:01.878Z,327906609000000,26435,255,-43940,-43936,,-59703,-59703,-59703,-30415,-3,2,-59703,-59703,0,1,1,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-15T14:47:01.983Z,327906703000000,26558,257,-43944,-43936,,-59703,-59703,-59703,-30415,-3,2,-59703,-59703,0,1,1,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-15T14:47:02.087Z,327906812000000,26733,258,-43953,-43937,,-59703,-58577,-58577,-30415,-3,2,-58577,-58577,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-15T14:47:02.193Z,327906921000000,26837,259,-43948,-43938,,-59703,-57450,-57450,-30415,-3,2,-57450,-57450,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-15T14:47:02.298Z,327907031000000,26959,261,-43928,-43939,,-59703,-56324,-56324,-30415,-3,2,-56324,-56324,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-15T14:47:02.402Z,327907125000000,27059,262,-43952,-43939,,-59703,-56324,-56324,-30415,-3,2,-56324,-56324,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-15T14:47:02.505Z,327907234000000,27160,263,-43938,-43939,,-59703,-56324,-56324,-30415,-3,2,-56324,-56324,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-15T14:47:02.609Z,327907343000000,27260,264,-43932,-43939,,-59703,-56324,-56324,-30415,-3,2,-56324,-56324,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-15T14:47:02.716Z,327907437000000,27360,265,-43937,-43939,,-59703,-56324,-56324,-30415,-3,2,-56324,-56324,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-15T14:47:02.908Z,327907640000000,27466,266,-43933,-43938,,-58577,-57450,-57450,-30415,-3,2,-57450,-57450,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-15T14:47:03.012Z,327907734000000,27665,268,-43913,-43936,,-58577,-59703,-59703,-30415,-3,2,-59703,-59703,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-15T14:47:03.118Z,327907843000000,27763,269,-43913,-43933,,-58577,-63083,-63083,-30415,-3,2,-63083,-63083,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-15T14:47:03.224Z,327907953000000,27868,270,-43926,-43930,,-58577,-66462,-66462,-30415,-3,2,-66462,-66462,0,1,1,0,,0,3,3,0,3,4,0,0,10138,,0,2,1,
2026-09-15T14:47:03.328Z,327908062000000,27974,271,-43918,-43928,,-58577,-68715,-68715,-30415,-3,2,-68715,-68715,0,1,1,0,,0,3,3,0,3,4,0,0,12391,,0,2,1,
