utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-15T15:51:51.898Z,331796625000000,3916755,39082,-43843,-43846,,-163339,-161086,-161086,-102510,-10,2,-161086,-161086,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-15T15:51:52.004Z,331796734000000,3916956,39084,-43856,-43844,,-163339,-163339,-163339,-102510,-10,2,-163339,-163339,0,1,1,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
2026-09-15T15:51:52.108Z,331796843000000,3917056,39085,-43859,-43846,,-163339,-161086,-161086,-102510,-10,2,-161086,-161086,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-15T15:51:52.214Z,331796937000000,3917161,39086,-43862,-43848,,-163339,-158834,-158834,-102510,-10,2,-158834,-158834,0,1,1,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
2026-09-15T15:51:52.318Z,331797046000000,3917266,39087,-43853,-43849,,-163339,-157707,-157707,-102510,-10,2,-157707,-157707,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-15T15:51:52.423Z,331797156000000,3917371,39088,-43834,-43850,,-163339,-156581,-156581,-102510,-10,2,-156581,-156581,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-15T15:51:52.527Z,331797250000000,3917476,39089,-43850,-43850,,-163339,-156581,-156581,-102510,-10,2,-156581,-156581,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-15T15:51:52.633Z,331797359000000,3917580,39090,-43843,-43849,,-163339,-157707,-157707,-102510,-10,2,-157707,-157707,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-15T15:51:52.738Z,331797468000000,3917685,39091,-43840,-43848,,-163339,-158834,-158834,-102510,-10,2,-158834,-158834,0,1,1,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-15T15:51:52.932Z,331797656000000,3917790,39092,-43829,-43847,,-161086,-159960,-159960,-102510,-10,2,-159960,-159960,0,1,1,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
