utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-16T05:58:46.997Z,382611718000000,54735805,546315,-43962,-43956,,-36047,-37174,-37174,-52945,-5,2,-37174,-37174,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-16T05:58:47.103Z,382611828000000,54736040,546317,-43954,-43957,,-36047,-36047,-36047,-52945,-5,2,-36047,-36047,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-16T05:58:47.209Z,382611937000000,54736140,546318,-43969,-43957,,-36047,-36047,-36047,-52945,-5,2,-36047,-36047,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-16T05:58:47.314Z,382612046000000,54736246,546319,-43961,-43958,,-36047,-34921,-34921,-52945,-5,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:47.419Z,382612140000000,54736351,546320,-43968,-43959,,-36047,-33794,-33794,-52945,-5,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-16T05:58:47.524Z,382612250000000,54736456,546321,-43960,-43959,,-36047,-33794,-33794,-52945,-5,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-16T05:58:47.628Z,382612359000000,54736561,546322,-43942,-43959,,-36047,-33794,-33794,-52945,-5,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-16T05:58:47.733Z,382612468000000,54736666,546323,-43945,-43957,,-36047,-36047,-36047,-52945,-5,2,-36047,-36047,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:47.838Z,382612562000000,54736770,546324,-43937,-43955,,-36047,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-16T05:58:48.030Z,382612765000000,54736875,546325,-43929,-43953,,-43933,-40553,-40553,-52945,-5,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-16T05:58:48.135Z,382612859000000,54737023,546327,-43947,-43950,,-43933,-43933,-43933,-52945,-5,2,-43933,-43933,0,1,1,0,,0,3,3,0,3,4,0,0,10139,,0,2,1,
2026-09-16T05:58:48.240Z,382612968000000,54737172,546328,-43964,-43950,,-43933,-43933,-43933,-52945,-5,2,-43933,-43933,0,1,1,0,,0,3,3,0,3,4,0,0,10139,,0,2,1,
2026-09-16T05:58:48.343Z,382613078000000,54737277,546329,-43958,-43951,,-43933,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,10139,,0,2,1,
2026-09-16T05:58:48.448Z,382613171000000,54737381,546330,-43956,-43952,,-43933,-41680,-41680,-52945,-5,2,-41680,-41680,0,1,1,0,,0,3,3,0,3,4,0,0,7886,,0,2,1,
2026-09-16T05:58:48.554Z,382613281000000,54737485,546331,-43960,-43953,,-43933,-40553,-40553,-52945,-5,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-16T05:58:48.658Z,382613390000000,54737609,546333,-43952,-43953,,-43933,-40553,-40553,-52945,-5,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-16T05:58:48.763Z,382613484000000,54737709,546334,-43947,-43952,,-43933,-41680,-41680,-52945,-5,2,-41680,-41680,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-16T05:58:48.866Z,382613593000000,54737810,546335,-43956,-43952,,-43933,-41680,-41680,-52945,-5,2,-41680,-41680,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-16T05:58:49.056Z,382613781000000,54737909,546336,-43958,-43953,,-40553,-40553,-40553,-52945,-5,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:49.160Z,382613890000000,54738109,546338,-43953,-43953,,-40553,-40553,-40553,-52945,-5,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,1127,,0,2,1,
2026-09-16T05:58:49.264Z,382613984000000,54738210,546339,-43949,-43953,,-40553,-40553,-40553,-52945,-5,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,1127,,0,2,1,
2026-09-16T05:58:49.367Z,382614093000000,54738310,546340,-43949,-43952,,-40553,-41680,-41680,-52945,-5,2,-41680,-41680,0,1,1,0,,0,3,3,0,3,4,0,0,1127,,0,2,1,
2026-09-16T05:58:49.471Z,382614203000000,54738410,546341,-43950,-43952,,-40553,-41680,-41680,-52945,-5,2,-41680,-41680,0,1,1,0,,0,3,3,0,3,4,0,0,1127,,0,2,1,
2026-09-16T05:58:49.576Z,382614296000000,54738510,546342,-43945,-43952,,-40553,-41680,-41680,-52945,-5,2,-41680,-41680,0,1,1,0,,0,3,3,0,3,4,0,0,1127,,0,2,1,
2026-09-16T05:58:49.681Z,382614406000000,54738613,546343,-43948,-43951,,-40553,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:49.786Z,382614515000000,54738718,546344,-43953,-43951,,-40553,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:49.892Z,382614625000000,54738823,546345,-43940,-43951,,-40553,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:50.085Z,382614812000000,54738928,546346,-43951,-43951,,-42806,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:50.189Z,382614921000000,54739128,546348,-43944,-43951,,-42806,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T05:58:50.294Z,382615015000000,54739226,546349,-43958,-43951,,-42806,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T05:58:50.399Z,382615125000000,54739331,546350,-43951,-43951,,-42806,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,0,,0,2,1,
2026-09-16T05:58:50.504Z,382615234000000,54739436,546351,-43951,-43951,,-42806,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,0,,0,2,1,
2026-09-16T05:58:50.610Z,382615343000000,54739542,546352,-43958,-43951,,-42806,-42806,-42806,-52945,-5,2,-42806,-42806,0,1,1,0,,0,3,3,0,3,4,0,0,0,,0,2,1,
2026-09-16T05:58:50.715Z,382615437000000,54739647,546353,-43958,-43952,,-42806,-41680,-41680,-52945,-5,2,-41680,-41680,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T05:58:50.820Z,382615546000000,54739752,546354,-43962,-43953,,-42806,-40553,-40553,-52945,-5,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:50.924Z,382615656000000,54739857,546355,-43957,-43954,,-42806,-39427,-39427,-52945,-5,2,-39427,-39427,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-16T05:58:51.115Z,382615843000000,54739961,546356,-43953,-43954,,-39427,-39427,-39427,-52945,-5,2,-39427,-39427,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-16T05:58:51.220Z,382615953000000,54740113,546358,-43960,-43954,,-39427,-39427,-39427,-52945,-5,2,-39427,-39427,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-16T05:58:51.324Z,382616046000000,54740257,546359,-43952,-43954,,-39427,-39427,-39427,-52945,-5,2,-39427,-39427,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-16T05:58:51.429Z,382616156000000,54740362,546360,-43961,-43955,,-39427,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-16T05:58:51.534Z,382616265000000,54740466,546361,-43968,-43956,,-39427,-37174,-37174,-52945,-5,2,-37174,-37174,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-16T05:58:51.639Z,382616359000000,54740571,546362,-43969,-43958,,-39427,-34921,-34921,-52945,-5,2,-34921,-34921,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-16T05:58:51.744Z,382616468000000,54740676,546363,-43967,-43959,,-39427,-33794,-33794,-52945,-5,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-16T05:58:51.851Z,382616578000000,54740781,546364,-43964,-43960,,-39427,-32668,-32668,-52945,-5,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-16T05:58:51.956Z,382616687000000,54740887,546365,-43968,-43961,,-39427,-31541,-31541,-52945,-5,2,-31541,-31541,0,1,1,0,,0,3,3,0,3,4,0,0,7886,,0,2,1,
2026-09-16T05:58:52.147Z,382616875000000,54740993,546366,-43972,-43962,,-28162,-30415,-30415,-52945,-5,2,-30415,-30415,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-16T05:58:52.252Z,382616984000000,54741115,546368,-43971,-43964,,-28162,-28162,-28162,-52945,-5,2,-28162,-28162,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-16T05:58:52.356Z,382617078000000,54741290,546369,-43960,-43964,,-28162,-28162,-28162,-52945,-5,2,-28162,-28162,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-16T05:58:52.461Z,382617187000000,54741394,546370,-43956,-43963,,-28162,-29288,-29288,-52945,-5,2,-29288,-29288,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-16T05:58:52.566Z,382617296000000,54741516,546372,-43955,-43961,,-28162,-31541,-31541,-52945,-5,2,-31541,-31541,0,1,1,0,,0,3,3,0,3,4,0,0,3379,,0,2,1,
2026-09-16T05:58:52.670Z,382617390000000,54741616,546373,-43955,-43960,,-28162,-32668,-32668,-52945,-5,2,-32668,-32668,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-16T05:58:52.773Z,382617500000000,54741716,546374,-43947,-43959,,-28162,-33794,-33794,-52945,-5,2,-33794,-33794,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-16T05:58:52.876Z,382617609000000,54741816,546375,-43943,-43957,,-28162,-36047,-36047,-52945,-5,2,-36047,-36047,0,1,1,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-16T05:58:52.982Z,382617703000000,54741917,546376,-43951,-43956,,-28162,-37174,-37174,-52945,-5,2,-37174,-37174,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-16T05:58:53.176Z,382617906000000,54742019,546377,-43959,-43955,,-38300,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,9012,,0,2,1,
2026-09-16T05:58:53.281Z,382618015000000,54742219,546379,-43934,-43955,,-38300,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
2026-09-16T05:58:53.385Z,382618109000000,54742318,546380,-43955,-43955,,-38300,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-16T05:58:53.491Z,382618218000000,54742423,546381,-43963,-43955,,-38300,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-16T05:58:53.595Z,382618328000000,54742527,546382,-43953,-43955,,-38300,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:58:53.700Z,382618421000000,54742633,546383,-43953,-43955,,-38300,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T05:58:53.804Z,382618531000000,54742737,546384,-43954,-43955,,-38300,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,0,,0,2,1,
2026-09-16T05:58:53.909Z,382618640000000,54742841,546385,-43946,-43955,,-38300,-38300,-38300,-52945,-5,2,-38300,-38300,0,1,1,0,,0,3,3,0,3,4,0,0,0,,0,2,1,
2026-09-16T05:58:54.013Z,382618734000000,54742946,546386,-43950,-43954,,-38300,-39427,-39427,-52945,-5,2,-39427,-39427,0,1,1,0,,0,3,3,0,3,4,0,0,1127,,0,2,1,
2026-09-16T05:58:54.207Z,382618937000000,54743051,546387,-43941,-43953,,-41680,-40553,-40553,-52945,-5,2,-40553,-40553,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
