utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-15T17:04:22.720Z,336147453000000,8267868,82502,-487747,-487757,,499897490,499895237,499895237,499874961,49987,2,499895237,499895237,0,1,0,0,,0,3,3,0,3,4,0,0,4505,,0,2,1,
2026-09-15T17:04:22.827Z,336147546000000,8268065,82504,-487780,-487759,,499897490,499897490,499897490,499874961,49987,2,499897490,499897490,0,1,0,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-15T17:04:22.934Z,336147656000000,8268216,82505,-487764,-487760,,499897490,499898617,499898617,499874961,49987,2,499898617,499898617,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-15T17:04:23.041Z,336147765000000,8268323,82506,-487758,-487761,,499897490,499899743,499899743,499874961,49987,2,499899743,499899743,0,1,0,0,,0,3,3,0,3,4,0,0,7885,,0,2,1,
2026-09-15T17:04:23.147Z,336147875000000,8268429,82507,-487770,-487761,,499897490,499899743,499899743,499874961,49987,2,499899743,499899743,0,1,0,0,,0,3,3,0,3,4,0,0,6758,,0,2,1,
2026-09-15T17:04:23.253Z,336147984000000,8268536,82508,-487764,-487761,,499897490,499899743,499899743,499874961,49987,2,499899743,499899743,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-15T17:04:23.360Z,336148093000000,8268641,82509,-487776,-487762,,499897490,499900870,499900870,499874961,49987,2,499900870,499900870,0,1,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-15T17:04:23.463Z,336148187000000,8268764,82511,-487769,-487764,,499897490,499903123,499903123,499874961,49987,2,499903123,499903123,0,1,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-15T17:04:23.570Z,336148296000000,8268864,82512,-487771,-487765,,499897490,499904249,499904249,499874961,49987,2,499904249,499904249,0,1,0,0,,0,3,3,0,3,4,0,0,5632,,0,2,1,
2026-09-15T17:04:23.763Z,336148484000000,8268964,82513,-487765,-487766,,499906502,499905376,499905376,499874961,49987,2,499905376,499905376,0,1,0,0,,0,3,3,0,3,4,0,0,5633,,0,2,1,
2026-09-15T17:04:23.868Z,336148593000000,8269164,82515,-487774,-487767,,499906502,499906502,499906502,499874961,49987,2,499906502,499906502,0,1,0,0,,0,3,3,0,3,4,0,0,6759,,0,2,1,
