utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-16T04:33:47.702Z,377512437000000,49636136,495418,-44047,-44037,,54071,54071,54071,76601,8,2,54071,54071,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T04:33:47.808Z,377512531000000,49636349,495420,-44033,-44036,,54071,52945,52945,76601,8,2,52945,52945,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-16T04:33:47.915Z,377512640000000,49636449,495421,-44043,-44036,,54071,52945,52945,76601,8,2,52945,52945,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-16T04:33:48.019Z,377512750000000,49636556,495422,-44033,-44036,,54071,52945,52945,76601,8,2,52945,52945,0,1,1,0,,0,3,3,0,3,4,0,0,2252,,0,2,1,
2026-09-16T04:33:48.123Z,377512843000000,49636660,495423,-44029,-44036,,54071,52945,52945,76601,8,2,52945,52945,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T04:33:48.227Z,377512953000000,49636764,495424,-44045,-44036,,54071,52945,52945,76601,8,2,52945,52945,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T04:33:48.332Z,377513062000000,49636868,495425,-44037,-44036,,54071,52945,52945,76601,8,2,52945,52945,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T04:33:48.437Z,377513171000000,49636973,495426,-44028,-44036,,54071,52945,52945,76601,8,2,52945,52945,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
2026-09-16T04:33:48.543Z,377513265000000,49637079,495427,-44044,-44036,,54071,52945,52945,76601,8,2,52945,52945,0,1,1,0,,0,3,3,0,3,4,0,0,0,,0,2,1,
2026-09-16T04:33:48.735Z,377513468000000,49637184,495428,-44046,-44037,,56324,54071,54071,76601,8,2,54071,54071,0,1,1,0,,0,3,3,0,3,4,0,0,1126,,0,2,1,
