utc,host_monotonic_ns,mcu_uptime_ms,sample_sequence,raw_adc,filtered_raw,raw_calibrated_mass_ug,uncompensated_gross_ug,filtered_mass_ug,pre_display_mass_ug,conditioned_display_mass_ug,display_count,display_decimals,gross_ug,net_ug,tare_ug,stable,zero,overload,zero_offset_raw,runtime_drift_offset_ug,filter_mode,filter_strength,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,stability_spread_ug,battery_voltage_mv,fault_mask,display_condition_state,display_locked,event_label
2026-09-16T05:46:10.285Z,381855015000000,53979019,538761,-44005,-44003,,15771,15771,15771,15771,2,2,15771,15771,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:46:10.389Z,381855125000000,53979217,538763,-44006,-44003,,15771,15771,15771,15771,2,2,15771,15771,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:46:10.496Z,381855218000000,53979367,538764,-44006,-44003,,15771,15771,15771,15771,2,2,15771,15771,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:46:10.602Z,381855328000000,53979474,538765,-44006,-44003,,15771,15771,15771,15771,2,2,15771,15771,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:46:10.706Z,381855437000000,53979580,538766,-43992,-44003,,15771,15771,15771,15771,2,2,15771,15771,0,1,1,0,,0,3,3,0,3,4,0,0,2253,,0,2,1,
2026-09-16T05:46:10.810Z,381855531000000,53979703,538768,-43990,-44000,,15771,12391,12391,15771,2,2,12391,12391,0,1,1,0,,0,3,3,0,3,4,0,0,3380,,0,2,1,
2026-09-16T05:46:10.913Z,381855640000000,53979803,538769,-44010,-43999,,15771,11265,11265,15771,2,2,11265,11265,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-16T05:46:11.016Z,381855750000000,53979903,538770,-44028,-44000,,15771,12391,12391,15771,2,2,12391,12391,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-16T05:46:11.120Z,381855843000000,53980003,538771,-44013,-44002,,15771,14644,14644,15771,2,2,14644,14644,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
2026-09-16T05:46:11.310Z,381856031000000,53980104,538772,-44011,-44003,,16897,15771,15771,15771,2,2,15771,15771,0,1,1,0,,0,3,3,0,3,4,0,0,4506,,0,2,1,
