utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-16T15:28:20.968Z,0x0511,0x0104,-9,2,63,-135177,-135177,0,330,33884,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-136304,-136304,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:21.967Z,0x0511,0x0104,-9,2,63,-136304,-136304,0,340,34884,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-137430,-137430,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:22.970Z,0x0511,0x0104,-9,2,63,-135177,-135177,0,350,35887,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-136304,-136304,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:23.972Z,0x0511,0x0104,-9,2,63,-138557,-138557,0,360,36888,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-138557,-138557,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:24.972Z,0x0511,0x0104,-9,2,63,-141936,-141936,0,370,37889,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-140810,-140810,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:25.972Z,0x0511,0x0104,-9,2,63,-150948,-150948,0,380,38888,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-150948,-150948,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:26.972Z,0x0511,0x0104,-9,2,63,-152075,-152075,0,390,39889,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-148695,-148695,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:27.973Z,0x0511,0x0104,-9,2,63,-138557,-138557,0,400,40889,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-138557,-138557,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:28.957Z,0x0511,0x0104,-9,2,63,-131798,-131798,0,410,41884,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-134051,-134051,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:28:29.973Z,0x0511,0x0104,-9,2,63,-137430,-137430,0,420,42888,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-137430,-137430,0,0,0,0,0,0,0,0,0,0
