utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-16T15:32:58.172Z,0x0511,0x0104,0,2,63,6759,6759,0,3097,311028,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,2,0,1,0,7885,7885,0,0,0,0,4,0,0,0,0,0
2026-09-16T15:32:59.172Z,0x0511,0x0104,0,2,63,7885,7885,0,3107,312030,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,2,0,1,0,9012,9012,0,0,0,0,3,0,0,0,0,0
2026-09-16T15:33:00.174Z,0x0511,0x0104,0,2,63,2253,2253,0,3117,313033,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,2,0,1,0,3379,3379,0,0,0,0,2,0,0,0,0,0
2026-09-16T15:33:01.172Z,0x0511,0x0104,0,2,63,5632,5632,0,3127,314034,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,2,0,1,0,2253,2253,0,0,0,0,1,0,0,0,0,0
2026-09-16T15:33:02.173Z,0x0511,0x0104,0,2,63,15771,15771,0,3137,315035,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,2,0,1,0,15771,15771,0,0,0,0,0,0,0,0,0,0
2026-09-16T15:33:03.173Z,0x0511,0x0104,0,2,63,3379,3379,0,3147,316037,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,3379,3379,0,0,0,0,0,1,0,0,0,0
2026-09-16T15:33:04.173Z,0x0511,0x0104,0,2,63,9012,9012,0,3157,317039,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,10138,10138,0,0,0,0,0,2,0,0,0,0
2026-09-16T15:33:05.178Z,0x0511,0x0104,0,2,63,11265,11265,0,3167,318041,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,12391,12391,0,0,0,0,0,3,0,0,0,0
2026-09-16T15:33:06.165Z,0x0511,0x0104,0,2,63,9012,9012,0,3177,319043,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,9012,9012,0,0,0,0,0,4,0,0,0,0
2026-09-16T15:33:07.168Z,0x0511,0x0104,0,2,63,3379,3379,0,3187,320044,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,3379,3379,0,0,0,0,0,5,0,0,0,0
2026-09-16T15:33:08.172Z,0x0511,0x0104,0,2,63,0,0,0,3197,321046,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0
2026-09-16T15:33:09.173Z,0x0511,0x0104,0,2,63,6759,6759,0,3207,322048,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,6759,6759,0,0,0,0,0,7,0,0,0,0
2026-09-16T15:33:10.176Z,0x0511,0x0104,0,2,63,15771,15771,0,3217,323050,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,16897,16897,0,0,0,0,0,8,0,0,0,0
2026-09-16T15:33:11.163Z,0x0511,0x0104,0,2,63,9012,9012,0,3227,324098,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,10138,10138,0,0,0,0,0,9,0,0,0,0
2026-09-16T15:33:12.169Z,0x0511,0x0104,0,2,63,14644,14644,0,3237,325053,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,13518,13518,0,0,0,0,0,10,0,0,0,0
2026-09-16T15:33:13.172Z,0x0511,0x0104,0,2,63,14644,14644,0,3247,326055,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,13518,13518,0,0,0,0,0,11,0,0,0,0
2026-09-16T15:33:14.172Z,0x0511,0x0104,0,2,63,18024,18024,0,3257,327057,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,15771,15771,0,0,0,0,0,12,0,0,0,0
2026-09-16T15:33:15.176Z,0x0511,0x0104,0,2,63,12391,12391,0,3267,328058,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,11265,11265,0,0,0,0,0,13,0,0,0,0
2026-09-16T15:33:16.179Z,0x0511,0x0104,0,2,63,12391,12391,0,3277,329060,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,11265,11265,0,0,0,0,0,14,0,0,0,0
2026-09-16T15:33:17.165Z,0x0511,0x0104,0,2,63,14644,14644,0,3287,330100,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,19150,19150,0,0,0,0,0,15,0,0,0,0
2026-09-16T15:33:18.172Z,0x0511,0x0104,0,2,63,25909,25909,0,3297,331106,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,25909,25909,0,0,0,0,0,16,0,0,0,0
2026-09-16T15:33:19.179Z,0x0511,0x0104,0,2,63,30415,30415,0,3307,332113,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,31541,31541,0,0,0,0,0,17,0,0,0,0
2026-09-16T15:33:20.166Z,0x0511,0x0104,0,2,63,24783,24783,0,3317,333101,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,18024,18024,0,0,0,0,0,18,0,0,0,0
2026-09-16T15:33:21.169Z,0x0511,0x0104,0,2,63,15771,15771,0,3327,334106,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,15771,15771,0,0,0,0,0,19,0,0,0,0
2026-09-16T15:33:22.173Z,0x0511,0x0104,0,2,63,19150,19150,0,3337,335110,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,18024,18024,0,0,0,0,0,20,0,0,0,0
