utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-16T15:50:23.663Z,0x0511,0x0104,0,2,63,6634,6634,0,13536,1356686,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1002,7885,8887,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:24.665Z,0x0511,0x0104,0,2,63,2136,2136,0,13546,1357681,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1010,1126,2136,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:25.668Z,0x0511,0x0104,0,2,63,-108,-108,0,13556,1358686,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1018,-1126,-108,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:26.666Z,0x0511,0x0104,0,2,63,-99,-99,0,13566,1359686,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1027,0,1027,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:27.667Z,0x0511,0x0104,0,2,63,-2344,-2344,0,13576,1360684,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1035,-3379,-2344,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:28.666Z,0x0511,0x0104,0,2,63,-6842,-6842,0,13586,1361685,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1043,-5632,-4589,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:29.665Z,0x0511,0x0104,0,2,63,-3455,-3455,0,13596,1362685,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1051,-3379,-2328,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:30.662Z,0x0511,0x0104,0,2,63,-11331,-11331,0,13606,1363685,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1060,-10138,-9078,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:31.661Z,0x0511,0x0104,0,2,63,-10197,-10197,0,13616,1364687,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1068,-12391,-11323,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:32.662Z,0x0511,0x0104,0,2,63,-11315,-11315,0,13626,1365689,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1076,-11265,-10189,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:33.661Z,0x0511,0x0104,0,2,63,-3421,-3421,0,13636,1366690,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1085,-5632,-4547,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:34.661Z,0x0511,0x0104,0,2,63,-6792,-6792,0,13646,1367693,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1093,-9012,-7919,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:35.662Z,0x0511,0x0104,0,2,63,-20302,-20302,0,13655,1368594,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1101,-23656,-22555,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:36.666Z,0x0511,0x0104,0,2,63,-24799,-24799,0,13665,1369596,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1110,-25909,-24799,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:37.668Z,0x0511,0x0104,0,2,63,-28170,-28170,0,13675,1370598,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1118,-30415,-29297,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:38.670Z,0x0511,0x0104,0,2,63,-25909,-25909,0,13686,1371700,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1126,-25909,-24783,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:39.671Z,0x0511,0x0104,0,2,63,-29281,-29281,0,13696,1372701,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1134,-31541,-30407,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:40.672Z,0x0511,0x0104,0,2,63,-18007,-18007,0,13705,1373603,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1143,-15771,-14628,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:41.673Z,0x0511,0x0104,0,2,63,-13493,-13493,0,13715,1374605,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1151,-12391,-11240,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:42.673Z,0x0511,0x0104,0,2,63,-3347,-3347,0,13725,1375607,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1159,-3379,-2220,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:43.675Z,0x0511,0x0104,0,2,63,-4464,-4464,0,13735,1376609,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1168,-5632,-4464,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:44.676Z,0x0511,0x0104,0,2,63,50,50,0,13745,1377610,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1176,0,1176,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:45.659Z,0x0511,0x0104,0,2,63,3437,3437,0,13755,1378613,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1184,5632,6816,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:46.679Z,0x0511,0x0104,0,2,63,3445,3445,0,13765,1379614,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1192,3379,4571,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:47.665Z,0x0511,0x0104,0,2,63,75,75,0,13775,1380616,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1201,0,1201,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:48.669Z,0x0511,0x0104,0,2,63,83,83,0,13785,1381618,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1209,0,1209,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:49.669Z,0x0511,0x0104,0,2,63,1217,1217,0,13795,1382619,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1217,-1126,91,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:50.672Z,0x0511,0x0104,0,2,63,4605,4605,0,13805,1383621,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1226,4506,5732,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:51.677Z,0x0511,0x0104,0,2,63,6866,6866,0,13815,1384623,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1234,5632,6866,3097,-14371,-17468,-8297,0,300,600,0,3,0
2026-09-16T15:50:52.665Z,0x0511,0x0104,0,2,63,9127,9127,0,13825,1385625,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,-1242,10138,11380,3097,-14371,-17468,-8297,0,300,600,0,3,0
