utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-16T15:58:36.971Z,0x0511,0x0104,50007,2,31,500070968,500070968,0,18461,1850019,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500072095,500074542,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:37.980Z,0x0511,0x0104,50007,2,31,500074348,500074348,0,18471,1851028,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500073221,500075668,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:38.971Z,0x0511,0x0104,50007,2,31,500078854,500078854,0,18481,1852024,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500081106,500083553,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:39.980Z,0x0511,0x0104,50007,2,31,500077727,500077727,0,18491,1853028,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500075474,500077921,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:40.968Z,0x0511,0x0104,50007,2,31,500078854,500078854,0,18501,1854018,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500079980,500082427,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:41.971Z,0x0511,0x0104,50007,2,31,500085612,500085612,0,18511,1855025,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500084486,500086933,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:42.973Z,0x0511,0x0104,50007,2,31,500082233,500082233,0,18521,1856027,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500081106,500083553,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:43.962Z,0x0511,0x0104,50007,2,31,500085612,500085612,0,18531,1857014,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500087865,500090312,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:44.971Z,0x0511,0x0104,50007,2,31,500088992,500088992,0,18541,1858020,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500091245,500093692,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T15:58:45.980Z,0x0511,0x0104,50007,2,31,500093498,500093498,0,18551,1859029,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,500092371,500094818,3097,-12094,-15191,0,0,0,0,0,6,0
