utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-16T16:12:34.204Z,0x0511,0x0104,10,2,63,90118,90118,0,26820,2687322,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,90118,92565,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:35.208Z,0x0511,0x0104,10,2,63,84486,84486,0,26830,2688323,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,84486,86933,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:36.190Z,0x0511,0x0104,10,2,63,85612,85612,0,26840,2689311,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,83359,85806,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:37.204Z,0x0511,0x0104,10,2,63,86739,86739,0,26850,2690325,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,88992,91439,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:38.204Z,0x0511,0x0104,10,2,63,92371,92371,0,26860,2691323,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,92371,94818,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:39.201Z,0x0511,0x0104,10,2,63,90118,90118,0,26870,2692324,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,88992,91439,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:40.203Z,0x0511,0x0104,10,2,63,85612,85612,0,26880,2693320,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,87865,90312,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:41.204Z,0x0511,0x0104,10,2,63,87865,87865,0,26890,2694323,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,85612,88059,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:42.207Z,0x0511,0x0104,10,2,63,83359,83359,0,26900,2695323,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,83359,85806,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:43.191Z,0x0511,0x0104,10,2,63,84486,84486,0,26910,2696322,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,86739,89186,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:44.210Z,0x0511,0x0104,10,2,63,81106,81106,0,26920,2697327,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,81106,83553,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:45.194Z,0x0511,0x0104,10,2,63,78854,78854,0,26930,2698325,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,79980,82427,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:46.196Z,0x0511,0x0104,10,2,63,82233,82233,0,26940,2699327,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,83359,85806,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:47.200Z,0x0511,0x0104,10,2,63,75474,75474,0,26950,2700329,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,76601,79048,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:48.200Z,0x0511,0x0104,10,2,63,82233,82233,0,26960,2701330,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,83359,85806,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:49.199Z,0x0511,0x0104,10,2,63,88992,88992,0,26970,2702333,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,87865,90312,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:50.204Z,0x0511,0x0104,10,2,63,83359,83359,0,26980,2703334,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,84486,86933,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:51.203Z,0x0511,0x0104,10,2,63,81106,81106,0,26990,2704336,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,81106,83553,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:52.205Z,0x0511,0x0104,10,2,63,87865,87865,0,26999,2705237,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,85612,88059,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:53.206Z,0x0511,0x0104,10,2,63,77727,77727,0,27009,2706239,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,75474,77921,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:54.207Z,0x0511,0x0104,10,2,63,83359,83359,0,27019,2707241,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,84486,86933,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:55.193Z,0x0511,0x0104,10,2,63,79980,79980,0,27029,2708242,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,79980,82427,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:56.196Z,0x0511,0x0104,10,2,63,81106,81106,0,27039,2709244,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,78854,81301,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:57.199Z,0x0511,0x0104,10,2,63,72095,72095,0,27049,2710246,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,74348,76795,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:58.205Z,0x0511,0x0104,10,2,63,77727,77727,0,27059,2711247,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,79980,82427,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:12:59.206Z,0x0511,0x0104,10,2,63,77727,77727,0,27069,2712249,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,76601,79048,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:00.206Z,0x0511,0x0104,10,2,63,84486,84486,0,27079,2713251,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,84486,86933,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:01.207Z,0x0511,0x0104,10,2,63,85612,85612,0,27089,2714253,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,84486,86933,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:02.192Z,0x0511,0x0104,10,2,63,83359,83359,0,27099,2715254,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,83359,85806,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:03.191Z,0x0511,0x0104,10,2,63,79980,79980,0,27109,2716256,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,79980,82427,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:04.207Z,0x0511,0x0104,10,2,63,82233,82233,0,27119,2717258,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,81106,83553,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:05.196Z,0x0511,0x0104,10,2,63,74348,74348,0,27129,2718260,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,73221,75668,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:06.197Z,0x0511,0x0104,10,2,63,81106,81106,0,27139,2719261,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,83359,85806,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:07.199Z,0x0511,0x0104,10,2,63,84486,84486,0,27149,2720263,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,84486,86933,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:08.203Z,0x0511,0x0104,10,2,63,78854,78854,0,27159,2721265,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,79980,82427,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:09.205Z,0x0511,0x0104,10,2,63,76601,76601,0,27169,2722266,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,78854,81301,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:10.207Z,0x0511,0x0104,10,2,63,84486,84486,0,27179,2723268,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,83359,85806,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:11.209Z,0x0511,0x0104,10,2,63,82233,82233,0,27189,2724270,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,81106,83553,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:12.197Z,0x0511,0x0104,10,2,63,81106,81106,0,27199,2725315,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,79980,82427,3097,-12094,-15191,0,0,0,0,0,6,0
2026-09-16T16:13:13.202Z,0x0511,0x0104,10,2,63,77727,77727,0,27209,2726320,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,-2447,75474,77921,3097,-12094,-15191,0,0,0,0,0,6,0
