utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-17T19:03:32.954Z,0x0511,0x0104,50000,2,31,500041539,500041539,0,20253,2029405,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,141,500041680,500041539,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:33.953Z,0x0511,0x0104,50000,2,31,500039278,500039278,0,20263,2030405,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,149,500040553,500040404,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:34.969Z,0x0511,0x0104,50000,2,31,500041523,500041523,0,20273,2031369,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,157,500041680,500041523,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:35.974Z,0x0511,0x0104,50000,2,31,500043767,500043767,0,20283,2032371,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,166,500043933,500043767,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:36.959Z,0x0511,0x0104,50000,2,31,500040379,500040379,0,20293,2033409,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,174,500039427,500039253,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:37.958Z,0x0511,0x0104,50000,2,31,500034739,500034739,0,20303,2034410,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,182,500034921,500034739,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:38.959Z,0x0511,0x0104,50000,2,31,500039237,500039237,0,20313,2035409,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,190,500043933,500043743,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:39.961Z,0x0511,0x0104,50000,2,31,500044861,500044861,0,20323,2036410,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,198,500045059,500044861,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:40.958Z,0x0511,0x0104,50000,2,31,500043726,500043726,0,20333,2037412,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,207,500047312,500047105,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:41.963Z,0x0511,0x0104,50000,2,31,500043718,500043718,0,20343,2038414,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,215,500042806,500042591,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:42.967Z,0x0511,0x0104,50000,2,31,500041457,500041457,0,20353,2039414,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,223,500042806,500042583,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:43.967Z,0x0511,0x0104,50000,2,31,500039196,500039196,0,20363,2040418,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,231,500039427,500039196,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:44.968Z,0x0511,0x0104,50000,2,31,500044820,500044820,0,20373,2041419,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,239,500043933,500043694,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:45.966Z,0x0511,0x0104,50000,2,31,500041432,500041432,0,20383,2042420,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,248,500039427,500039179,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:46.964Z,0x0511,0x0104,50000,2,31,500033538,500033538,0,20393,2043418,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,256,500038300,500038044,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:47.964Z,0x0511,0x0104,50000,2,31,500041416,500041416,0,20403,2044417,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,264,500042806,500042542,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:48.964Z,0x0511,0x0104,50000,2,31,500039155,500039155,0,20413,2045416,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,272,500040553,500040281,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:49.964Z,0x0511,0x0104,50000,2,31,500044779,500044779,0,20423,2046415,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,280,500046186,500045906,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:50.964Z,0x0511,0x0104,50000,2,31,500041391,500041391,0,20433,2047416,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,289,500041680,500041391,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:51.966Z,0x0511,0x0104,50000,2,31,500034624,500034624,0,20443,2048417,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,297,500034921,500034624,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:52.966Z,0x0511,0x0104,50000,2,31,500035742,500035742,0,20453,2049419,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,305,500038300,500037995,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:53.965Z,0x0511,0x0104,50000,2,31,500041367,500041367,0,20463,2050417,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,313,500039427,500039114,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:54.963Z,0x0511,0x0104,50000,2,31,500036853,500036853,0,20473,2051417,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,321,500034921,500034600,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:55.965Z,0x0511,0x0104,50000,2,31,500028958,500028958,0,20483,2052417,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,330,500031541,500031211,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:56.963Z,0x0511,0x0104,50000,2,31,500034583,500034583,0,20493,2053417,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,338,500033794,500033456,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:57.960Z,0x0511,0x0104,50000,2,31,500036828,500036828,0,20503,2054416,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,346,500037174,500036828,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:58.959Z,0x0511,0x0104,50000,2,31,500046958,500046958,0,20513,2055413,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,354,500047312,500046958,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:03:59.956Z,0x0511,0x0104,50000,2,31,500049203,500049203,0,20523,2056412,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,362,500049565,500049203,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:00.953Z,0x0511,0x0104,50000,2,31,500043562,500043562,0,20533,2057412,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,371,500043933,500043562,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:01.966Z,0x0511,0x0104,50000,2,31,500043554,500043554,0,20543,2058422,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,379,500042806,500042427,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:02.965Z,0x0511,0x0104,50000,2,31,500040166,500040166,0,20553,2059418,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,387,500042806,500042419,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:03.960Z,0x0511,0x0104,50000,2,31,500044664,500044664,0,20563,2060418,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,395,500042806,500042411,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:04.957Z,0x0511,0x0104,50000,2,31,500040150,500040150,0,20573,2061418,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,403,500040553,500040150,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:05.956Z,0x0511,0x0104,50000,2,31,500033382,500033382,0,20583,2062420,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,412,500032668,500032256,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:06.954Z,0x0511,0x0104,50000,2,31,500036754,500036754,0,20593,2063422,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,420,500036047,500035627,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:07.967Z,0x0511,0x0104,50000,2,31,500042378,500042378,0,20603,2064424,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,428,500042806,500042378,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:08.965Z,0x0511,0x0104,50000,2,31,500044623,500044623,0,20613,2065425,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,436,500043933,500043497,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:09.962Z,0x0511,0x0104,50000,2,31,500044615,500044615,0,20623,2066427,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,444,500043933,500043489,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:10.962Z,0x0511,0x0104,50000,2,31,500031088,500031088,0,20633,2067428,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,453,500029288,500028835,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:11.963Z,0x0511,0x0104,50000,2,31,500034460,500034460,0,20642,2068330,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,461,500037174,500036713,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:12.962Z,0x0511,0x0104,50000,2,31,500037831,500037831,0,20652,2069332,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,469,500038300,500037831,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:13.964Z,0x0511,0x0104,50000,2,31,500042329,500042329,0,20662,2070333,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,477,500041680,500041203,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:14.964Z,0x0511,0x0104,50000,2,31,500038942,500038942,0,20672,2071335,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,485,500038300,500037815,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:15.966Z,0x0511,0x0104,50000,2,31,500031048,500031048,0,20682,2072337,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,493,500031541,500031048,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:16.968Z,0x0511,0x0104,50000,2,31,500033292,500033292,0,20692,2073338,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,502,500034921,500034419,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:17.971Z,0x0511,0x0104,50000,2,31,500036664,500036664,0,20702,2074340,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,510,500038300,500037790,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:18.955Z,0x0511,0x0104,50000,2,31,500034403,500034403,0,20712,2075342,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,518,500034921,500034403,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:19.955Z,0x0511,0x0104,50000,2,31,500026509,500026509,0,20722,2076344,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,526,500028162,500027636,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:20.958Z,0x0511,0x0104,50000,2,31,500036640,500036640,0,20732,2077345,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,534,500039427,500038893,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:21.959Z,0x0511,0x0104,50000,2,31,500044516,500044516,0,20742,2078347,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,543,500046186,500045643,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:22.957Z,0x0511,0x0104,50000,2,31,500036623,500036623,0,20752,2079349,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,551,500034921,500034370,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:23.959Z,0x0511,0x0104,50000,2,31,500037741,500037741,0,20762,2080350,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,559,500038300,500037741,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:24.958Z,0x0511,0x0104,50000,2,31,500036607,500036607,0,20772,2081352,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,567,500038300,500037733,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:25.959Z,0x0511,0x0104,50000,2,31,500041105,500041105,0,20782,2082353,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,575,500039427,500038852,500016756,500034132,17376,8195,0,300,600,0,3,0
2026-09-17T19:04:26.960Z,0x0511,0x0104,50000,2,31,500028701,500028701,0,20792,2083355,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,587,500030415,500029828,500016756,500037302,20546,11717,0,300,600,0,4,0
2026-09-17T19:04:27.960Z,0x0511,0x0104,50000,2,31,500036575,500036575,0,20802,2084356,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,599,500036047,500035448,500016756,500037302,20546,11717,0,300,600,0,4,0
2026-09-17T19:04:28.960Z,0x0511,0x0104,50000,2,31,500035436,500035436,0,20812,2085358,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,611,500034921,500034310,500016756,500037302,20546,11717,0,300,600,0,4,0
2026-09-17T19:04:29.962Z,0x0511,0x0104,50000,2,31,500038805,500038805,0,20822,2086359,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,622,500040553,500039931,500016756,500037302,20546,11717,0,300,600,0,4,0
2026-09-17T19:04:30.964Z,0x0511,0x0104,50000,2,31,500047805,500047805,0,20832,2087361,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,2,5,0,1,634,500049565,500048931,500016756,500037302,20546,11717,0,300,600,0,4,0
