utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-18T07:15:52.361Z,0x0511,0x0104,50001,2,31,500016941,500016941,0,458959,45972275,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500235434,500020320,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:15:53.344Z,0x0511,0x0104,50001,2,31,500028205,500028205,0,458969,45973262,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500243319,500028205,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:15:54.349Z,0x0511,0x0104,50001,2,31,500023700,500023700,0,458979,45974265,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500236561,500021447,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:15:55.351Z,0x0511,0x0104,50001,2,31,500016941,500016941,0,458989,45975265,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500229802,500014688,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:15:56.354Z,0x0511,0x0104,50001,2,31,500012435,500012435,0,458999,45976267,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500229802,500014688,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:15:57.350Z,0x0511,0x0104,50001,2,31,500023700,500023700,0,459009,45977269,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500237687,500022573,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:15:58.346Z,0x0511,0x0104,50001,2,31,500022573,500022573,0,459019,45978266,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500238814,500023700,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:15:59.349Z,0x0511,0x0104,50001,2,31,500027079,500027079,0,459029,45979262,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500243319,500028205,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:16:00.348Z,0x0511,0x0104,50001,2,31,500023700,500023700,0,459039,45980265,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500237687,500022573,500016756,500017504,748,0,0,0,0,0,733,0
2026-09-18T07:16:01.347Z,0x0511,0x0104,50001,2,31,500019194,500019194,0,459049,45981264,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,215114,500236561,500021447,500016756,500017504,748,0,0,0,0,0,733,0
