utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-17T18:31:28.394Z,0x0511,0x0104,-9,2,63,-90118,-90118,0,1100,110991,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-91245,-91245,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:29.398Z,0x0511,0x0104,-9,2,63,-92371,-92371,0,1110,111993,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-91245,-91245,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:30.387Z,0x0511,0x0104,-9,2,63,-96877,-96877,0,1120,113042,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-96877,-96877,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:31.390Z,0x0511,0x0104,-9,2,63,-103636,-103636,0,1130,114045,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-105889,-105889,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:32.393Z,0x0511,0x0104,-9,2,63,-103636,-103636,0,1140,114998,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-102510,-102510,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:33.394Z,0x0511,0x0104,-9,2,63,-98004,-98004,0,1150,115999,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-98004,-98004,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:34.397Z,0x0511,0x0104,-9,2,63,-96877,-96877,0,1160,117001,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-95751,-95751,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:35.384Z,0x0511,0x0104,-9,2,63,-90118,-90118,0,1170,118041,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-91245,-91245,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:36.384Z,0x0511,0x0104,-9,2,63,-93498,-93498,0,1180,119042,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-92371,-92371,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:37.386Z,0x0511,0x0104,-9,2,63,-92371,-92371,0,1190,120045,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-87865,-87865,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:38.388Z,0x0511,0x0104,-9,2,63,-85612,-85612,0,1200,121046,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-85612,-85612,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:39.388Z,0x0511,0x0104,-9,2,63,-94624,-94624,0,1210,122048,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-96877,-96877,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:40.390Z,0x0511,0x0104,-9,2,63,-93498,-93498,0,1220,123048,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-92371,-92371,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:41.391Z,0x0511,0x0104,-9,2,63,-90118,-90118,0,1230,124050,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-90118,-90118,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:42.394Z,0x0511,0x0104,-9,2,63,-95751,-95751,0,1240,125051,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-92371,-92371,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:43.394Z,0x0511,0x0104,-9,2,63,-87865,-87865,0,1250,126054,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-91245,-91245,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:44.380Z,0x0511,0x0104,-9,2,63,-88992,-88992,0,1260,127040,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-92371,-92371,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:45.378Z,0x0511,0x0104,-9,2,63,-91245,-91245,0,1270,128039,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-88992,-88992,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:46.396Z,0x0511,0x0104,-9,2,63,-93498,-93498,0,1280,129054,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-95751,-95751,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:47.381Z,0x0511,0x0104,-9,2,63,-93498,-93498,0,1290,130041,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-93498,-93498,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:48.385Z,0x0511,0x0104,-9,2,63,-92371,-92371,0,1300,131042,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-92371,-92371,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:49.386Z,0x0511,0x0104,-9,2,63,-84486,-84486,0,1310,132044,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-87865,-87865,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:50.385Z,0x0511,0x0104,-9,2,63,-95751,-95751,0,1320,133046,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-93498,-93498,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:51.385Z,0x0511,0x0104,-9,2,63,-93498,-93498,0,1330,134045,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-98004,-98004,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:52.386Z,0x0511,0x0104,-9,2,63,-95751,-95751,0,1340,135045,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-95751,-95751,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:53.387Z,0x0511,0x0104,-9,2,63,-92371,-92371,0,1350,136047,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-90118,-90118,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:54.390Z,0x0511,0x0104,-9,2,63,-84486,-84486,0,1360,137049,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-84486,-84486,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:55.391Z,0x0511,0x0104,-9,2,63,-88992,-88992,0,1370,138051,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-86739,-86739,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:56.393Z,0x0511,0x0104,-9,2,63,-90118,-90118,0,1380,139051,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-90118,-90118,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:57.394Z,0x0511,0x0104,-9,2,63,-88992,-88992,0,1390,140053,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-88992,-88992,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:58.397Z,0x0511,0x0104,-9,2,63,-90118,-90118,0,1400,141055,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-94624,-94624,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:31:59.384Z,0x0511,0x0104,-9,2,63,-92371,-92371,0,1410,142042,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-90118,-90118,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:32:00.384Z,0x0511,0x0104,-9,2,63,-91245,-91245,0,1420,143045,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-91245,-91245,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:32:01.386Z,0x0511,0x0104,-9,2,63,-85612,-85612,0,1430,144047,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-83359,-83359,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:32:02.386Z,0x0511,0x0104,-9,2,63,-93498,-93498,0,1440,145047,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-92371,-92371,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:32:03.387Z,0x0511,0x0104,-9,2,63,-99130,-99130,0,1450,146048,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,0,0,0,0,0,-98004,-98004,0,0,0,0,0,0,0,0,0,0
