hour,records,uncompensated_gross_ug,corrected_gross_ug,offset_ug,reference_error_ug,display_count
1,3600,500050692.0,500037390.0,16704.5,16900.0,50000.0
2,3600,500095751.0,500048862.0,56378.5,26259.0,50000.0
3,3600,500176857.0,500044255.0,140042.5,23443.0,50000.0
4,3600,500206146.0,500035711.5,174834.0,17784.0,50000.0
5,3600,500219663.0,500029105.0,192029.0,14252.0,50000.0
6,3600,500214031.0,500018229.0,195802.0,4288.0,50000.0
7,3600,500201640.0,500007001.0,194769.5,-9059.0,50000.0
8,3600,500210652.0,500017657.0,191952.5,1591.0,50000.0
9,3600,500200513.0,500011659.0,188854.0,-4252.0,50000.0
10,3600,500165592.0,499998989.0,165444.5,-16006.0,50000.0
11,3600,500182490.0,500025236.0,157254.0,7156.0,50000.0
12,3600,500241066.0,500035992.0,210476.0,19433.0,50008.0
