utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-17T18:44:44.226Z,0x0511,0x0104,49993,2,31,499949308,499949308,0,9046,906864,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499950435,499950435,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:45.213Z,0x0511,0x0104,49993,2,31,499962826,499962826,0,9056,907865,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499963953,499963953,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:46.220Z,0x0511,0x0104,49993,2,31,499949308,499949308,0,9066,908867,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499950435,499950435,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:47.224Z,0x0511,0x0104,49993,2,31,499952688,499952688,0,9076,909868,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499952688,499952688,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:48.211Z,0x0511,0x0104,49993,2,31,499953814,499953814,0,9086,910870,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499954941,499954941,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:49.216Z,0x0511,0x0104,49993,2,31,499953814,499953814,0,9096,911872,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499953814,499953814,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:50.219Z,0x0511,0x0104,49993,2,31,499949308,499949308,0,9106,912873,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499948182,499948182,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:51.222Z,0x0511,0x0104,49993,2,31,499957194,499957194,0,9116,913875,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499958320,499958320,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:52.226Z,0x0511,0x0104,49993,2,31,499962826,499962826,0,9126,914876,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499962826,499962826,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:53.218Z,0x0511,0x0104,49993,2,31,499959447,499959447,0,9136,915878,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499961700,499961700,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:54.222Z,0x0511,0x0104,49993,2,31,499965079,499965079,0,9146,916880,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499963953,499963953,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:55.213Z,0x0511,0x0104,49993,2,31,499958320,499958320,0,9156,917929,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499956067,499956067,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:56.218Z,0x0511,0x0104,49993,2,31,499957194,499957194,0,9166,918883,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499958320,499958320,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:57.226Z,0x0511,0x0104,49993,2,31,499960573,499960573,0,9176,919885,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499959447,499959447,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:58.218Z,0x0511,0x0104,49993,2,31,499967332,499967332,0,9186,920932,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499966206,499966206,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:44:59.224Z,0x0511,0x0104,49993,2,31,499963953,499963953,0,9196,921888,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499965079,499965079,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:45:00.210Z,0x0511,0x0104,49993,2,31,499959447,499959447,0,9206,922931,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499962826,499962826,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:45:01.218Z,0x0511,0x0104,49993,2,31,499965079,499965079,0,9216,923934,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499965079,499965079,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:45:02.224Z,0x0511,0x0104,49993,2,31,499962826,499962826,0,9226,924941,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499965079,499965079,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:45:03.211Z,0x0511,0x0104,49993,2,31,499974091,499974091,0,9236,925930,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499975217,499975217,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:45:04.215Z,0x0511,0x0104,49993,2,31,499971838,499971838,0,9246,926934,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499970712,499970712,0,0,0,0,0,0,0,0,0,0
2026-09-17T18:45:05.218Z,0x0511,0x0104,49993,2,31,499962826,499962826,0,9256,927939,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,1,1,0,1,0,499961700,499961700,0,0,0,0,0,0,0,0,0,0
