utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-18T10:41:08.835Z,0x0512,0x0104,50021,2,31,500196538,500196538,0,35700,3576816,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500215157,500196538,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:09.836Z,0x0512,0x0104,50021,2,31,500199918,500199918,0,35710,3577817,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500218537,500199918,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:10.838Z,0x0512,0x0104,50021,2,31,500196538,500196538,0,35720,3578818,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500215157,500196538,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:11.839Z,0x0512,0x0104,50021,2,31,500192033,500192033,0,35730,3579819,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500209525,500190906,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:12.841Z,0x0512,0x0104,50021,2,31,500195412,500195412,0,35740,3580822,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500215157,500196538,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:13.844Z,0x0512,0x0104,50021,2,31,500190906,500190906,0,35750,3581824,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500208399,500189780,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:14.845Z,0x0512,0x0104,50021,2,31,500195412,500195412,0,35760,3582827,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500212904,500194285,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:15.831Z,0x0512,0x0104,50021,2,31,500196538,500196538,0,35770,3583811,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500215157,500196538,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:16.832Z,0x0512,0x0104,50021,2,31,500190906,500190906,0,35780,3584813,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500208399,500189780,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:17.833Z,0x0512,0x0104,50021,2,31,500197665,500197665,0,35790,3585815,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500216284,500197665,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:18.835Z,0x0512,0x0104,50021,2,31,500193159,500193159,0,35800,3586816,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500212904,500194285,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:19.835Z,0x0512,0x0104,50021,2,31,500202171,500202171,0,35810,3587818,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500220790,500202171,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:20.837Z,0x0512,0x0104,50021,2,31,500198791,500198791,0,35820,3588818,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500219663,500201044,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:21.840Z,0x0512,0x0104,50021,2,31,500189780,500189780,0,35830,3589820,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500210652,500192033,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:22.840Z,0x0512,0x0104,50021,2,31,500194285,500194285,0,35840,3590824,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500212904,500194285,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:23.842Z,0x0512,0x0104,50021,2,31,500190906,500190906,0,35850,3591824,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500209525,500190906,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:24.843Z,0x0512,0x0104,50021,2,31,500189780,500189780,0,35860,3592827,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500207272,500188653,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:25.846Z,0x0512,0x0104,50021,2,31,500195412,500195412,0,35870,3593827,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500214031,500195412,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:26.832Z,0x0512,0x0104,50021,2,31,500195412,500195412,0,35880,3594825,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500212904,500194285,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:27.833Z,0x0512,0x0104,50021,2,31,500189780,500189780,0,35890,3595827,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500207272,500188653,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:28.836Z,0x0512,0x0104,50021,2,31,500195412,500195412,0,35900,3596828,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500212904,500194285,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:29.838Z,0x0512,0x0104,50021,2,31,500181894,500181894,0,35910,3597830,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500200513,500181894,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:30.839Z,0x0512,0x0104,50021,2,31,500188653,500188653,0,35920,3598833,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500208399,500189780,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:31.840Z,0x0512,0x0104,50021,2,31,500194285,500194285,0,35930,3599834,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500212904,500194285,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:32.840Z,0x0512,0x0104,50021,2,31,500195412,500195412,0,35940,3600835,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500212904,500194285,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:33.842Z,0x0512,0x0104,50021,2,31,500192033,500192033,0,35950,3601837,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500209525,500190906,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:34.844Z,0x0512,0x0104,50021,2,31,500192033,500192033,0,35960,3602839,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500208399,500189780,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:35.846Z,0x0512,0x0104,50021,2,31,500189780,500189780,0,35970,3603841,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500209525,500190906,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:36.834Z,0x0512,0x0104,50021,2,31,500187527,500187527,0,35979,3604742,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500205019,500186400,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:37.833Z,0x0512,0x0104,50021,2,31,500181894,500181894,0,35989,3605744,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500201640,500183021,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:38.833Z,0x0512,0x0104,50021,2,31,500187527,500187527,0,35999,3606746,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500207272,500188653,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:39.834Z,0x0512,0x0104,50021,2,31,500193159,500193159,0,36009,3607747,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500211778,500193159,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:40.833Z,0x0512,0x0104,50021,2,31,500193159,500193159,0,36019,3608749,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500210652,500192033,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:41.834Z,0x0512,0x0104,50021,2,31,500186400,500186400,0,36029,3609751,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,500205019,500186400,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:42.835Z,0x0512,0x0104,40765,2,15,407650674,407650674,0,36039,3610753,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,356733302,356714683,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:43.838Z,0x0512,0x0104,10735,2,15,107351706,107351706,0,36049,3611754,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,93970860,93952241,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:44.842Z,0x0512,0x0104,2834,2,47,28343864,28343864,0,36059,3612756,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,24836604,24817985,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:45.844Z,0x0512,0x0104,756,2,47,7559204,7559204,0,36069,3613758,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,6651857,6633238,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:46.847Z,0x0512,0x0104,209,2,47,2089023,2089023,0,36079,3614760,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,1863196,1844577,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:47.833Z,0x0512,0x0104,65,2,47,647130,647130,0,36089,3615761,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,600413,581794,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:48.834Z,0x0512,0x0104,27,2,47,265254,265254,0,36099,3616763,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,268102,249483,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:49.836Z,0x0512,0x0104,17,2,47,172882,172882,0,36109,3617765,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,188122,169503,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:50.835Z,0x0512,0x0104,14,2,63,143594,143594,0,36119,3618766,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,161086,142467,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:51.834Z,0x0512,0x0104,14,2,63,141341,141341,0,36129,3619768,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,159960,141341,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:52.839Z,0x0512,0x0104,14,2,63,136835,136835,0,36139,3620770,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,155454,136835,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:53.840Z,0x0512,0x0104,14,2,63,135709,135709,0,36149,3621771,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,153201,134582,500150948,500178994,28046,0,0,0,0,0,24,0
2026-09-18T10:41:54.841Z,0x0512,0x0104,14,2,63,140215,140215,0,36159,3622773,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,1,1,1,0,1,18619,158834,140215,500150948,500178994,28046,0,0,0,0,0,24,0
