utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-18T10:03:17.650Z,0x0512,0x0104,50016,2,31,500150948,500150948,0,13025,1305448,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500153201,500153201,0,0,0,0,0,72,0,0,0,0
2026-09-18T10:03:18.654Z,0x0512,0x0104,50016,2,31,500154328,500154328,0,13035,1306455,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500154328,500154328,0,0,0,0,0,73,0,0,0,0
2026-09-18T10:03:19.655Z,0x0512,0x0104,50016,2,31,500153201,500153201,0,13045,1307458,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500153201,500153201,0,0,0,0,0,74,0,0,0,0
2026-09-18T10:03:20.663Z,0x0512,0x0104,50016,2,31,500155454,500155454,0,13055,1308461,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500152075,500152075,0,0,0,0,0,75,0,0,0,0
2026-09-18T10:03:21.654Z,0x0512,0x0104,50016,2,31,500154328,500154328,0,13065,1309452,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500152075,500152075,0,0,0,0,0,75,0,0,0,0
2026-09-18T10:03:22.658Z,0x0512,0x0104,50016,2,31,500145316,500145316,0,13075,1310458,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500146442,500146442,0,0,0,0,0,76,0,0,0,0
2026-09-18T10:03:23.643Z,0x0512,0x0104,50016,2,31,500146442,500146442,0,13085,1311447,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500145316,500145316,0,0,0,0,0,77,0,0,0,0
2026-09-18T10:03:24.644Z,0x0512,0x0104,50016,2,31,500150948,500150948,0,13095,1312447,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500152075,500152075,0,0,0,0,0,78,0,0,0,0
2026-09-18T10:03:25.646Z,0x0512,0x0104,50016,2,31,500148695,500148695,0,13105,1313449,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500149822,500149822,0,0,0,0,0,79,0,0,0,0
2026-09-18T10:03:26.651Z,0x0512,0x0104,50016,2,31,500154328,500154328,0,13115,1314456,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500156581,500156581,0,0,0,0,0,80,0,0,0,0
2026-09-18T10:03:27.649Z,0x0512,0x0104,50016,2,31,500156581,500156581,0,13125,1315456,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500155454,500155454,0,0,0,0,0,81,0,0,0,0
2026-09-18T10:03:28.652Z,0x0512,0x0104,50016,2,31,500147569,500147569,0,13135,1316454,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500146442,500146442,0,0,0,0,0,82,0,0,0,0
2026-09-18T10:03:29.653Z,0x0512,0x0104,50016,2,31,500146442,500146442,0,13145,1317458,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500147569,500147569,0,0,0,0,0,83,0,0,0,0
2026-09-18T10:03:30.653Z,0x0512,0x0104,50016,2,31,500150948,500150948,0,13155,1318457,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500150948,500150948,0,0,0,0,0,84,0,0,0,0
2026-09-18T10:03:31.655Z,0x0512,0x0104,50016,2,31,500150948,500150948,0,13165,1319458,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500152075,500152075,0,0,0,0,0,85,0,0,0,0
2026-09-18T10:03:32.655Z,0x0512,0x0104,50016,2,31,500148695,500148695,0,13175,1320461,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500145316,500145316,0,0,0,0,0,86,0,0,0,0
2026-09-18T10:03:33.658Z,0x0512,0x0104,50016,2,31,500136304,500136304,0,13185,1321461,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500137430,500137430,0,0,0,0,0,87,0,0,0,0
2026-09-18T10:03:34.643Z,0x0512,0x0104,50016,2,31,500131798,500131798,0,13195,1322459,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500132924,500132924,0,0,0,0,0,88,0,0,0,0
2026-09-18T10:03:35.644Z,0x0512,0x0104,50016,2,31,500139683,500139683,0,13205,1323461,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500139683,500139683,0,0,0,0,0,89,0,0,0,0
2026-09-18T10:03:36.646Z,0x0512,0x0104,50016,2,31,500148695,500148695,0,13215,1324462,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500148695,500148695,0,0,0,0,0,90,0,0,0,0
2026-09-18T10:03:37.647Z,0x0512,0x0104,50016,2,31,500145316,500145316,0,13225,1325464,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500145316,500145316,0,0,0,0,0,91,0,0,0,0
2026-09-18T10:03:38.653Z,0x0512,0x0104,50016,2,31,500150948,500150948,0,13235,1326466,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500153201,500153201,0,0,0,0,0,92,0,0,0,0
2026-09-18T10:03:39.656Z,0x0512,0x0104,50016,2,31,500153201,500153201,0,13245,1327468,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500150948,500150948,0,0,0,0,0,93,0,0,0,0
2026-09-18T10:03:40.656Z,0x0512,0x0104,50016,2,31,500152075,500152075,0,13255,1328469,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500152075,500152075,0,0,0,0,0,94,0,0,0,0
2026-09-18T10:03:41.643Z,0x0512,0x0104,50016,2,31,500152075,500152075,0,13264,1329371,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500148695,500148695,0,0,0,0,0,95,0,0,0,0
2026-09-18T10:03:42.648Z,0x0512,0x0104,50016,2,31,500148695,500148695,0,13274,1330373,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500149822,500149822,0,0,0,0,0,96,0,0,0,0
2026-09-18T10:03:43.647Z,0x0512,0x0104,50016,2,31,500150948,500150948,0,13284,1331374,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500149822,500149822,0,0,0,0,0,97,0,0,0,0
2026-09-18T10:03:44.652Z,0x0512,0x0104,50016,2,31,500141936,500141936,0,13294,1332376,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500143063,500143063,0,0,0,0,0,98,0,0,0,0
2026-09-18T10:03:45.653Z,0x0512,0x0104,50016,2,31,500153201,500153201,0,13304,1333378,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500154328,500154328,0,0,0,0,0,99,0,0,0,0
2026-09-18T10:03:46.658Z,0x0512,0x0104,50016,2,31,500150948,500150948,0,13314,1334380,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500150948,500150948,0,0,0,0,0,100,0,0,0,0
2026-09-18T10:03:47.646Z,0x0512,0x0104,50016,2,31,500152075,500152075,0,13324,1335381,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500149822,500149822,0,0,0,0,0,101,0,0,0,0
2026-09-18T10:03:48.652Z,0x0512,0x0104,50016,2,31,500144189,500144189,0,13334,1336383,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500145316,500145316,0,0,0,0,0,102,0,0,0,0
2026-09-18T10:03:49.656Z,0x0512,0x0104,50016,2,31,500149822,500149822,0,13344,1337385,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500149822,500149822,0,0,0,0,0,103,0,0,0,0
2026-09-18T10:03:50.662Z,0x0512,0x0104,50016,2,31,500145316,500145316,0,13354,1338386,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500145316,500145316,0,0,0,0,0,104,0,0,0,0
2026-09-18T10:03:51.652Z,0x0512,0x0104,50016,2,31,500147569,500147569,0,13364,1339388,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500148695,500148695,0,0,0,0,0,105,0,0,0,0
2026-09-18T10:03:52.659Z,0x0512,0x0104,50016,2,31,500148695,500148695,0,13374,1340390,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500147569,500147569,0,0,0,0,0,106,0,0,0,0
2026-09-18T10:03:53.646Z,0x0512,0x0104,50016,2,31,500152075,500152075,0,13384,1341391,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500150948,500150948,0,0,0,0,0,107,0,0,0,0
2026-09-18T10:03:54.650Z,0x0512,0x0104,50016,2,31,500152075,500152075,0,13394,1342393,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500152075,500152075,0,0,0,0,0,108,0,0,0,0
2026-09-18T10:03:55.651Z,0x0512,0x0104,50016,2,31,500143063,500143063,0,13404,1343395,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500144189,500144189,0,0,0,0,0,109,0,0,0,0
2026-09-18T10:03:56.657Z,0x0512,0x0104,50016,2,31,500149822,500149822,0,13414,1344396,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500150948,500150948,0,0,0,0,0,110,0,0,0,0
2026-09-18T10:03:57.662Z,0x0512,0x0104,50016,2,31,500156581,500156581,0,13424,1345398,0,0,3,0,0,1,0,7,7,0,3,1,7,high,0x55B5,0,2,3,0,1,0,500155454,500155454,0,0,0,0,0,111,0,0,0,0
