utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-18T19:04:07.982Z,0x0512,0x0104,49982,2,31,499832176,499832176,0,10821,1084718,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499832176,499832176,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:08.985Z,0x0512,0x0104,49982,2,31,499832176,499832176,0,10831,1085718,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499829924,499829924,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:09.990Z,0x0512,0x0104,49982,2,31,499834429,499834429,0,10841,1086722,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499835555,499835555,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:10.975Z,0x0512,0x0104,49982,2,31,499827671,499827671,0,10851,1087711,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499829924,499829924,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:11.978Z,0x0512,0x0104,49982,2,31,499823166,499823166,0,10861,1088712,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499822039,499822039,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:12.979Z,0x0512,0x0104,49982,2,31,499826545,499826545,0,10871,1089715,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499824292,499824292,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:13.981Z,0x0512,0x0104,49982,2,31,499817534,499817534,0,10881,1090716,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499818660,499818660,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:14.982Z,0x0512,0x0104,49982,2,31,499827671,499827671,0,10891,1091720,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499829924,499829924,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:15.982Z,0x0512,0x0104,49982,2,31,499832176,499832176,0,10901,1092719,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499832176,499832176,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:16.986Z,0x0512,0x0104,49982,2,31,499827671,499827671,0,10911,1093719,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499827671,499827671,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:17.988Z,0x0512,0x0104,49982,2,31,499831050,499831050,0,10921,1094723,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499835555,499835555,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:18.989Z,0x0512,0x0104,49982,2,31,499835555,499835555,0,10931,1095726,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499833303,499833303,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:19.990Z,0x0512,0x0104,49982,2,31,499827671,499827671,0,10941,1096726,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499826545,499826545,0,0,0,0,0,0,0,0,0,0
2026-09-18T19:04:20.975Z,0x0512,0x0104,49982,2,31,499822039,499822039,0,10951,1097722,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,1,1,0,1,0,499823166,499823166,0,0,0,0,0,0,0,0,0,0
