utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-20T10:00:18.386Z,0x0513,0x0104,-13,2,63,-143044,-143044,0,11464,1149247,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-145297,-145297,-126008,-129246,-3238,0,0,300,600,0,3,0
2026-09-20T10:00:19.387Z,0x0513,0x0104,-13,2,63,-139665,-139665,0,11474,1150248,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-137413,-137413,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:20.391Z,0x0513,0x0104,-13,2,63,-136286,-136286,0,11484,1151250,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-138539,-138539,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:21.397Z,0x0513,0x0104,-13,2,63,-139665,-139665,0,11494,1152254,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-135160,-135160,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:22.402Z,0x0513,0x0104,-13,2,63,-139665,-139665,0,11504,1153260,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-137413,-137413,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:23.390Z,0x0513,0x0104,-13,2,63,-138539,-138539,0,11514,1154250,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-138539,-138539,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:24.394Z,0x0513,0x0104,-13,2,63,-137413,-137413,0,11524,1155253,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-134034,-134034,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:25.400Z,0x0513,0x0104,-13,2,63,-136286,-136286,0,11534,1156257,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-136286,-136286,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:26.391Z,0x0513,0x0104,-13,2,63,-138539,-138539,0,11544,1157248,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-136286,-136286,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:27.396Z,0x0513,0x0104,-13,2,63,-137413,-137413,0,11554,1158258,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-137413,-137413,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:28.402Z,0x0513,0x0104,-13,2,63,-140792,-140792,0,11564,1159259,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-140792,-140792,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:29.386Z,0x0513,0x0104,-13,2,63,-140792,-140792,0,11574,1160248,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-143044,-143044,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:30.387Z,0x0513,0x0104,-13,2,63,-146423,-146423,0,11584,1161249,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-144171,-144171,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:31.389Z,0x0513,0x0104,-13,2,63,-147550,-147550,0,11594,1162250,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-145297,-145297,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:32.392Z,0x0513,0x0104,-13,2,63,-145297,-145297,0,11604,1163253,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-143044,-143044,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:33.394Z,0x0513,0x0104,-13,2,63,-139665,-139665,0,11614,1164255,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-141918,-141918,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:34.394Z,0x0513,0x0104,-13,2,63,-144171,-144171,0,11624,1165257,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-141918,-141918,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:35.393Z,0x0513,0x0104,-13,2,63,-137413,-137413,0,11634,1166257,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-132907,-132907,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:36.394Z,0x0513,0x0104,-13,2,63,-136286,-136286,0,11644,1167257,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-136286,-136286,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:37.395Z,0x0513,0x0104,-13,2,63,-140792,-140792,0,11654,1168257,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-139665,-139665,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:38.397Z,0x0513,0x0104,-13,2,63,-134034,-134034,0,11664,1169259,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-131781,-131781,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:39.399Z,0x0513,0x0104,-13,2,63,-138539,-138539,0,11674,1170261,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-136286,-136286,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:40.404Z,0x0513,0x0104,-13,2,63,-138539,-138539,0,11684,1171264,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-138539,-138539,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:41.386Z,0x0513,0x0104,-13,2,63,-141918,-141918,0,11694,1172260,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-141918,-141918,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:42.389Z,0x0513,0x0104,-13,2,63,-140792,-140792,0,11704,1173262,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-139665,-139665,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:43.389Z,0x0513,0x0104,-13,2,63,-143044,-143044,0,11714,1174263,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-145297,-145297,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:44.394Z,0x0513,0x0104,-13,2,63,-139665,-139665,0,11724,1175265,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-138539,-138539,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:45.396Z,0x0513,0x0104,-13,2,63,-137413,-137413,0,11734,1176266,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-136286,-136286,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:46.395Z,0x0513,0x0104,-13,2,63,-134034,-134034,0,11744,1177268,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-135160,-135160,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:47.395Z,0x0513,0x0104,-13,2,63,-140792,-140792,0,11754,1178270,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-138539,-138539,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:48.400Z,0x0513,0x0104,-13,2,63,-139665,-139665,0,11764,1179271,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-139665,-139665,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:49.401Z,0x0513,0x0104,-13,2,63,-137413,-137413,0,11774,1180273,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-138539,-138539,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:50.386Z,0x0513,0x0104,-13,2,63,-130655,-130655,0,11783,1181174,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-130655,-130655,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:51.391Z,0x0513,0x0104,-13,2,63,-139665,-139665,0,11793,1182176,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-141918,-141918,-126008,-130372,-4364,0,0,300,600,0,4,0
2026-09-20T10:00:52.395Z,0x0513,0x0104,-13,2,63,-141918,-141918,0,11803,1183178,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,0,-143044,-143044,-126008,-130372,-4364,0,0,300,600,0,4,0
