utc,uptime_ms,sample_sequence,firmware,map,application,mode,state,limited,reason,offset_ug,reference_ug,reference_error_ug,uncompensated_gross_ug,corrected_gross_ug,net_mass_ug,gross_mass_ug,display_count,display_decimals,desired_display_count,display_condition_state,display_locked,display_mass_ug,display_anchor_ug,release_threshold_ug,display_candidate_elapsed_ms,display_release_reason,stable,fault_mask,overrun_count,dirty,revision,saved_revision,save_request_count_low
2026-09-20T13:35:02.000Z,14028220,140062,0x0513,0x0104,1,2,5,0,1,162628,-126008,45651,85601,-77027,-79279,-79279,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:03.961Z,14029243,140072,0x0513,0x0104,1,2,5,0,1,162667,-126008,45651,83349,-79318,-79318,-79318,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:04.974Z,14030255,140082,0x0513,0x0104,1,2,5,0,1,162707,-126008,45651,81096,-81611,-82737,-82737,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:05.962Z,14031246,140092,0x0513,0x0104,1,2,5,0,1,162746,-126008,45651,81096,-81650,-82776,-82776,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:06.971Z,14032254,140102,0x0513,0x0104,1,2,5,0,1,162786,-126008,45651,87854,-74932,-73806,-73806,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:07.959Z,14033244,140112,0x0513,0x0104,1,2,5,0,1,162826,-126008,45651,85601,-77225,-79477,-79477,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:08.969Z,14034252,140122,0x0513,0x0104,1,2,5,0,1,162865,-126008,45651,91233,-71632,-73885,-73885,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:09.955Z,14035244,140132,0x0513,0x0104,1,2,5,0,1,162905,-126008,45651,93486,-69419,-70546,-70546,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:10.966Z,14036249,140142,0x0513,0x0104,1,2,5,0,1,162945,-126008,45651,100244,-62701,-64954,-64954,-4,2,-6,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:11.959Z,14037243,140152,0x0513,0x0104,1,2,5,0,1,162984,-126008,45651,99117,-63867,-62740,-62740,-4,2,-6,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:12.970Z,14038252,140162,0x0513,0x0104,1,2,5,0,1,163024,-126008,45651,97991,-65033,-62780,-62780,-4,2,-6,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:13.958Z,14039247,140172,0x0513,0x0104,1,2,5,0,1,163063,-126008,45651,94612,-68451,-68451,-68451,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:14.965Z,14040253,140182,0x0513,0x0104,1,2,5,0,1,163103,-126008,45651,88980,-74123,-71870,-71870,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:15.952Z,14041243,140192,0x0513,0x0104,1,2,5,0,1,163143,-126008,45651,78843,-84300,-84300,-84300,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:35:16.956Z,14042246,140202,0x0513,0x0104,1,2,5,0,1,163182,-126008,45651,85601,-77581,-75328,-75328,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
