utc,uptime_ms,sample_sequence,firmware,map,application,mode,state,limited,reason,offset_ug,reference_ug,reference_error_ug,uncompensated_gross_ug,corrected_gross_ug,net_mass_ug,gross_mass_ug,display_count,display_decimals,desired_display_count,display_condition_state,display_locked,display_mass_ug,display_anchor_ug,release_threshold_ug,display_candidate_elapsed_ms,display_release_reason,stable,fault_mask,overrun_count,dirty,revision,saved_revision,save_request_count_low
2026-09-20T13:37:17.783Z,14163078,141408,0x0513,0x0104,1,2,5,0,1,167680,-126008,42041,92359,-75321,-78700,-78700,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:18.743Z,14164049,141418,0x0513,0x0104,1,2,5,0,1,167716,-126008,42041,94612,-73104,-71978,-71978,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:19.743Z,14164950,141427,0x0513,0x0104,1,2,5,0,1,167752,-126008,42041,90107,-77645,-76519,-76519,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:20.749Z,14166053,141438,0x0513,0x0104,1,2,5,0,1,167787,-126008,42041,92359,-75428,-74301,-74301,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:21.745Z,14166954,141447,0x0513,0x0104,1,2,5,0,1,167823,-126008,42041,88980,-78843,-79969,-79969,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:22.746Z,14168056,141458,0x0513,0x0104,1,2,5,0,1,167858,-126008,42041,93486,-74372,-72120,-72120,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:23.736Z,14168958,141467,0x0513,0x0104,1,2,5,0,1,167894,-126008,42041,91233,-76661,-76661,-76661,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:24.742Z,14169960,141477,0x0513,0x0104,1,2,5,0,1,167930,-126008,42041,84475,-83455,-83455,-83455,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:25.746Z,14170961,141487,0x0513,0x0104,1,2,5,0,1,167965,-126008,42041,86728,-81237,-78985,-78985,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:26.738Z,14171963,141497,0x0513,0x0104,1,2,5,0,1,168001,-126008,42041,86728,-81273,-81273,-81273,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:27.745Z,14172965,141507,0x0513,0x0104,1,2,5,0,1,168036,-126008,42041,82222,-85814,-85814,-85814,-4,2,-9,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:28.734Z,14173967,141517,0x0513,0x0104,1,2,5,0,1,168072,-126008,42041,90107,-77965,-80218,-80218,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:29.742Z,14174968,141527,0x0513,0x0104,1,2,5,0,1,168108,-126008,42041,95738,-72370,-74622,-74622,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:30.748Z,14175970,141537,0x0513,0x0104,1,2,5,0,1,168143,-126008,42041,99117,-69026,-70152,-70152,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:31.740Z,14176972,141547,0x0513,0x0104,1,2,5,0,1,168179,-126008,42041,101370,-66809,-69062,-69062,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:32.744Z,14177973,141557,0x0513,0x0104,1,2,5,0,1,168214,-126008,42041,101370,-66844,-65718,-65718,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:33.748Z,14178975,141567,0x0513,0x0104,1,2,5,0,1,168250,-126008,42041,92359,-75891,-74764,-74764,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:34.737Z,14179977,141577,0x0513,0x0104,1,2,5,0,1,168286,-126008,42041,90107,-78179,-77053,-77053,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:35.741Z,14180978,141587,0x0513,0x0104,1,2,5,0,1,168321,-126008,42041,85601,-82720,-82720,-82720,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:36.748Z,14181980,141597,0x0513,0x0104,1,2,5,0,1,168357,-126008,42041,93486,-74871,-74871,-74871,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:37.742Z,14182982,141607,0x0513,0x0104,1,2,5,0,1,168392,-126008,42041,91233,-77159,-77159,-77159,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:38.747Z,14183983,141617,0x0513,0x0104,1,2,5,0,1,168428,-126008,42041,87854,-80574,-80574,-80574,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:39.752Z,14184985,141627,0x0513,0x0104,1,2,5,0,1,168464,-126008,42041,87854,-80610,-80610,-80610,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:40.747Z,14185987,141637,0x0513,0x0104,1,2,5,0,1,168499,-126008,42041,93486,-75013,-75013,-75013,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:41.753Z,14186989,141647,0x0513,0x0104,1,2,5,0,1,168535,-126008,42041,100244,-68291,-70544,-70544,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:42.749Z,14187991,141657,0x0513,0x0104,1,2,5,0,1,168570,-126008,42041,104749,-63821,-62695,-62695,-4,2,-6,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:43.743Z,14189036,141667,0x0513,0x0104,1,2,5,0,1,168606,-126008,42041,97991,-70615,-68362,-68362,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:44.752Z,14189994,141677,0x0513,0x0104,1,2,5,0,1,168639,-126008,39905,90107,-78532,-79659,-79659,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:45.750Z,14191043,141687,0x0513,0x0104,1,2,5,0,1,168672,-126008,39905,99117,-69555,-72934,-72934,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:46.741Z,14192038,141697,0x0513,0x0104,1,2,5,0,1,168706,-126008,39905,92359,-76347,-75220,-75220,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:47.750Z,14193044,141707,0x0513,0x0104,1,2,5,0,1,168739,-126008,39905,93486,-75253,-75253,-75253,-4,2,-8,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:48.740Z,14194036,141717,0x0513,0x0104,1,2,5,0,1,168772,-126008,39905,94612,-74160,-74160,-74160,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:49.747Z,14195043,141727,0x0513,0x0104,1,2,5,0,1,168805,-126008,39905,104749,-64056,-68561,-68561,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
2026-09-20T13:37:50.743Z,14196035,141737,0x0513,0x0104,1,2,5,0,1,168839,-126008,39905,103623,-65216,-65216,-65216,-4,2,-7,2,1,-43968,-43968,80000,1001,2,1,0,0,0,8,8,0
