index,uptime_ms,sample_sequence,authoritative_display_input_ug,baseline_count,desired_count,current_count,delta_count,direction,evidence,anchor_count,locked,stable,active,large_step,release_reason,source
0,14163078,141408,-78700,-4,-8,-4,-4,-1,0,-4,1,1,1,0,0,0
1,14164049,141418,-71978,-4,-7,-4,-3,-1,-1,-4,1,1,1,0,0,0
2,14164950,141427,-76519,-4,-8,-4,-4,-1,-2,-4,1,1,1,0,0,0
3,14166053,141438,-74301,-4,-7,-4,-3,-1,-3,-4,1,1,1,0,0,0
4,14166954,141447,-79969,-4,-8,-4,-4,-1,-4,-4,1,1,1,0,0,0
5,14168056,141458,-72120,-4,-7,-5,-2,-1,0,-5,1,1,1,0,0,0
6,14168958,141467,-76661,-4,-8,-5,-3,-1,-1,-5,1,1,1,0,0,0
7,14169960,141477,-83455,-4,-8,-5,-3,-1,-2,-5,1,1,1,0,0,0
8,14170961,141487,-78985,-4,-8,-5,-3,-1,-3,-5,1,1,1,0,0,0
9,14171963,141497,-81273,-4,-8,-5,-3,-1,-4,-5,1,1,1,0,0,0
10,14172965,141507,-85814,-4,-9,-6,-3,-1,0,-6,1,1,1,0,0,0
11,14173967,141517,-80218,-4,-8,-6,-2,-1,-1,-6,1,1,1,0,0,0
12,14174968,141527,-74622,-4,-7,-6,-1,-1,-2,-6,1,1,1,0,0,0
13,14175970,141537,-70152,-4,-7,-6,-1,-1,-3,-6,1,1,1,0,0,0
14,14176972,141547,-69062,-4,-7,-6,-1,-1,-4,-6,1,1,1,0,0,0
15,14177973,141557,-65718,-4,-7,-7,0,0,0,-7,1,1,1,0,0,0
16,14178975,141567,-74764,-4,-7,-7,0,0,0,-7,1,1,1,0,0,0
17,14179977,141577,-77053,-4,-8,-7,-1,-1,-1,-7,1,1,1,0,0,0
18,14180978,141587,-82720,-4,-8,-7,-1,-1,-2,-7,1,1,1,0,0,0
19,14181980,141597,-74871,-4,-7,-7,0,0,-1,-7,1,1,1,0,0,0
20,14182982,141607,-77159,-4,-8,-7,-1,-1,-2,-7,1,1,1,0,0,0
21,14183983,141617,-80574,-4,-8,-7,-1,-1,-3,-7,1,1,1,0,0,0
22,14184985,141627,-80610,-4,-8,-7,-1,-1,-4,-7,1,1,1,0,0,0
23,14185987,141637,-75013,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
24,14186989,141647,-70544,-4,-7,-8,1,1,1,-8,1,1,1,0,0,0
25,14187991,141657,-62695,-4,-6,-8,2,1,2,-8,1,1,1,0,0,0
26,14189036,141667,-68362,-4,-7,-8,1,1,3,-8,1,1,1,0,0,0
27,14189994,141677,-79659,-4,-8,-8,0,0,2,-8,1,1,1,0,0,0
28,14191043,141687,-72934,-4,-7,-8,1,1,3,-8,1,1,1,0,0,0
29,14192038,141697,-75220,-4,-8,-8,0,0,2,-8,1,1,1,0,0,0
30,14193044,141707,-75253,-4,-8,-8,0,0,1,-8,1,1,1,0,0,0
31,14194036,141717,-74160,-4,-7,-8,1,1,2,-8,1,1,1,0,0,0
32,14195043,141727,-68561,-4,-7,-8,1,1,3,-8,1,1,1,0,0,0
33,14196035,141737,-65216,-4,-7,-8,1,1,4,-8,1,1,1,0,0,0
34,14197049,141747,-68628,-4,-7,-7,0,0,0,-7,1,1,1,0,0,0
35,14198045,141757,-63030,-4,-6,-7,1,1,1,-7,1,1,1,0,0,0
36,14199035,141767,-66442,-4,-7,-7,0,0,0,-7,1,1,1,0,0,0
37,14200045,141777,-67602,-4,-7,-7,0,0,0,-7,1,1,1,0,0,0
38,14201048,141787,-80025,-4,-8,-7,-1,-1,-1,-7,1,1,1,0,0,0
39,14202043,141797,-81184,-4,-8,-7,-1,-1,-2,-7,1,1,1,0,0,0
40,14203040,141807,-78964,-4,-8,-7,-1,-1,-3,-7,1,1,1,0,0,0
41,14204049,141817,-72239,-4,-7,-7,0,0,-2,-7,1,1,1,0,0,0
42,14205045,141827,-72273,-4,-7,-7,0,0,-1,-7,1,1,1,0,0,0
43,14206038,141837,-66675,-4,-7,-7,0,0,0,-7,1,1,1,0,0,0
44,14207048,141847,-61076,-4,-6,-7,1,1,1,-7,1,1,1,0,0,0
45,14208040,141857,-78004,-4,-8,-7,-1,-1,0,-7,1,1,1,0,0,0
46,14209036,141867,-79164,-4,-8,-7,-1,-1,-1,-7,1,1,1,0,0,0
47,14210043,141877,-81450,-4,-8,-7,-1,-1,-2,-7,1,1,1,0,0,0
48,14211036,141887,-75851,-4,-8,-7,-1,-1,-3,-7,1,1,1,0,0,0
49,14212045,141897,-79263,-4,-8,-7,-1,-1,-4,-7,1,1,1,0,0,0
50,14213050,141907,-74791,-4,-7,-7,0,0,-3,-7,1,1,1,0,0,0
51,14214043,141917,-80457,-4,-8,-7,-1,-1,-4,-7,1,1,1,0,0,0
52,14215048,141927,-79363,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
53,14216040,141937,-76017,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
54,14217045,141947,-68166,-4,-7,-8,1,1,1,-8,1,1,1,0,0,0
55,14218041,141957,-65947,-4,-7,-8,1,1,2,-8,1,1,1,0,0,0
56,14219045,141967,-65980,-4,-7,-8,1,1,3,-8,1,1,1,0,0,0
57,14220051,141977,-66013,-4,-7,-8,1,1,4,-8,1,1,1,0,0,0
58,14221046,141987,-71678,-4,-7,-7,0,0,0,-7,1,1,1,0,0,0
59,14222048,141997,-84102,-4,-8,-7,-1,-1,-1,-7,1,1,1,0,0,0
60,14223050,142007,-80756,-4,-8,-7,-1,-1,-2,-7,1,1,1,0,0,0
61,14224051,142017,-80789,-4,-8,-7,-1,-1,-3,-7,1,1,1,0,0,0
62,14225053,142027,-79695,-4,-8,-7,-1,-1,-4,-7,1,1,1,0,0,0
63,14225955,142036,-78602,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
64,14227057,142047,-82015,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
65,14228059,142057,-74164,-4,-7,-8,1,1,1,-8,1,1,1,0,0,0
66,14228960,142066,-82081,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
67,14229962,142076,-94504,-4,-9,-8,-1,-1,-1,-8,1,1,1,0,0,0
68,14230964,142086,-90032,-4,-9,-8,-1,-1,-2,-8,1,1,1,0,0,0
69,14232066,142097,-75423,-4,-8,-8,0,0,-1,-8,1,1,1,0,0,0
70,14232967,142106,-79961,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
71,14233969,142116,-93510,-4,-9,-8,-1,-1,-1,-8,1,1,1,0,0,0
72,14234971,142126,-85659,-4,-9,-8,-1,-1,-2,-8,1,1,1,0,0,0
73,14235973,142136,-90198,-4,-9,-8,-1,-1,-3,-8,1,1,1,0,0,0
74,14236975,142146,-80094,-4,-8,-8,0,0,-2,-8,1,1,1,0,0,0
75,14237976,142156,-80127,-4,-8,-8,0,0,-1,-8,1,1,1,0,0,0
76,14238978,142166,-84666,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
77,14239980,142176,-79068,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
78,14240982,142186,-83606,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
79,14241984,142196,-85892,-4,-9,-8,-1,-1,-1,-8,1,1,1,0,0,0
80,14242985,142206,-85925,-4,-9,-8,-1,-1,-2,-8,1,1,1,0,0,0
81,14243987,142216,-80327,-4,-8,-8,0,0,-1,-8,1,1,1,0,0,0
82,14244989,142226,-76981,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
83,14245991,142236,-75888,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
84,14246993,142246,-65784,-4,-7,-8,1,1,1,-8,1,1,1,0,0,0
85,14248043,142256,-80459,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
86,14248996,142266,-79367,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
87,14249997,142276,-79399,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
88,14251045,142286,-78306,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
89,14252001,142296,-80590,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
90,14253051,142306,-82875,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
91,14254050,142316,-87413,-4,-9,-8,-1,-1,-1,-8,1,1,1,0,0,0
92,14255047,142326,-76182,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
93,14256053,142336,-72836,-4,-7,-8,1,1,1,-8,1,1,1,0,0,0
94,14257050,142346,-81879,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
95,14258041,142356,-81911,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
96,14259046,142366,-79691,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
97,14260051,142376,-81976,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
98,14261043,142386,-85388,-4,-9,-8,-1,-1,-1,-8,1,1,1,0,0,0
99,14262048,142396,-84293,-4,-8,-8,0,0,0,-8,1,1,1,0,0,0
100,14263052,142406,-86579,-4,-9,-8,-1,-1,-1,-8,1,1,1,0,0,0
101,14264047,142416,-89990,-4,-9,-8,-1,-1,-2,-8,1,1,1,0,0,0
102,14265054,142426,-92275,-4,-9,-8,-1,-1,-3,-8,1,1,1,0,0,0
103,14266048,142436,-92308,-4,-9,-8,-1,-1,-4,-8,1,1,1,0,0,0
104,14267051,142446,-88961,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
105,14268046,142456,-84488,-4,-8,-9,1,1,1,-9,1,1,1,0,0,0
106,14269055,142466,-85647,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
107,14270046,142476,-87931,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
108,14271053,142486,-96975,-4,-10,-9,-1,-1,-1,-9,1,1,1,0,0,0
109,14272047,142496,-100386,-4,-10,-9,-1,-1,-2,-9,1,1,1,0,0,0
110,14273051,142506,-92535,-4,-9,-9,0,0,-1,-9,1,1,1,0,0,0
111,14274048,142516,-82430,-4,-8,-9,1,1,0,-9,1,1,1,0,0,0
112,14275052,142526,-86968,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
113,14276044,142536,-80242,-4,-8,-9,1,1,1,-9,1,1,1,0,0,0
114,14277050,142546,-94916,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
115,14278046,142556,-101707,-4,-10,-9,-1,-1,-1,-9,1,1,1,0,0,0
116,14279051,142566,-109624,-4,-11,-9,-2,-1,-2,-9,1,1,1,0,0,0
117,14280049,142576,-91635,-4,-9,-9,0,0,-1,-9,1,1,1,0,0,0
118,14281051,142586,-91667,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
119,14282053,142596,-86069,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
120,14283054,142606,-86101,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
121,14284055,142616,-88385,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
122,14284957,142625,-86166,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
123,14286059,142636,-99714,-4,-10,-9,-1,-1,-1,-9,1,1,1,0,0,0
124,14287060,142646,-99747,-4,-10,-9,-1,-1,-2,-9,1,1,1,0,0,0
125,14287962,142655,-93021,-4,-9,-9,0,0,-1,-9,1,1,1,0,0,0
126,14288964,142665,-93053,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
127,14289965,142675,-84075,-4,-8,-9,1,1,1,-9,1,1,1,0,0,0
128,14290967,142685,-81854,-4,-8,-9,1,1,2,-9,1,1,1,0,0,0
129,14291969,142695,-86393,-4,-9,-9,0,0,1,-9,1,1,1,0,0,0
130,14292970,142705,-87551,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
131,14293973,142715,-89837,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
132,14294974,142725,-89869,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
133,14295976,142735,-96659,-4,-10,-9,-1,-1,-1,-9,1,1,1,0,0,0
134,14296977,142745,-91060,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
135,14297979,142755,-88839,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
136,14298981,142765,-88872,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
137,14299982,142775,-94536,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
138,14300984,142785,-84432,-4,-8,-9,1,1,1,-9,1,1,1,0,0,0
139,14301986,142795,-86717,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
140,14302987,142805,-100265,-4,-10,-9,-1,-1,-1,-9,1,1,1,0,0,0
141,14303989,142815,-99171,-4,-10,-9,-1,-1,-2,-9,1,1,1,0,0,0
142,14304991,142825,-84561,-4,-8,-9,1,1,-1,-9,1,1,1,0,0,0
143,14305993,142835,-83468,-4,-8,-9,1,1,0,-9,1,1,1,0,0,0
144,14306994,142845,-80121,-4,-8,-9,1,1,1,-9,1,1,1,0,0,0
145,14307996,142855,-89163,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
146,14309045,142865,-91416,-4,-9,-9,0,0,0,-9,1,1,1,0,0,0
