utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T09:00:18.886Z,325204390000000,0x0517,0x0104,1,2,63,7884,7884,0,-44051,-44054,7386,740634,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:19.223Z,325204718000000,0x0517,0x0104,1,2,63,6758,6758,0,-44033,-44053,7389,740927,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:19.560Z,325205062000000,0x0517,0x0104,1,2,63,5632,5632,0,-44065,-44052,7392,741265,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:19.894Z,325205390000000,0x0517,0x0104,1,2,63,9011,9011,0,-44051,-44055,7396,741643,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:20.234Z,325205734000000,0x0517,0x0104,1,2,63,9011,9011,0,-44044,-44055,7399,741936,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:20.574Z,325206078000000,0x0517,0x0104,1,2,63,9011,9011,0,-44053,-44055,7403,742329,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:20.910Z,325206406000000,0x0517,0x0104,1,2,63,6758,6758,0,-44031,-44053,7406,742630,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:21.250Z,325206750000000,0x0517,0x0104,1,2,63,3379,3379,0,-44062,-44050,7409,742952,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:21.584Z,325207078000000,0x0517,0x0104,1,2,63,1126,1126,0,-44033,-44048,7413,743333,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:21.922Z,325207421000000,0x0517,0x0104,1,2,63,4505,4505,0,-44067,-44051,7416,743631,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:22.257Z,325207765000000,0x0517,0x0104,1,2,63,-2253,-2253,0,-44048,-44045,7419,743964,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:22.593Z,325208093000000,0x0517,0x0104,1,2,63,0,0,0,-44049,-44047,7423,744340,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:22.929Z,325208437000000,0x0517,0x0104,1,2,63,1126,1126,0,-44042,-44048,7426,744636,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:23.267Z,325208765000000,0x0517,0x0104,1,2,63,3379,3379,0,-44053,-44050,7429,744970,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:23.600Z,325209093000000,0x0517,0x0104,1,2,63,5632,5632,0,-44056,-44052,7433,745349,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:23.937Z,325209437000000,0x0517,0x0104,1,2,63,2253,2253,0,-44043,-44049,7436,745643,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:24.274Z,325209781000000,0x0517,0x0104,1,2,63,3379,3379,0,-44057,-44050,7439,745978,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:00:24.611Z,325210109000000,0x0517,0x0104,1,2,63,4505,4505,0,-44054,-44051,7443,746357,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,10000,10000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
