utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T09:01:57.246Z,325302750000000,0x0517,0x0104,50000,2,31,500003379,500003379,0,-487970,-487968,8368,838996,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:01:57.588Z,325303093000000,0x0517,0x0104,50000,2,31,500002253,500002253,0,-487952,-487967,8371,839296,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:01:57.932Z,325303437000000,0x0517,0x0104,50000,2,31,500000000,500000000,0,-487962,-487965,8374,839636,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:01:58.272Z,325303765000000,0x0517,0x0104,50000,2,31,500000000,500000000,0,-487962,-487965,8378,839995,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:01:58.612Z,325304109000000,0x0517,0x0104,50000,2,31,500002253,500002253,0,-487987,-487967,8381,840322,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:01:58.950Z,325304453000000,0x0517,0x0104,50000,2,31,500005632,500005632,0,-487976,-487970,8385,840703,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:01:59.290Z,325304796000000,0x0517,0x0104,50000,2,31,500005632,500005632,0,-487972,-487970,8388,840999,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:01:59.630Z,325305125000000,0x0517,0x0104,50000,2,31,500003379,500003379,0,-487966,-487968,8391,841341,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:01:59.970Z,325305468000000,0x0517,0x0104,50000,2,31,500001126,500001126,0,-487965,-487966,8395,841721,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:02:00.315Z,325305812000000,0x0517,0x0104,50000,2,31,500001126,500001126,0,-487967,-487966,8398,842020,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500000000,500000000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
