utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T09:55:07.699Z,328493203000000,0x0517,0x0104,50011,2,31,500115941,500115941,0,-488099,-488091,40230,4029679,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:08.046Z,328493546000000,0x0517,0x0104,50011,2,31,500120446,500120446,0,-488075,-488095,40233,4029997,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:08.384Z,328493890000000,0x0517,0x0104,50011,2,31,500118194,500118194,0,-488105,-488093,40237,4030387,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:08.725Z,328494218000000,0x0517,0x0104,50011,2,31,500121573,500121573,0,-488100,-488096,40240,4030684,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:09.067Z,328494562000000,0x0517,0x0104,50011,2,31,500118194,500118194,0,-488108,-488093,40243,4031025,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:09.406Z,328494906000000,0x0517,0x0104,50011,2,31,500120446,500120446,0,-488094,-488095,40247,4031408,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:09.751Z,328495250000000,0x0517,0x0104,50011,2,31,500120446,500120446,0,-488102,-488095,40250,4031706,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:10.088Z,328495593000000,0x0517,0x0104,50011,2,31,500119320,500119320,0,-488091,-488094,40254,4032090,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:10.431Z,328495937000000,0x0517,0x0104,50011,2,31,500119320,500119320,0,-488085,-488094,40257,4032387,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
2026-09-23T09:55:10.773Z,328496281000000,0x0517,0x0104,50011,2,31,500118194,500118194,0,-488106,-488093,40261,4032784,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500110000,500110000,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25977,500103059,0
