utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T09:08:57.838Z,325723343000000,0x0517,0x0104,50003,2,31,500033790,500033790,0,-488000,-487995,12567,1259565,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:08:58.175Z,325723671000000,0x0517,0x0104,50003,2,31,500037169,500037169,0,-487988,-487998,12571,1259962,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:08:58.519Z,325724015000000,0x0517,0x0104,50003,2,31,500036043,500036043,0,-488009,-487997,12574,1260258,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:08:58.858Z,325724359000000,0x0517,0x0104,50003,2,31,500030411,500030411,0,-487993,-487992,12578,1260653,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:08:59.201Z,325724703000000,0x0517,0x0104,50003,2,31,500029285,500029285,0,-487982,-487991,12581,1260953,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:08:59.537Z,325725031000000,0x0517,0x0104,50003,2,31,500028158,500028158,0,-488005,-487990,12584,1261284,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:08:59.875Z,325725375000000,0x0517,0x0104,50003,2,31,500030411,500030411,0,-487999,-487992,12588,1261661,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:09:00.218Z,325725718000000,0x0517,0x0104,50003,2,31,500033790,500033790,0,-488001,-487995,12591,1261957,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:09:00.559Z,325726062000000,0x0517,0x0104,50003,2,31,500034916,500034916,0,-487987,-487996,12594,1262301,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:09:00.899Z,325726406000000,0x0517,0x0104,50003,2,31,500034916,500034916,0,-487994,-487996,12598,1262656,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:09:01.242Z,325726750000000,0x0517,0x0104,50003,2,31,500032664,500032664,0,-487998,-487994,12601,1262982,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:09:01.580Z,325727078000000,0x0517,0x0104,50003,2,31,500033790,500033790,0,-487997,-487995,12605,1263366,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500030000,500030000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
