utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T09:11:38.655Z,325884156000000,0x0517,0x0104,50005,2,31,500055190,500055190,0,-488013,-488014,14173,1420395,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:38.993Z,325884500000000,0x0517,0x0104,50005,2,31,500050685,500050685,0,-487998,-488010,14177,1420790,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:39.338Z,325884843000000,0x0517,0x0104,50005,2,31,500049559,500049559,0,-488021,-488009,14180,1421088,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:39.678Z,325885171000000,0x0517,0x0104,50005,2,31,500049559,500049559,0,-488001,-488009,14184,1421485,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:40.019Z,325885515000000,0x0517,0x0104,50005,2,31,500046180,500046180,0,-487980,-488006,14187,1421786,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:40.359Z,325885859000000,0x0517,0x0104,50005,2,31,500042801,500042801,0,-488000,-488003,14190,1422114,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:40.698Z,325886203000000,0x0517,0x0104,50005,2,31,500047306,500047306,0,-488007,-488007,14194,1422496,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:41.040Z,325886546000000,0x0517,0x0104,50005,2,31,500046180,500046180,0,-488000,-488006,14197,1422791,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:41.383Z,325886890000000,0x0517,0x0104,50005,2,31,500041674,500041674,0,-488015,-488002,14201,1423188,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:41.725Z,325887218000000,0x0517,0x0104,50005,2,31,500043927,500043927,0,-487998,-488004,14204,1423488,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:42.065Z,325887562000000,0x0517,0x0104,50005,2,31,500046180,500046180,0,-488008,-488006,14207,1423820,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:42.402Z,325887906000000,0x0517,0x0104,50005,2,31,500045053,500045053,0,-488026,-488005,14211,1424202,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:42.743Z,325888250000000,0x0517,0x0104,50005,2,31,500048432,500048432,0,-488012,-488008,14214,1424497,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:43.084Z,325888578000000,0x0517,0x0104,50005,2,31,500048432,500048432,0,-488024,-488008,14218,1424891,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:43.426Z,325888921000000,0x0517,0x0104,50005,2,31,500049559,500049559,0,-488024,-488009,14221,1425191,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:43.765Z,325889265000000,0x0517,0x0104,50005,2,31,500054064,500054064,0,-488009,-488013,14224,1425520,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:44.104Z,325889609000000,0x0517,0x0104,50005,2,31,500049559,500049559,0,-488000,-488009,14228,1425902,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:44.446Z,325889953000000,0x0517,0x0104,50005,2,31,500046180,500046180,0,-488000,-488006,14231,1426199,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:44.784Z,325890281000000,0x0517,0x0104,50005,2,31,500047306,500047306,0,-488014,-488007,14235,1426593,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:45.125Z,325890625000000,0x0517,0x0104,50005,2,31,500050685,500050685,0,-488018,-488010,14238,1426894,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:45.465Z,325890968000000,0x0517,0x0104,50005,2,31,500051811,500051811,0,-488005,-488011,14241,1427220,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:45.802Z,325891296000000,0x0517,0x0104,50005,2,31,500051811,500051811,0,-488005,-488011,14245,1427603,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:46.145Z,325891640000000,0x0517,0x0104,50005,2,31,500051811,500051811,0,-488024,-488011,14248,1427897,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:46.489Z,325891984000000,0x0517,0x0104,50005,2,31,500052938,500052938,0,-488029,-488012,14252,1428296,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:46.830Z,325892328000000,0x0517,0x0104,50005,2,31,500054064,500054064,0,-488008,-488013,14255,1428596,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:47.170Z,325892671000000,0x0517,0x0104,50005,2,31,500057443,500057443,0,-488016,-488016,14258,1428926,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:47.509Z,325893015000000,0x0517,0x0104,50005,2,31,500059696,500059696,0,-488011,-488018,14262,1429306,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:47.848Z,325893343000000,0x0517,0x0104,50005,2,31,500063075,500063075,0,-488003,-488021,14265,1429603,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:48.189Z,325893687000000,0x0517,0x0104,50005,2,31,500058569,500058569,0,-488006,-488017,14269,1429998,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:48.530Z,325894031000000,0x0517,0x0104,50005,2,31,500055190,500055190,0,-488006,-488014,14272,1430299,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:11:48.873Z,325894375000000,0x0517,0x0104,50005,2,31,500049559,500049559,0,-487992,-488009,14275,1430627,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500050000,500050000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
