utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T08:50:53.453Z,324638953000000,0x0517,0x0104,-10,2,63,-102496,-102496,0,-43953,-43956,1740,175094,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:53.789Z,324639296000000,0x0517,0x0104,-10,2,63,-97991,-97991,0,-43984,-43960,1744,175491,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:54.128Z,324639625000000,0x0517,0x0104,-10,2,63,-99117,-99117,0,-43967,-43959,1747,175785,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:54.466Z,324639968000000,0x0517,0x0104,-10,2,63,-99117,-99117,0,-43966,-43959,1750,176125,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:54.802Z,324640296000000,0x0517,0x0104,-10,2,63,-94612,-94612,0,-43961,-43963,1754,176504,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:55.148Z,324640656000000,0x0517,0x0104,-10,2,63,-97991,-97991,0,-43942,-43960,1757,176800,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:55.485Z,324640984000000,0x0517,0x0104,-10,2,63,-94612,-94612,0,-43974,-43963,1761,177186,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:55.824Z,324641328000000,0x0517,0x0104,-10,2,63,-92359,-92359,0,-43950,-43965,1764,177487,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:56.159Z,324641656000000,0x0517,0x0104,-10,2,63,-91233,-91233,0,-43960,-43966,1767,177822,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:56.496Z,324642000000000,0x0517,0x0104,-10,2,63,-94612,-94612,0,-43964,-43963,1771,178198,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:56.836Z,324642343000000,0x0517,0x0104,-10,2,63,-94612,-94612,0,-43960,-43963,1774,178493,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:57.175Z,324642671000000,0x0517,0x0104,-10,2,63,-94612,-94612,0,-43973,-43963,1777,178832,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:57.512Z,324643015000000,0x0517,0x0104,-10,2,63,-91233,-91233,0,-43965,-43966,1781,179214,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:57.859Z,324643359000000,0x0517,0x0104,-10,2,63,-93486,-93486,0,-43959,-43964,1784,179509,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:58.195Z,324643703000000,0x0517,0x0104,-10,2,63,-97991,-97991,0,-43959,-43960,1788,179897,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:58.534Z,324644031000000,0x0517,0x0104,-10,2,63,-95738,-95738,0,-43960,-43962,1791,180193,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:58.874Z,324644375000000,0x0517,0x0104,-10,2,63,-100244,-100244,0,-43951,-43958,1794,180530,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:50:59.213Z,324644718000000,0x0517,0x0104,-10,2,63,-97991,-97991,0,-43970,-43960,1798,180911,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
