utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T08:52:34.850Z,324740343000000,0x0517,0x0104,-10,2,63,-105875,-105875,0,-43957,-43953,2753,276562,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:35.192Z,324740687000000,0x0517,0x0104,-10,2,63,-102496,-102496,0,-43960,-43956,2756,276855,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:35.534Z,324741031000000,0x0517,0x0104,-10,2,63,-99117,-99117,0,-43947,-43959,2759,277197,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:35.873Z,324741375000000,0x0517,0x0104,-10,2,63,-101370,-101370,0,-43967,-43957,2763,277554,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:36.215Z,324741718000000,0x0517,0x0104,-10,2,63,-99117,-99117,0,-43950,-43959,2766,277878,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:36.551Z,324742046000000,0x0517,0x0104,-10,2,63,-95738,-95738,0,-43956,-43962,2770,278261,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:36.891Z,324742390000000,0x0517,0x0104,-10,2,63,-92359,-92359,0,-43961,-43965,2773,278557,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:37.233Z,324742734000000,0x0517,0x0104,-10,2,63,-91233,-91233,0,-43949,-43966,2776,278896,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:37.572Z,324743078000000,0x0517,0x0104,-10,2,63,-92359,-92359,0,-43973,-43965,2780,279278,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:37.915Z,324743421000000,0x0517,0x0104,-10,2,63,-91233,-91233,0,-43964,-43966,2783,279578,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:38.254Z,324743750000000,0x0517,0x0104,-10,2,63,-90107,-90107,0,-43988,-43967,2787,279961,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:38.594Z,324744093000000,0x0517,0x0104,-10,2,63,-86728,-86728,0,-43945,-43970,2790,280259,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:38.935Z,324744437000000,0x0517,0x0104,-10,2,63,-92359,-92359,0,-43962,-43965,2793,280599,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:39.277Z,324744781000000,0x0517,0x0104,-10,2,63,-93486,-93486,0,-43950,-43964,2797,280981,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:39.620Z,324745125000000,0x0517,0x0104,-10,2,63,-91233,-91233,0,-43960,-43966,2800,281282,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:39.958Z,324745453000000,0x0517,0x0104,-10,2,63,-95738,-95738,0,-43955,-43962,2804,281667,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:40.298Z,324745796000000,0x0517,0x0104,-10,2,63,-96865,-96865,0,-43961,-43961,2807,281963,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:40.636Z,324746140000000,0x0517,0x0104,-10,2,63,-99117,-99117,0,-43961,-43959,2810,282304,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:40.974Z,324746468000000,0x0517,0x0104,-10,2,63,-94612,-94612,0,-43969,-43963,2814,282682,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:41.313Z,324746812000000,0x0517,0x0104,-10,2,63,-95738,-95738,0,-43959,-43962,2817,282979,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:41.650Z,324747156000000,0x0517,0x0104,-10,2,63,-95738,-95738,0,-43964,-43962,2821,283364,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:41.990Z,324747484000000,0x0517,0x0104,-10,2,63,-92359,-92359,0,-43982,-43965,2824,283665,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:42.326Z,324747828000000,0x0517,0x0104,-10,2,63,-90107,-90107,0,-43950,-43967,2827,283996,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:42.662Z,324748156000000,0x0517,0x0104,-10,2,63,-93486,-93486,0,-43954,-43964,2831,284374,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:43.000Z,324748500000000,0x0517,0x0104,-10,2,63,-96865,-96865,0,-43955,-43961,2834,284667,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:43.341Z,324748843000000,0x0517,0x0104,-10,2,63,-96865,-96865,0,-43957,-43961,2837,285005,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:43.679Z,324749187000000,0x0517,0x0104,-10,2,63,-100244,-100244,0,-43955,-43958,2841,285387,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:44.024Z,324749531000000,0x0517,0x0104,-10,2,63,-103623,-103623,0,-43948,-43955,2844,285685,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:44.360Z,324749859000000,0x0517,0x0104,-10,2,63,-108128,-108128,0,-43940,-43951,2848,286070,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:44.699Z,324750203000000,0x0517,0x0104,-10,2,63,-110381,-110381,0,-43953,-43949,2851,286370,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T08:52:45.043Z,324750546000000,0x0517,0x0104,-10,2,63,-107002,-107002,0,-43978,-43952,2854,286706,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,-100000,-100000,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
