utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T09:34:11.092Z,0x0517,0x0104,50013,2,31,500134018,500134018,0,27682,2773161,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,18,500137413,500137395,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:12.094Z,0x0517,0x0104,50014,2,31,500146405,500146405,0,27692,2774164,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,21,500141918,500141897,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:13.101Z,0x0517,0x0104,50014,2,31,500127255,500127255,0,27702,2775170,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,23,500125023,500125000,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:14.082Z,0x0517,0x0104,50014,2,31,500129505,500129505,0,27712,2776158,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,25,500130655,500130630,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:15.098Z,0x0517,0x0104,50014,2,31,500135135,500135135,0,27722,2777169,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,28,500135160,500135132,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:16.107Z,0x0517,0x0104,50014,2,31,500127248,500127248,0,27732,2778171,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,30,500131781,500131751,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:17.096Z,0x0517,0x0104,50014,2,31,500136256,500136256,0,27742,2779163,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,32,500140792,500140760,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:18.098Z,0x0517,0x0104,50014,2,31,500134002,500134002,0,27752,2780169,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,32,500134034,500134002,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:19.100Z,0x0517,0x0104,50014,2,31,500131746,500131746,0,27762,2781170,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,35,500131781,500131746,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:20.087Z,0x0517,0x0104,50014,2,31,500129491,500129491,0,27772,2782166,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,37,500129528,500129491,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:21.087Z,0x0517,0x0104,50014,2,31,500119352,500119352,0,27782,2783168,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,39,500118265,500118226,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:22.088Z,0x0517,0x0104,50012,2,31,500113718,500113718,0,27792,2784169,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,42,500114886,500114844,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:23.094Z,0x0517,0x0104,50012,2,31,500123853,500123853,0,27802,2785170,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,44,500123897,500123853,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:24.094Z,0x0517,0x0104,50012,2,31,500123851,500123851,0,27812,2786173,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,46,500125023,500124977,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:25.097Z,0x0517,0x0104,50012,2,31,500132858,500132858,0,27822,2787173,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,49,500130655,500130606,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:26.096Z,0x0517,0x0104,50012,2,31,500124972,500124972,0,27832,2788175,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,51,500125023,500124972,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:27.098Z,0x0517,0x0104,50012,2,31,500141865,500141865,0,27842,2789176,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,53,500143044,500142991,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:28.100Z,0x0517,0x0104,50013,2,31,500136230,500136230,0,27852,2790178,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,56,500135160,500135104,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:29.090Z,0x0517,0x0104,50013,2,31,500138481,500138481,0,27861,2791079,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,58,500139665,500139607,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:30.093Z,0x0517,0x0104,50013,2,31,500135100,500135100,0,27871,2792080,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,60,500132907,500132847,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:31.097Z,0x0517,0x0104,50013,2,31,500130592,500130592,0,27881,2793082,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,63,500132907,500132844,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:32.099Z,0x0517,0x0104,50013,2,31,500130590,500130590,0,27892,2794183,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,65,500129528,500129463,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:33.101Z,0x0517,0x0104,50013,2,31,500128335,500128335,0,27902,2795185,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,67,500128402,500128335,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:34.089Z,0x0517,0x0104,50013,2,31,500132837,500132837,0,27911,2796086,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,70,500132907,500132837,500103059,500115167,12108,2342,0,300,600,0,3,0
2026-09-23T09:34:35.094Z,0x0517,0x0104,50013,2,31,500129456,500129456,0,27921,2797087,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,1,2,5,0,1,72,500130655,500130583,500103059,500115167,12108,2342,0,300,600,0,3,0
