utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T09:17:11.208Z,0x0517,0x0104,50009,2,31,500083349,500083349,0,17496,1753198,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500078843,500078843,0,0,0,0,0,8,0,0,0,0
2026-09-23T09:17:12.209Z,0x0517,0x0104,50009,2,31,500085601,500085601,0,17506,1754199,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500082222,500082222,0,0,0,0,0,9,0,0,0,0
2026-09-23T09:17:13.198Z,0x0517,0x0104,50009,2,31,500086728,500086728,0,17516,1755188,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500084475,500084475,0,0,0,0,0,10,0,0,0,0
2026-09-23T09:17:14.201Z,0x0517,0x0104,50009,2,31,500085601,500085601,0,17526,1756189,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500085601,500085601,0,0,0,0,0,11,0,0,0,0
2026-09-23T09:17:15.205Z,0x0517,0x0104,50009,2,31,500090107,500090107,0,17536,1757193,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500085601,500085601,0,0,0,0,0,12,0,0,0,0
2026-09-23T09:17:16.207Z,0x0517,0x0104,50009,2,31,500083349,500083349,0,17546,1758196,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500087854,500087854,0,0,0,0,0,13,0,0,0,0
2026-09-23T09:17:17.208Z,0x0517,0x0104,50009,2,31,500087854,500087854,0,17556,1759198,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500085601,500085601,0,0,0,0,0,14,0,0,0,0
2026-09-23T09:17:18.213Z,0x0517,0x0104,50008,2,31,500092359,500092359,0,17566,1760200,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500090107,500090107,0,0,0,0,0,15,0,0,0,0
2026-09-23T09:17:19.198Z,0x0517,0x0104,50008,2,31,500090107,500090107,0,17576,1761189,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500091233,500091233,0,0,0,0,0,16,0,0,0,0
2026-09-23T09:17:20.203Z,0x0517,0x0104,50008,2,31,500086728,500086728,0,17586,1762193,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500086728,500086728,0,0,0,0,0,17,0,0,0,0
2026-09-23T09:17:21.203Z,0x0517,0x0104,50008,2,31,500082222,500082222,0,17596,1763195,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500082222,500082222,0,0,0,0,0,18,0,0,0,0
2026-09-23T09:17:22.203Z,0x0517,0x0104,50008,2,31,500086728,500086728,0,17606,1764195,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500087854,500087854,0,0,0,0,0,19,0,0,0,0
2026-09-23T09:17:23.204Z,0x0517,0x0104,50008,2,31,500088980,500088980,0,17616,1765194,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500087854,500087854,0,0,0,0,0,20,0,0,0,0
2026-09-23T09:17:24.205Z,0x0517,0x0104,50008,2,31,500085601,500085601,0,17626,1766195,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500087854,500087854,0,0,0,0,0,21,0,0,0,0
2026-09-23T09:17:25.206Z,0x0517,0x0104,50009,2,31,500095738,500095738,0,17636,1767197,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500095738,500095738,0,0,0,0,0,22,0,0,0,0
2026-09-23T09:17:26.208Z,0x0517,0x0104,50009,2,31,500091233,500091233,0,17646,1768198,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500087854,500087854,0,0,0,0,0,23,0,0,0,0
2026-09-23T09:17:27.209Z,0x0517,0x0104,50009,2,31,500082222,500082222,0,17656,1769200,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500083349,500083349,0,0,0,0,0,24,0,0,0,0
2026-09-23T09:17:28.210Z,0x0517,0x0104,50009,2,31,500085601,500085601,0,17666,1770201,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500088980,500088980,0,0,0,0,0,25,0,0,0,0
2026-09-23T09:17:29.195Z,0x0517,0x0104,50009,2,31,500094612,500094612,0,17676,1771198,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500094612,500094612,0,0,0,0,0,26,0,0,0,0
2026-09-23T09:17:30.197Z,0x0517,0x0104,50009,2,31,500086728,500086728,0,17686,1772200,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500084475,500084475,0,0,0,0,0,27,0,0,0,0
2026-09-23T09:17:31.197Z,0x0517,0x0104,50009,2,31,500090107,500090107,0,17696,1773201,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500091233,500091233,0,0,0,0,0,28,0,0,0,0
2026-09-23T09:17:32.199Z,0x0517,0x0104,50009,2,31,500091233,500091233,0,17706,1774203,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500090107,500090107,0,0,0,0,0,29,0,0,0,0
2026-09-23T09:17:33.201Z,0x0517,0x0104,50009,2,31,500088980,500088980,0,17716,1775204,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500088980,500088980,0,0,0,0,0,30,0,0,0,0
2026-09-23T09:17:34.200Z,0x0517,0x0104,50009,2,31,500088980,500088980,0,17726,1776205,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500088980,500088980,0,0,0,0,0,31,0,0,0,0
2026-09-23T09:17:35.203Z,0x0517,0x0104,50009,2,31,500096865,500096865,0,17735,1777107,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500097991,500097991,0,0,0,0,0,32,0,0,0,0
2026-09-23T09:17:36.205Z,0x0517,0x0104,50009,2,31,500091233,500091233,0,17746,1778208,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500091233,500091233,0,0,0,0,0,33,0,0,0,0
2026-09-23T09:17:37.207Z,0x0517,0x0104,50009,2,31,500095738,500095738,0,17756,1779210,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500095738,500095738,0,0,0,0,0,34,0,0,0,0
2026-09-23T09:17:38.207Z,0x0517,0x0104,50009,2,31,500086728,500086728,0,17766,1780211,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500084475,500084475,0,0,0,0,0,35,0,0,0,0
2026-09-23T09:17:39.208Z,0x0517,0x0104,50009,2,31,500093486,500093486,0,17776,1781213,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500093486,500093486,0,0,0,0,0,36,0,0,0,0
2026-09-23T09:17:40.211Z,0x0517,0x0104,50009,2,31,500087854,500087854,0,17786,1782214,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500088980,500088980,0,0,0,0,0,37,0,0,0,0
2026-09-23T09:17:41.196Z,0x0517,0x0104,50009,2,31,500087854,500087854,0,17795,1783116,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500088980,500088980,0,0,0,0,0,38,0,0,0,0
2026-09-23T09:17:42.198Z,0x0517,0x0104,50009,2,31,500088980,500088980,0,17805,1784117,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500090107,500090107,0,0,0,0,0,39,0,0,0,0
2026-09-23T09:17:43.204Z,0x0517,0x0104,50009,2,31,500092359,500092359,0,17815,1785118,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500093486,500093486,0,0,0,0,0,40,0,0,0,0
2026-09-23T09:17:44.206Z,0x0517,0x0104,50009,2,31,500094612,500094612,0,17825,1786120,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500093486,500093486,0,0,0,0,0,41,0,0,0,0
2026-09-23T09:17:45.207Z,0x0517,0x0104,50009,2,31,500087854,500087854,0,17835,1787121,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500086728,500086728,0,0,0,0,0,42,0,0,0,0
2026-09-23T09:17:46.210Z,0x0517,0x0104,50009,2,31,500087854,500087854,0,17845,1788122,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500088980,500088980,0,0,0,0,0,43,0,0,0,0
2026-09-23T09:17:47.195Z,0x0517,0x0104,50009,2,31,500088980,500088980,0,17855,1789124,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500090107,500090107,0,0,0,0,0,44,0,0,0,0
2026-09-23T09:17:48.196Z,0x0517,0x0104,50009,2,31,500091233,500091233,0,17865,1790125,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500092359,500092359,0,0,0,0,0,45,0,0,0,0
2026-09-23T09:17:49.199Z,0x0517,0x0104,50009,2,31,500085601,500085601,0,17875,1791126,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500087854,500087854,0,0,0,0,0,46,0,0,0,0
2026-09-23T09:17:50.204Z,0x0517,0x0104,50009,2,31,500084475,500084475,0,17885,1792128,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500084475,500084475,0,0,0,0,0,47,0,0,0,0
2026-09-23T09:17:51.203Z,0x0517,0x0104,50009,2,31,500094612,500094612,0,17895,1793129,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500094612,500094612,0,0,0,0,0,48,0,0,0,0
2026-09-23T09:17:52.204Z,0x0517,0x0104,50009,2,31,500093486,500093486,0,17905,1794130,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500092359,500092359,0,0,0,0,0,49,0,0,0,0
2026-09-23T09:17:53.206Z,0x0517,0x0104,50009,2,31,500099117,500099117,0,17915,1795133,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500096865,500096865,0,0,0,0,0,50,0,0,0,0
2026-09-23T09:17:54.205Z,0x0517,0x0104,50009,2,31,500093486,500093486,0,17925,1796133,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500093486,500093486,0,0,0,0,0,51,0,0,0,0
2026-09-23T09:17:55.208Z,0x0517,0x0104,50009,2,31,500094612,500094612,0,17935,1797134,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500094612,500094612,0,0,0,0,0,52,0,0,0,0
2026-09-23T09:17:56.209Z,0x0517,0x0104,50009,2,31,500085601,500085601,0,17945,1798136,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500084475,500084475,0,0,0,0,0,53,0,0,0,0
2026-09-23T09:17:57.212Z,0x0517,0x0104,50009,2,31,500093486,500093486,0,17955,1799137,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500095738,500095738,0,0,0,0,0,54,0,0,0,0
2026-09-23T09:17:58.203Z,0x0517,0x0104,50009,2,31,500091233,500091233,0,17965,1800139,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500088980,500088980,0,0,0,0,0,55,0,0,0,0
2026-09-23T09:17:59.203Z,0x0517,0x0104,50009,2,31,500091233,500091233,0,17975,1801140,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500091233,500091233,0,0,0,0,0,56,0,0,0,0
2026-09-23T09:18:00.204Z,0x0517,0x0104,50009,2,31,500088980,500088980,0,17985,1802141,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,2,3,0,1,0,500091233,500091233,0,0,0,0,0,57,0,0,0,0
