utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T09:13:59.520Z,326025015000000,0x0517,0x0104,50007,2,31,500069833,500069833,0,-488034,-488027,15580,1561285,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:13:59.861Z,326025359000000,0x0517,0x0104,50007,2,31,500073212,500073212,0,-488024,-488030,15583,1561626,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:00.205Z,326025703000000,0x0517,0x0104,50007,2,31,500073212,500073212,0,-488033,-488030,15587,1562008,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:00.547Z,326026046000000,0x0517,0x0104,50007,2,31,500074338,500074338,0,-488040,-488031,15590,1562310,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:00.887Z,326026390000000,0x0517,0x0104,50007,2,31,500076591,500076591,0,-488035,-488033,15594,1562695,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:01.227Z,326026734000000,0x0517,0x0104,50007,2,31,500073212,500073212,0,-488027,-488030,15597,1562991,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:01.571Z,326027078000000,0x0517,0x0104,50007,2,31,500068706,500068706,0,-488020,-488026,15601,1563389,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:01.913Z,326027421000000,0x0517,0x0104,50007,2,31,500066454,500066454,0,-488022,-488024,15604,1563689,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:02.253Z,326027750000000,0x0517,0x0104,50007,2,31,500068706,500068706,0,-488032,-488026,15607,1564020,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:02.592Z,326028093000000,0x0517,0x0104,50007,2,31,500068706,500068706,0,-488039,-488026,15611,1564400,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:02.936Z,326028437000000,0x0517,0x0104,50007,2,31,500073212,500073212,0,-488039,-488030,15614,1564698,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:03.275Z,326028781000000,0x0517,0x0104,50007,2,31,500079970,500079970,0,-488020,-488036,15618,1565091,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:03.616Z,326029109000000,0x0517,0x0104,50007,2,31,500074338,500074338,0,-488028,-488031,15621,1565393,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:03.956Z,326029453000000,0x0517,0x0104,50007,2,31,500074338,500074338,0,-488019,-488031,15624,1565722,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:04.293Z,326029796000000,0x0517,0x0104,50007,2,31,500074338,500074338,0,-488054,-488031,15628,1566103,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:04.634Z,326030140000000,0x0517,0x0104,50007,2,31,500079970,500079970,0,-488039,-488036,15631,1566400,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:04.974Z,326030468000000,0x0517,0x0104,50007,2,31,500085601,500085601,0,-488051,-488041,15635,1566794,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500070000,500070000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:05.315Z,326030812000000,0x0517,0x0104,50007,2,31,500086728,500086728,0,-488041,-488042,15638,1567094,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500080000,500080000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:05.655Z,326031156000000,0x0517,0x0104,50008,2,31,500083349,500083349,0,-488020,-488039,15641,1567422,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500080000,500080000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:05.992Z,326031500000000,0x0517,0x0104,50008,2,31,500077717,500077717,0,-488024,-488034,15645,1567803,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500080000,500080000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:06.336Z,326031843000000,0x0517,0x0104,50008,2,31,500076591,500076591,0,-488024,-488033,15648,1568099,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500080000,500080000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-23T09:14:06.678Z,326032171000000,0x0517,0x0104,50008,2,31,500074338,500074338,0,-488034,-488031,15652,1568497,1,0,0,0,3,4,0,0,0,8,8,0,1,2,1,500080000,500080000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
