utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T05:56:22.819Z,14557,1458891,102496,92359,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,102400
2026-09-21T05:56:22.978Z,14558,1459024,101370,72085,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:23.073Z,14559,1459104,100244,103623,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100200
2026-09-21T05:56:23.167Z,14560,1459199,100244,109254,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100200
2026-09-21T05:56:23.258Z,14561,1459293,100244,86728,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100200
2026-09-21T05:56:23.350Z,14562,1459392,101370,104749,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:23.442Z,14563,1459493,99117,84475,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:23.521Z,14564,1459593,99117,96865,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:23.684Z,14565,1459728,99117,96865,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:23.780Z,14566,1459809,99117,73212,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:23.874Z,14567,1459906,99117,100244,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:23.970Z,14568,1460001,97991,93486,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,97900
2026-09-21T05:56:24.061Z,14569,1460097,96865,82222,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,96800
2026-09-21T05:56:24.153Z,14570,1460193,94612,73212,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,94600
2026-09-21T05:56:24.244Z,14571,1460293,92359,70959,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,92300
2026-09-21T05:56:24.337Z,14572,1460393,90107,93486,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:56:24.429Z,14573,1460493,90107,86728,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:56:24.523Z,14574,1460594,90107,86728,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:56:24.713Z,14575,1460744,90107,92359,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:56:24.809Z,14576,1460839,90107,99117,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:56:24.906Z,14577,1460935,91233,101370,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,91200
2026-09-21T05:56:25.002Z,14578,1461031,92359,100244,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,92300
2026-09-21T05:56:25.097Z,14579,1461128,93486,95738,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,93400
2026-09-21T05:56:25.192Z,14580,1461223,94612,111507,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,94600
2026-09-21T05:56:25.270Z,14581,1461318,96865,112633,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,96800
2026-09-21T05:56:25.346Z,14582,1461397,99117,105875,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:25.438Z,14583,1461495,101370,123897,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:25.530Z,14584,1461595,103623,122770,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:25.624Z,14585,1461695,105875,101370,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,105800
2026-09-21T05:56:25.815Z,14586,1461846,104749,93486,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,104700
2026-09-21T05:56:25.911Z,14587,1461941,103623,88980,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:25.989Z,14588,1462037,102496,96865,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,102400
2026-09-21T05:56:26.066Z,14589,1462117,101370,101370,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:26.158Z,14590,1462196,101370,101370,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:26.250Z,14591,1462297,101370,108128,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:26.342Z,14592,1462397,101370,103623,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:26.433Z,14593,1462497,101370,103623,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:26.526Z,14594,1462597,101370,88980,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:26.717Z,14595,1462748,100244,77717,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100200
2026-09-21T05:56:26.811Z,14596,1462842,99117,91233,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:26.907Z,14597,1462937,97991,96865,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,97900
2026-09-21T05:56:27.002Z,14598,1463034,97991,107002,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,97900
2026-09-21T05:56:27.097Z,14599,1463128,99117,107002,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:27.192Z,14600,1463223,100244,114886,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100200
2026-09-21T05:56:27.267Z,14601,1463318,101370,108128,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:27.359Z,14602,1463398,102496,97991,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,102400
2026-09-21T05:56:27.451Z,14603,1463499,101370,91233,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:27.544Z,14604,1463599,101370,109254,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:27.637Z,14605,1463699,102496,127276,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,102400
2026-09-21T05:56:27.728Z,14606,1463799,103623,104749,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:27.921Z,14607,1463949,103623,100244,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.016Z,14608,1464047,103623,102496,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.111Z,14609,1464142,103623,90107,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.207Z,14610,1464238,103623,105875,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.301Z,14611,1464332,103623,109254,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.381Z,14612,1464428,103623,107002,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.458Z,14613,1464508,103623,102496,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.534Z,14614,1464600,103623,90107,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.628Z,14615,1464701,103623,107002,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.806Z,14616,1464850,103623,111507,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:28.887Z,14617,1464931,104749,120518,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,104700
2026-09-21T05:56:28.981Z,14618,1465011,105875,107002,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,105800
2026-09-21T05:56:29.077Z,14619,1465108,105875,88980,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,105800
2026-09-21T05:56:29.168Z,14620,1465203,103623,87854,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,103600
2026-09-21T05:56:29.260Z,14621,1465302,101370,100244,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,101300
2026-09-21T05:56:29.352Z,14622,1465402,99117,84475,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99100
2026-09-21T05:56:29.444Z,14623,1465502,96865,77717,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,96800
2026-09-21T05:56:29.534Z,14624,1465602,95738,96865,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,95700
2026-09-21T05:56:29.630Z,14625,1465702,94612,86728,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,94600
2026-09-21T05:56:29.788Z,14626,1465835,94612,96865,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,94600
2026-09-21T05:56:29.864Z,14627,1465914,94612,95738,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,94600
2026-09-21T05:56:29.940Z,14628,1466003,94612,78843,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,94600
2026-09-21T05:56:30.032Z,14629,1466103,94612,105875,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,94600
2026-09-21T05:56:30.224Z,14630,1466254,95738,111507,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,95700
2026-09-21T05:56:30.305Z,14631,1466349,96865,90107,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,96800
2026-09-21T05:56:30.386Z,14632,1466430,96865,99117,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,96800
2026-09-21T05:56:30.481Z,14633,1466511,96865,105875,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,96800
2026-09-21T05:56:30.573Z,14634,1466608,97991,107002,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,97900
