utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T06:22:27.118Z,30176,3023295,123897,127276,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:27.210Z,30177,3023395,125023,138539,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,125000
2026-09-21T06:22:27.302Z,30178,3023495,126149,129528,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,126100
2026-09-21T06:22:27.464Z,30179,3023631,126149,114886,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,126100
2026-09-21T06:22:27.560Z,30180,3023712,126149,123897,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,126100
2026-09-21T06:22:27.657Z,30181,3023809,126149,123897,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,126100
2026-09-21T06:22:27.751Z,30182,3023906,126149,123897,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,126100
2026-09-21T06:22:27.842Z,30183,3024000,126149,131781,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,126100
2026-09-21T06:22:27.934Z,30184,3024096,126149,123897,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,126100
2026-09-21T06:22:28.026Z,30185,3024196,126149,112633,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,126100
2026-09-21T06:22:28.118Z,30186,3024296,123897,103623,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:28.211Z,30187,3024397,122770,112633,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,122700
2026-09-21T06:22:28.303Z,30188,3024497,121644,126149,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:22:28.478Z,30189,3024648,121644,123897,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:22:28.574Z,30190,3024727,122770,134034,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,122700
2026-09-21T06:22:28.668Z,30191,3024822,122770,122770,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,122700
2026-09-21T06:22:28.765Z,30192,3024917,123897,131781,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:28.861Z,30193,3025013,123897,112633,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:28.955Z,30194,3025109,123897,120518,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.050Z,30195,3025204,123897,126149,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.141Z,30196,3025299,123897,135160,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.233Z,30197,3025398,123897,127276,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.325Z,30198,3025498,123897,123897,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.417Z,30199,3025598,123897,125023,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.509Z,30200,3025699,123897,130655,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.603Z,30201,3025799,123897,125023,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.795Z,30202,3025948,123897,118265,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
2026-09-21T06:22:29.890Z,30203,3026044,122770,118265,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,122700
2026-09-21T06:22:29.985Z,30204,3026139,121644,123897,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:22:30.081Z,30205,3026234,121644,119391,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:22:30.178Z,30206,3026330,121644,116012,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:22:30.257Z,30207,3026427,121644,140792,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:22:30.334Z,30208,3026507,122770,126149,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,122700
2026-09-21T06:22:30.409Z,30209,3026600,123897,134034,100000000,400000000,2,1,0,6,2,2,2,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,123800
