utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T05:47:27.445Z,9211,923400,90107,87854,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:47:27.524Z,9212,923528,90107,102496,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:47:27.601Z,9213,923608,90107,90107,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:47:27.691Z,9214,923701,90107,83349,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:47:27.783Z,9215,923801,90107,103623,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,90100
2026-09-21T05:47:27.876Z,9216,923901,88980,84475,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,88900
2026-09-21T05:47:27.971Z,9217,924001,87854,79970,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,87800
2026-09-21T05:47:28.146Z,9218,924150,86728,83349,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,86700
2026-09-21T05:47:28.224Z,9219,924229,86728,91233,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,86700
2026-09-21T05:47:28.301Z,9220,924308,87854,97991,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,87800
