utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T07:35:39.949Z,74041,7416411,-102496,-107002,-1000000,1000000,3,1,1,8,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-102400
2026-09-21T07:35:40.045Z,74042,7416545,-103623,-117139,-1000000,1000000,3,1,2,8,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-103600
2026-09-21T07:35:40.140Z,74043,7416640,-104749,-116012,-1000000,1000000,3,3,3,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-104700
2026-09-21T07:35:40.236Z,74044,7416736,-105875,-117139,-1000000,1000000,3,3,4,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-105800
2026-09-21T07:35:40.331Z,74045,7416831,-107002,-104749,-1000000,1000000,3,3,5,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-107000
2026-09-21T07:35:40.426Z,74046,7416927,-107002,-107002,-1000000,1000000,3,3,6,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-107000
2026-09-21T07:35:40.502Z,74047,7417022,-107002,-111507,-1000000,1000000,3,3,7,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-107000
2026-09-21T07:35:40.595Z,74048,7417113,-107002,-105875,-1000000,1000000,3,3,8,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-107000
2026-09-21T07:35:40.688Z,74049,7417213,-107002,-103623,-1000000,1000000,3,3,9,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-107000
2026-09-21T07:35:40.779Z,74050,7417313,-107002,-102496,-1000000,1000000,3,3,10,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-107000
2026-09-21T07:35:40.872Z,74051,7417413,-105875,-93486,-1000000,1000000,3,3,11,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-105800
2026-09-21T07:35:41.064Z,74052,7417564,-104749,-79970,-1000000,1000000,3,3,12,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-104700
2026-09-21T07:35:41.159Z,74053,7417659,-103623,-100244,-1000000,1000000,3,3,13,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-103600
2026-09-21T07:35:41.255Z,74054,7417755,-103623,-107002,-1000000,1000000,3,3,14,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-103600
2026-09-21T07:35:41.335Z,74055,7417850,-103623,-95738,-1000000,1000000,3,3,15,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-103600
2026-09-21T07:35:41.410Z,74056,7417930,-103623,-114886,-1000000,1000000,3,3,16,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-103600
2026-09-21T07:35:41.502Z,74057,7418014,-104749,-114886,-1000000,1000000,3,3,17,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-104700
2026-09-21T07:35:41.595Z,74058,7418114,-105875,-116012,-1000000,1000000,3,3,18,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-105800
2026-09-21T07:35:41.687Z,74059,7418214,-107002,-121644,-1000000,1000000,3,3,19,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-107000
2026-09-21T07:35:41.779Z,74060,7418314,-108128,-94612,-1000000,1000000,3,3,20,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-108100
2026-09-21T07:35:41.872Z,74061,7418414,-105875,-76591,-1000000,1000000,3,3,21,0,3,3,3,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-105800
